[04:01:59	]Xu has connected.
[04:03:05	]Xu created the character 'civil rp'
[04:03:05	]Xu loaded the character 'civil rp'
[04:03:05	]civil rp has gained a 'Request Device' #7.
[04:03:05	]civil rp has gained a '#05189's Identity Card' #8.
[04:03:20	][IC] civil rp: It is a winter wonderland.
[04:03:28	]civil rp used command '/LinkAccount Xushi'.
[04:03:43	]civil rp used command '/LinkComplete HIrnk15bBLMR'.
[04:04:15	]civil rp has spawned 'models/props_c17/door01_left.mdl'.
[04:04:37	]civil rp used command '/ToggleFlight'.
[04:04:45	]civil rp has taken 41 damage from worldspawn.
[04:04:46	][IC] civil rp: Bullshit.
[04:05:20	]civil rp has spawned 'models/willardnetworks/skills/chemical_flask_big_1.mdl'.
[04:05:33	]Xu (STEAM_0:0:61349017) has disconnected.
