[21:41:32	]Merlinsclaw has connected.
[21:47:20	]Merlinsclaw loaded the character 'Merlinsclaw'
[21:47:24	]Merlinsclaw entered observer.
[21:47:26	]Merlinsclaw exited observer at their location.
[21:47:27	]Merlinsclaw entered observer.
[21:47:51	]Merlinsclaw exited observer at their location.
[21:47:55	]Merlinsclaw entered observer.
[21:47:57	]Merlinsclaw exited observer at their location.
[21:47:58	]Merlinsclaw entered observer.
[21:47:59	]Merlinsclaw exited observer at their location.
[21:47:59	]Merlinsclaw entered observer.
[21:48:02	]Merlinsclaw exited observer at their location.
[21:48:02	]Merlinsclaw entered observer.
[21:48:03	]Merlinsclaw exited observer at their location.
[21:48:04	]Merlinsclaw entered observer.
[21:48:06	]Merlinsclaw (STEAM_0:1:63717084) has disconnected.
[23:18:47	]esim boost has connected.
[23:23:48	]esim boost created the character 'THATS A HUUUUGE BITCH'
[23:23:48	]esim boost has gained 20 chips.
[23:23:48	]esim boost loaded the character 'THATS A HUUUUGE BITCH'
[23:25:16	]esim boost (STEAM_0:0:190762082) has disconnected.
