[19:56:49	]Kaffee has connected.
[20:00:25	]Kaffee created the character 'Kaffee'
[20:00:25	]Kaffee has gained 20 chips.
[20:00:25	]Kaffee loaded the character 'Kaffee'
[20:00:25	]Kaffee has gained a 'Flashlight' #337.
[20:00:25	]Kaffee has gained a '#28377's Identity Card' #338.
[20:02:05	]Console ran SAM command 'adduser' with arguments: 'Kaffee' 'server_admin'
[20:02:11	]Kaffee entered observer.
[20:03:16	]Console ran SAM command 'adduser' with arguments: 'Kaffee' 'senior_admin'
[20:03:57	]Console ran SAM command 'adduser' with arguments: 'Kaffee' 'community_manager'
[20:04:04	]Kaffee used command '/CharGiveFlag kaff'.
[20:04:06	]Kaffee used command '/CharGiveFlag Kaffee CJLNQUaceinprt'.
[20:05:19	]Kaffee exited observer at their location.
[20:05:34	]Kaffee used command '/PlyWhitelist kaff server'.
[20:05:46	]Kaffee set whitelistForumLink to '[false]'.
[20:05:51	]Kaffee used command '/PlyWhitelist kaff server'.
[20:07:01	]Kaffee has spawned a 'NPC [422][npc_vj_zombiegrenade]'.
[20:07:03	]Kaffee entered observer.
[20:07:12	]Kaffee ran SAM command 'hp' with arguments: 'kaff' '1000000000000000000000000'
[20:07:13	]Kaffee exited observer at their location.
[20:07:17	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:17	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:20	]Kaffee is fully healed.
[20:07:21	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:23	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:23	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:25	]Kaffee is fully healed.
[20:07:26	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:30	]Kaffee is fully healed.
[20:07:33	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:34	]Kaffee has critically hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:07:34	][FF:1667142246] Kaffee set as active participant.
[20:07:34	][FF] Firefight started between Kaffee and npc_vj_zombiegrenade. ID: 1667142246
[20:07:44	][FF:1667142246] Round 1 begins. Turn for NPCs started.
[20:07:47	][FF:1667142246] Turn for NPCs ended as time ran out.
[20:07:47	][FF:1667142246] Turn for 'Kaffee' started.
[20:07:47	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:48	]Kaffee has critically hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:07:48	]Kaffee has taken 10 damage from Grenade Zombie.
[20:07:48	]Kaffee has critically hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:07:49	]Kaffee has hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:07:53	]Kaffee is fully healed.
[20:07:53	][FF:1667142246] Turn for 'Kaffee' ended as it timed out.
[20:07:53	][FF:1667142246] Round 2 begins. Turn for NPCs started.
[20:07:58	][FF:1667142246] Turn for NPCs ended as time ran out.
[20:07:58	][FF:1667142246] Turn for 'Kaffee' started.
[20:07:58	]Kaffee has taken 10 damage from Grenade Zombie.
[20:08:00	]Kaffee has taken 10 damage from Grenade Zombie.
[20:08:00	]Kaffee has taken 10 damage from Grenade Zombie.
[20:08:04	]Kaffee is fully healed.
[20:08:04	][FF:1667142246] Turn for 'Kaffee' ended as it timed out.
[20:08:04	][FF:1667142246] Round 3 begins. Turn for NPCs started.
[20:08:09	][FF:1667142246] Turn for NPCs ended as time ran out.
[20:08:09	][FF:1667142246] Turn for 'Kaffee' started.
[20:08:09	]Kaffee has taken 10 damage from Grenade Zombie.
[20:08:10	]Kaffee has taken 10 damage from Grenade Zombie.
[20:08:10	]Kaffee has hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:08:10	]Kaffee has hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:08:11	]Kaffee has hit npc_vj_zombiegrenade in the head dealing 6 damage (CritChance was 0.42).
[20:08:13	]Kaffee is fully healed.
[20:08:13	][FF:1667142246] Turn for 'Kaffee' ended early as all actions are exhausted.
[20:08:13	][FF:1667142246] Round 4 begins.
[20:08:13	][FF:1667142246] Fight has ended, clearing participants and waitlist.
[20:08:32	]Kaffee has spawned a 'NPC [427][npc_vj_zomnarch]'.
[20:08:44	]Kaffee has taken 30 damage from Zomnarch.
[20:08:44	]Kaffee has taken 5 damage from obj_gonome_acid.
[20:08:45	]Kaffee is fully healed.
[20:08:46	]Kaffee has critically hit npc_vj_zomnarch in the right arm dealing 12 damage (CritChance was 0.42).
[20:08:46	][FF:1667142247] Kaffee set as active participant.
[20:08:46	][FF] Firefight started between Kaffee and npc_vj_zomnarch. ID: 1667142247
[20:08:56	][FF:1667142247] Round 1 begins. Turn for NPCs started.
[20:08:59	][FF:1667142247] Turn for NPCs ended as time ran out.
[20:08:59	][FF:1667142247] Turn for 'Kaffee' started.
[20:09:01	]Kaffee has critically hit npc_vj_zomnarch in the right leg dealing 12 damage (CritChance was 0.42).
[20:09:02	]Kaffee has hit npc_vj_zomnarch in the chest dealing 12 damage (CritChance was 0.42).
[20:09:02	]Kaffee has hit npc_vj_zomnarch in the chest dealing 12 damage (CritChance was 0.42).
[20:09:02	]Kaffee has critically hit npc_vj_zomnarch in the chest dealing 12 damage (CritChance was 0.42).
[20:09:04	][FF:1667142247] Turn for 'Kaffee' ended early as all actions are exhausted.
[20:09:04	][FF:1667142247] Round 2 begins. Turn for NPCs started.
[20:09:05	]Kaffee has taken 30 damage from Zomnarch.
[20:09:05	]Kaffee has taken 5 damage from obj_gonome_acid.
[20:09:09	][FF:1667142247] Turn for NPCs ended as time ran out.
[20:09:09	][FF:1667142247] Turn for 'Kaffee' started.
