[17:15:31	]The Large Metal Cabinet container (#0) was removed due to inactivity.
[17:15:34	]The Medium File Cabinet container (#56637) was inactive and has been soft-removed.
[17:15:34	]The Medium File Cabinet container (#56638) was inactive and has been soft-removed.
[17:15:34	]The WD - #1 container (#38919) was set to CLEANUP.
[17:15:34	]The WD - #2 container (#56767) was set to CLEANUP.
[17:15:34	]The WD - #3 container (#56768) was set to CLEANUP.
[17:15:34	]The Medium File Cabinet container (#56816) was inactive and has been soft-removed.
[17:15:34	]The Lew container (#23928) was inactive and has been soft-removed.
[17:15:34	]The WD - #5 container (#23926) was set to CLEANUP.
[17:15:34	]The Unlocked Refridgerator container (#23934) was set to CLEANUP.
[17:15:34	]The KING Locker container (#29538) was inactive and has been soft-removed.
[17:15:34	]The Hidden Container (IC Knowledge Required) container (#57114) was inactive and has been soft-removed.
[17:15:34	]The QUICK-1 container (#57120) was inactive and has been soft-removed.
[17:15:34	]The Medium File Cabinet container (#57180) was inactive and has been soft-removed.
[17:15:34	]The BMD Container container (#56592) was inactive and has been soft-removed.
[17:15:34	]The Filing Cabinet container (#38289) was inactive and has been soft-removed.
[17:15:34	]The Crate container (#57469) was inactive and has been soft-removed.
[17:15:34	]The Storage container (#57541) was set to CLEANUP.
[17:15:34	]The Storage container (#57538) was set to CLEANUP.
[17:15:34	]The The Bookshelf container (#26509) was set to CLEANUP.
[17:15:34	]The Medium File Cabinet container (#57537) was set to CLEANUP.
[17:15:34	]The Medium File Cabinet container (#55228) was inactive and has been soft-removed.
[17:15:35	]The TCU Medical Supplies container (#57866) was set to CLEANUP.
[17:15:35	]The TCU Medical Supplies container (#57867) was set to CLEANUP.
[17:15:35	]The Anne Rayen container (#58271) was inactive and has been soft-removed.
[17:15:35	]The Henry R. Teabag container (#58306) was inactive and has been soft-removed.
[17:15:35	]The File Cabinet container (#58490) was inactive and has been soft-removed.
[17:15:35	]The File Cabinet container (#58594) was inactive and has been soft-removed.
[17:15:35	]The File Cabinet container (#58595) was inactive and has been soft-removed.
[17:15:35	]The Infestation Control Crate container (#58828) was set to CLEANUP.
[17:15:35	]The File Cabinet container (#58834) was set to CLEANUP.
[17:15:35	]The Large Metal Cabinet container (#58853) was set to CLEANUP.
[17:15:35	]The Large Metal Cabinet container (#58867) was set to CLEANUP.
[17:15:35	]The Orwell's file cabinet container (#26640) was inactive and has been soft-removed.
[17:15:35	]The File Cabinet container (#58879) was inactive and has been soft-removed.
[17:15:35	]The File Cabinet container (#58906) was set to CLEANUP.
[17:15:35	]The File Cabinet container (#59059) was inactive and has been soft-removed.
[17:15:36	]The NW General Container container (#29307) was set to CLEANUP.
[17:15:36	]The NW Material Container container (#28238) was set to CLEANUP.
[17:15:36	]The Memesky Container container (#36977) was inactive and has been soft-removed.
[17:15:36	]The Appi Container container (#29392) was inactive and has been soft-removed.
[17:15:36	]The Appi STEAM_0:0:204002917 container (#33812) was inactive and has been soft-removed.
[17:15:36	]The Ted Kowacks container (#59182) was inactive and has been soft-removed.
[17:15:36	]The Hidden Container container (#29000) was inactive and has been soft-removed.
[17:15:36	]The Hidden Container container (#28321) was inactive and has been soft-removed.
[17:15:36	]The Hidden Container container (#59391) was inactive and has been soft-removed.
[17:15:36	]The File Cabinet container (#30212) was set to CLEANUP.
[17:15:36	]The File Cabinet container (#32493) was set to CLEANUP.
[17:15:36	]The File Cabinet container (#28557) was set to CLEANUP.
[17:15:36	]The Hinata Pawning Group #1 container (#31020) was set to CLEANUP.
[17:15:36	]The Safe container (#39743) was inactive and has been soft-removed.
[17:15:36	]The HOKI Container container (#29560) was inactive and has been soft-removed.
[17:15:36	]The Hidden container container (#44451) was inactive and has been soft-removed.
[17:15:36	]The Chaillon container (#37762) was inactive and has been soft-removed.
[17:15:36	]The Hidden Container container (#44452) was inactive and has been soft-removed.
[17:15:36	]The AF kay STEAM_0:1:100448039 container (#29734) was inactive and has been soft-removed.
[17:15:36	]The Safe container (#33394) was inactive and has been soft-removed.
[17:15:36	]The Medium File Cabinet container (#23653) was inactive and has been soft-removed.
[17:15:36	]The Andrew Wilson container (#60152) was inactive and has been soft-removed.
[17:15:36	]The Ansty - STEAM_0:0:89141544 container (#56744) was set to CLEANUP.
[17:15:37	]The Large Metal Cabinet container (#42444) was set to CLEANUP.
[17:15:37	]The Safe container (#60242) was inactive and has been soft-removed.
[17:15:37	]The Infestation Control Container container (#60328) was set to CLEANUP.
[17:15:37	]The Safe container (#60882) was inactive and has been soft-removed.
[17:15:37	]The Large Refrigerator container (#60884) was inactive and has been soft-removed.
[17:15:37	]The Party Committee Confiscations container (#50035) was inactive and has been soft-removed.
[17:15:37	]The Unlocked Refridgerator container (#27325) was set to CLEANUP.
[17:15:37	]The Hidden Container container (#60984) was inactive and has been soft-removed.
[17:15:37	]The The_Grass_Man STEAM_0:0:547454756 container (#30619) was inactive and has been soft-removed.
[17:15:37	]The Large Metal Cabinet container (#46508) was set to CLEANUP.
[17:15:37	]The Kappatalist STEAM_0:1:86900379 container (#38920) was inactive and has been soft-removed.
[17:15:38	]The Cash Register container (#48067) was inactive and has been soft-removed.
[17:15:38	]The File Cabinet container (#49002) was inactive and has been soft-removed.
[17:15:38	]The M3ntal - STEAM_0:0:93450871 container (#55648) was inactive and has been soft-removed.
[17:15:38	]The Refrigerator container (#36392) was set to CLEANUP.
[17:15:38	]The Locker container (#23711) was set to CLEANUP.
[17:15:38	]The Storage Fridge Two container (#23693) was set to CLEANUP.
[17:15:38	]The Medium File Cabinet container (#23697) was set to CLEANUP.
[17:15:38	]The Storage Fridge Three container (#29227) was set to CLEANUP.
[17:15:38	]The Storage Fridge One container (#29226) was set to CLEANUP.
[17:15:38	]The Large Refrigerator container (#23679) was set to CLEANUP.
[17:15:38	]The Medium File Cabinet container (#41396) was set to CLEANUP.
[17:15:38	]The Locker container (#54670) was set to CLEANUP.
[17:15:38	]The File Cabinet container (#26424) was set to CLEANUP.
[17:15:38	]The Medium File Cabinet container (#46168) was set to CLEANUP.
[17:15:38	]The Large Metal Cabinet container (#23617) was set to CLEANUP.
[17:15:38	]The File Cabinet container (#54945) was inactive and has been soft-removed.
[17:15:38	]The Medium File Cabinet container (#42235) was inactive and has been soft-removed.
[17:15:38	]The File Cabinet container (#44937) was inactive and has been soft-removed.
[17:15:38	]The Safe container (#56128) was inactive and has been soft-removed.
[17:15:38	]The Medium File Cabinet container (#42733) was inactive and has been soft-removed.
[17:15:38	]The Safe container (#46898) was inactive and has been soft-removed.
[17:15:39	]The Safe container (#48673) was inactive and has been soft-removed.
[17:15:39	]The File Cabinet container (#27800) was set to CLEANUP.
[17:15:39	]The Large Metal Cabinet container (#31110) was set to CLEANUP.
[17:15:39	]The Large Metal Cabinet container (#23815) was set to CLEANUP.
[17:15:39	]The Medium File Cabinet container (#25769) was inactive and has been soft-removed.
[17:15:39	]The Large Metal Cabinet container (#24628) was inactive and has been soft-removed.
[17:15:39	]The Crate container (#49080) was set to CLEANUP.
[17:15:39	]The Medium File Cabinet container (#24207) was inactive and has been soft-removed.
[17:15:39	]The Large Metal Cabinet container (#24208) was inactive and has been soft-removed.
[17:15:39	]The Safe container (#24209) was inactive and has been soft-removed.
[17:15:39	]The Large Metal Cabinet container (#41399) was inactive and has been soft-removed.
[17:15:39	]The The Food Box container (#23921) was set to CLEANUP.
[17:15:39	]The Large Metal Cabinet container (#37666) was set to CLEANUP.
[17:15:39	]The File Cabinet container (#39449) was set to CLEANUP.
[17:15:39	]The Materials Cabinet container (#25923) was set to CLEANUP.
[17:15:39	]The Crate container (#45030) was set to CLEANUP.
[17:15:39	]The Safe container (#24093) was inactive and has been soft-removed.
[17:15:39	]The Infestation Control container (#23901) was set to CLEANUP.
[17:15:39	]The Infestation Control Crate container (#30616) was set to CLEANUP.
[17:15:39	]The Infestation #2 container (#29045) was set to CLEANUP.
[17:15:39	]The Tools container (#23902) was set to CLEANUP.
[17:15:39	]The Uniforms / Suits container (#23900) was set to CLEANUP.
[17:15:40	]The Infestation Control Crate container (#41303) was set to CLEANUP.
[17:15:40	]The CWU Requisition / Orders container (#27198) was set to CLEANUP.
[17:15:40	]The Management Locker #3 container (#29210) was set to CLEANUP.
