[05:50:28	]ryebredd has connected.
[05:52:09	]ryebredd (STEAM_0:0:30307584) deleted character 'Virgil Rasmussen'
[05:52:21	]ryebredd loaded the character 'José Juan Carlos Bautista'
[05:52:21	]José Juan Carlos Bautista their 'indigent stash' stash no longer exists, location reset.
[05:52:26	]José Juan Carlos Bautista is fully healed.
[05:52:36	]José Juan Carlos Bautista used command '/ToggleGM'.
[05:52:37	]José Juan Carlos Bautista entered observer.
[05:52:44	]José Juan Carlos Bautista exited observer at their location.
[05:53:33	]José Juan Carlos Bautista has spawned 'models/props_office/desk_01.mdl'.
[05:53:38	]José Juan Carlos Bautista has enabled persistence for 'models/props_office/desk_01.mdl'.
[05:53:38	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:53:48	]José Juan Carlos Bautista has spawned a 'Entity [155][ix_computer]'.
[05:53:57	]José Juan Carlos Bautista has used a context menu option with the name: remove
[05:53:57	]José Juan Carlos Bautista entered observer.
[05:54:19	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:20	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:22	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:25	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:29	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:32	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:33	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:36	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:41	]José Juan Carlos Bautista has used a context menu option with the name: skin
[05:54:45	]José Juan Carlos Bautista exited observer at their location.
[05:54:50	]José Juan Carlos Bautista entered observer.
[05:54:54	]José Juan Carlos Bautista exited observer at their location.
[05:55:09	]José Juan Carlos Bautista has spawned 'models/props/hr_massive/survival_shelves/survival_shelf_01.mdl'.
[05:55:18	]José Juan Carlos Bautista has enabled persistence for 'models/props/hr_massive/survival_shelves/survival_shelf_01.mdl'.
[05:55:18	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:55:26	]José Juan Carlos Bautista has spawned 'models/props/de_piranesi/pi_bucket.mdl'.
[05:55:32	]José Juan Carlos Bautista has spawned 'models/props/de_piranesi/pi_bucket.mdl'.
[05:55:36	]José Juan Carlos Bautista has spawned 'models/props/de_vertigo/cement_bucket_metal_lrg_01.mdl'.
[05:55:40	]José Juan Carlos Bautista has spawned 'models/props/de_vertigo/cement_bucket_metal_lrg_01.mdl'.
[05:55:46	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_piranesi/pi_bucket.mdl'.
[05:55:46	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:56:02	]José Juan Carlos Bautista has spawned 'models/props/cs_militia/boxes_frontroom.mdl'.
[05:56:05	]José Juan Carlos Bautista has spawned 'models/props/cs_militia/boxes_garage_lower.mdl'.
[05:56:13	]José Juan Carlos Bautista has enabled persistence for 'models/props/cs_militia/boxes_garage_lower.mdl'.
[05:56:13	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:56:27	]José Juan Carlos Bautista has spawned 'models/props/de_nuke/hr_nuke/stains/nuke_oil_puddle01.mdl'.
[05:56:35	]José Juan Carlos Bautista has spawned 'models/props/de_nuke/hr_nuke/stains/nuke_oil_puddle02.mdl'.
[05:56:45	]José Juan Carlos Bautista has fired a toolgun with the name: material
[05:56:45	]José Juan Carlos Bautista has fired a toolgun with the name: material
[05:57:09	]José Juan Carlos Bautista entered observer.
[05:57:14	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[05:57:32	]José Juan Carlos Bautista exited observer at their location.
[05:57:38	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_nuke/hr_nuke/stains/nuke_oil_puddle02.mdl'.
[05:57:38	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:58:24	]José Juan Carlos Bautista has disabled persistence for 'models/props/cs_militia/boxes_garage_lower.mdl'.
[05:58:24	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[05:58:31	]José Juan Carlos Bautista has enabled persistence for 'models/props/cs_militia/boxes_garage_lower.mdl'.
[05:58:31	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:58:40	]José Juan Carlos Bautista has spawned 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[05:59:04	]José Juan Carlos Bautista entered observer.
[05:59:45	]José Juan Carlos Bautista has enabled persistence for 'models/jq/hlvr/props/infestation/dead_body/xen_dead_body.mdl'.
[05:59:45	]José Juan Carlos Bautista has used a context menu option with the name: persist
[05:59:48	]José Juan Carlos Bautista has fired a toolgun with the name: material
[05:59:53	]José Juan Carlos Bautista exited observer at their location.
[06:00:37	]José Juan Carlos Bautista used command '/PermanentPropDescriptionAdd ... looks like a human.'.
[06:00:46	]José Juan Carlos Bautista has spawned 'models/xen/xen_dead_body_no_wall.mdl'.
[06:01:24	]José Juan Carlos Bautista has spawned 'models/jq/hlvr/props/xenpack/xen_spore001.mdl'.
[06:02:07	]José Juan Carlos Bautista has fired a toolgun with the name: material
[06:02:28	]José Juan Carlos Bautista has disabled persistence for 'models/props/de_nuke/hr_nuke/stains/nuke_oil_puddle02.mdl'.
[06:02:28	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:02:42	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_nuke/hr_nuke/stains/nuke_oil_puddle02.mdl'.
[06:02:42	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:02:54	]José Juan Carlos Bautista has spawned 'models/props/de_inferno/hr_i/inferno_bike/inferno_bike_02.mdl'.
[06:03:02	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_inferno/hr_i/inferno_bike/inferno_bike_02.mdl'.
[06:03:02	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:03:03	]José Juan Carlos Bautista has spawned 'models/props/de_inferno/hr_i/inferno_bike/inferno_bike_03.mdl'.
[06:03:05	]José Juan Carlos Bautista has spawned 'models/props/de_inferno/hr_i/inferno_bike/inferno_bike.mdl'.
[06:03:07	]José Juan Carlos Bautista has spawned 'models/props/bike_rack.mdl'.
[06:03:11	]José Juan Carlos Bautista has spawned 'models/props_junk/bicycle01a.mdl'.
[06:03:13	]José Juan Carlos Bautista has spawned 'models/props/gg_vietnam/bicycle_with_basket.mdl'.
[06:03:18	]José Juan Carlos Bautista has spawned 'models/props/de_dust/hr_dust/dust_bicycle/dust_bicycle_floor.mdl'.
[06:03:22	]José Juan Carlos Bautista has spawned 'models/props/de_dust/hr_dust/dust_bicycle/dust_bicycle_floor.mdl'.
[06:03:31	]José Juan Carlos Bautista has enabled persistence for 'models/props/de_dust/hr_dust/dust_bicycle/dust_bicycle_floor.mdl'.
[06:03:31	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:03:33	]José Juan Carlos Bautista has spawned 'models/weapons/w_models/arms/w_glove_motorcycle.mdl'.
[06:03:35	]José Juan Carlos Bautista has spawned 'models/props/de_dust/hr_dust/dust_bicycle/dust_bicycle_wall.mdl'.
[06:04:04	]José Juan Carlos Bautista has spawned 'models/props_borealis/door_wheel001a.mdl'.
[06:04:09	]José Juan Carlos Bautista has spawned 'models/props_c17/pulleywheels_large01.mdl'.
[06:04:23	]José Juan Carlos Bautista has spawned 'models/props_junk/bicycle01a.mdl'.
[06:04:27	]José Juan Carlos Bautista has used a context menu option with the name: skin
[06:04:36	]José Juan Carlos Bautista has enabled persistence for 'models/props_junk/bicycle01a.mdl'.
[06:04:36	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:05:15	]José Juan Carlos Bautista has spawned 'models/props_urban/mail_box001.mdl'.
[06:05:28	]José Juan Carlos Bautista has spawned 'models/props/de_inferno/hr_i/mail_box_a/mail_box_a.mdl'.
[06:05:51	]José Juan Carlos Bautista has spawned 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_02.mdl'.
[06:05:57	]José Juan Carlos Bautista has enabled persistence for 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_02.mdl'.
[06:05:57	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:05:59	]José Juan Carlos Bautista entered observer.
[06:06:07	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:06:15	]José Juan Carlos Bautista has disabled persistence for 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_02.mdl'.
[06:06:15	]José Juan Carlos Bautista has used a context menu option with the name: persist_end
[06:06:23	]José Juan Carlos Bautista has enabled persistence for 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_02.mdl'.
[06:06:23	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:06:24	]José Juan Carlos Bautista exited observer at their location.
[06:06:29	]José Juan Carlos Bautista has spawned 'models/props_junk/cardboard_unfolded_04.mdl'.
[06:06:32	]José Juan Carlos Bautista has spawned 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_02.mdl'.
[06:06:34	]José Juan Carlos Bautista has spawned 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_03.mdl'.
[06:06:37	]José Juan Carlos Bautista has spawned 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_03.mdl'.
[06:06:41	]José Juan Carlos Bautista entered observer.
[06:06:43	]José Juan Carlos Bautista exited observer at their location.
[06:06:45	]José Juan Carlos Bautista has spawned 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_03.mdl'.
[06:06:56	]José Juan Carlos Bautista has enabled persistence for 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_03.mdl'.
[06:06:56	]José Juan Carlos Bautista has used a context menu option with the name: persist
[06:06:59	]José Juan Carlos Bautista has spawned 'models/props_junk/garbage_newspaper001a.mdl'.
[06:07:03	]José Juan Carlos Bautista has fired a toolgun with the name: nocollideworld
[06:07:05	]José Juan Carlos Bautista has disabled persistence for 'models/props/ar_dizzy/dizzy_trash/dizzy_cardboard_trash_03.mdl'.
