[00:00:46	]Argus has connected.
[00:03:09	]Argus loaded the character 'Bernard von Steiner'
[00:03:09	]Bernard von Steiner their 'victory sq public stash' stash no longer exists, location reset.
[00:03:14	]Bernard von Steiner is fully healed.
[00:05:46	]Argus created the character 'Ginny Fredon'
[00:05:47	]Argus loaded the character 'Ginny Fredon'
[00:05:47	]Ginny Fredon has gained a '#61467's Identity Card' #1648139.
[00:05:47	]Ginny Fredon has gained a 'Worn Brown Shoes' #1648140.
[00:05:47	]Ginny Fredon has gained a 'Green Jumpsuit Trousers' #1648141.
[00:05:47	]Ginny Fredon has gained a 'Brown Jumpsuit' #1648142.
[00:06:09	]Ginny Fredon used command '/Request Help'.
[00:08:10	]Ginny Fredon has spawned 'models/props_c17/FurnitureDrawer001a.mdl'.
[00:08:27	]Ginny Fredon used command '/Broadcast Hellp'.
[00:08:38	]Ginny Fredon ran SAM command 'asay' with arguments: 'Welp'
[00:08:59	]Ginny Fredon used command '/Dispatch Hello'.
[00:09:05	]Ginny Fredon used command '/Dispatch Hello'.
[00:09:07	]Ginny Fredon used command '/Dispatch Hello'.
[00:09:29	]Ginny Fredon used command '/LinkRemove'.
[00:09:40	]Ginny Fredon used command '/LinkAccount Windbomb'.
[00:10:02	]Ginny Fredon used command '/LinkComplete SMNUmhGdTRRT'.
[00:10:56	]Argus loaded the character 'Bernard von Steiner'
[00:13:47	]Argus (STEAM_0:1:31884873) has disconnected.
