[00:39:52	]kawasaniac has connected.
[00:40:51	]kawasaniac loaded the character 'Bilbo Baggins'
[00:41:21	]Bilbo Baggins used command '/LinkAccount https://willard.network/forums/members/kawasaniac.2519/'.
[00:41:31	]Bilbo Baggins used command '/LinkComplete Kc2mcsjI1NPj'.
[00:41:33	]Bilbo Baggins entered observer.
[00:42:59	]Bilbo Baggins exited observer at their location.
[00:43:01	]Bilbo Baggins entered observer.
[00:43:53	]Bilbo Baggins exited observer at their location.
[00:44:01	]Bilbo Baggins used command '/PanelAdd https://images.pexels.com/photos/617278/pexels-photo-617278.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500 2 100'.
[00:44:08	]Bilbo Baggins used command '/PanelAdd https://images.pexels.com/photos/617278/pexels-photo-617278.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500 512 100'.
[00:44:08	]Bilbo Baggins entered observer.
[00:44:18	]Bilbo Baggins exited observer at their location.
[00:44:29	]Bilbo Baggins used command '/PanelAdd https://images.pexels.com/photos/617278/pexels-photo-617278.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500 500 55'.
[00:44:40	]Bilbo Baggins used command '/PanelAdd https://images.pexels.com/photos/617278/pexels-photo-617278.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500 2048 55'.
[00:45:01	]Bilbo Baggins used command '/PanelRemove 5048'.
[00:45:23	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:45:24	]Bilbo Baggins entered observer.
[00:45:28	]Bilbo Baggins exited observer at their location.
[00:45:32	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 5 100'.
[00:45:33	]Bilbo Baggins entered observer.
[00:46:03	]Bilbo Baggins exited observer at their location.
[00:46:03	]Bilbo Baggins was knocked unconscious and is bleeding out.
[00:46:19	]Bilbo Baggins was just killed due to: accepting their death
[00:46:24	]Bilbo Baggins entered observer.
[00:46:24	]Bilbo Baggins used command '/CharGetUp'.
[00:46:26	]Bilbo Baggins used command '/CharGetUp'.
[00:46:41	]Bilbo Baggins exited observer at their location.
[00:46:51	]Bilbo Baggins used command '/PanelAdd https://images.news18.com/ibnlive/uploads/2022/07/cats-2-165718841816x9.png 2 50'.
[00:46:55	]Bilbo Baggins entered observer.
[00:46:57	]Bilbo Baggins exited observer at their location.
[00:47:05	]Bilbo Baggins used command '/PanelAdd https://images.news18.com/ibnlive/uploads/2022/07/cats-2-165718841816x9.png 1 100'.
[00:47:18	]Bilbo Baggins entered observer.
[00:48:29	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:30	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:32	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:33	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:34	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:35	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:36	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:48:37	]Bilbo Baggins used command '/PanelAdd https://i.natgeofe.com/n/9135ca87-0115-4a22-8caf-d1bdef97a814/75552.jpg 1 100'.
[00:49:13	]Bilbo Baggins used command '/PanelAdd https://images.wallpapersden.com/image/download/convict-lake-autumn_am1uaW6UmZqaraWkpJRobWllrWdma2U.jpg 1 100'.
[00:49:20	]Bilbo Baggins used command '/PanelAdd https://images.wallpapersden.com/image/download/convict-lake-autumn_am1uaW6UmZqaraWkpJRobWllrWdma2U.jpg 1 100'.
[00:49:39	]Bilbo Baggins used command '/PanelAdd https://images4.alphacoders.com/932/932271.jpg 2 100'.
[00:52:50	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:52:53	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:52:55	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:52:58	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:53:03	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:53:06	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:53:08	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:53:10	]Bilbo Baggins used command '/PanelRemove 2048'.
[00:53:28	]Bilbo Baggins exited observer at their location.
[00:53:44	]Bilbo Baggins has spawned a 'NPC [6504][npc_vj_hlrof_cleansuitsci]'.
[00:53:53	]Bilbo Baggins has used a context menu option with the name: vj_pr_npc_slay
[00:53:56	]Bilbo Baggins has used a context menu option with the name: remove
[00:54:22	]Bilbo Baggins has used a context menu option with the name: remove
[00:54:23	]Bilbo Baggins has spawned a 'NPC [6504][npc_vj_hlrof_gonome]'.
[00:54:27	]Bilbo Baggins has taken 20 damage from Gonome.
[00:54:27	]Bilbo Baggins has taken 5 damage from obj_vj_hlr1_gonomegut.
[00:54:28	]Bilbo Baggins has used a context menu option with the name: remove
[00:54:32	]Bilbo Baggins has spawned a 'NPC [6504][npc_vj_gonome_zecu]'.
[00:54:33	]Bilbo Baggins has taken 30 damage from Gonome.
