[01:10:14	]Votton has connected.
[01:11:19	]Votton loaded the character 'Votton'
[01:11:24	]Votton is fully healed.
[01:12:10	]Votton (STEAM_0:1:46230933) has disconnected.
[16:20:32	]cloudbucket has connected.
[16:21:18	][AltChecker] cloudbucket joined without a cookie, but matched installation with existing cookie. Certainty 5/5
[16:21:32	]cloudbucket loaded the character 'Wilburt O'Hair'
[16:21:32	]Wilburt O'Hair their 'triumph street stash' stash no longer exists, location reset.
[16:21:37	]Wilburt O'Hair is fully healed.
[16:22:10	]Wilburt O'Hair ran 'drop' on item 'White Powder' (#360438)
[16:22:10	]Wilburt O'Hair has lost a 'White Powder' #360438.
[16:22:13	]Wilburt O'Hair ran 'take' on item 'White Powder' (#360438)
[16:22:13	]Wilburt O'Hair has gained a 'White Powder' #360438.
[16:25:22	]Wilburt O'Hair used command '/ActSit 3'.
[16:26:40	]Wilburt O'Hair used command '/ExitAct'.
[16:26:50	]Wilburt O'Hair used command '/ActStand 4'.
[16:27:47	]Wilburt O'Hair used command '/ExitAct'.
[16:27:54	]cloudbucket loaded the character 'Chumtoad'
[16:27:59	]Chumtoad is fully healed.
[16:30:53	]cloudbucket has unloaded their "Chumtoad" character.
[16:31:06	]cloudbucket loaded the character 'Luca Law'
[16:31:11	]Luca Law is fully healed.
[16:32:15	]cloudbucket has unloaded their "Luca Law" character.
[16:32:24	]cloudbucket loaded the character 'George Phlams'
[16:32:42	]cloudbucket has unloaded their "George Phlams" character.
[16:33:06	]cloudbucket loaded the character 'Yoshino Hideki'
[16:34:44	]cloudbucket has unloaded their "Yoshino Hideki" character.
[16:34:54	]cloudbucket loaded the character 'Wilburt O'Hair'
[16:35:11	]Wilburt O'Hair used command '/ActStand 4'.
[16:36:53	]Wilburt O'Hair used command '/ExitAct'.
[16:41:15	]Wilburt O'Hair ran 'Write' on item 'WINNING TICKET' (#1073361)
[16:42:22	]cloudbucket (STEAM_0:1:49652360) has disconnected.
