[20:36:49	]Purple Knight has connected.
[20:37:44	]Purple Knight loaded the character 'C17:RCT.YELLO-95'
[20:37:49	]C17:RCT.YELLO-95 is fully healed.
[20:38:02	]C17:RCT.YELLO-95 opened the 'File Cabinet' #76189 container.
[20:38:05	]C17:RCT.YELLO-95 closed the 'File Cabinet' #76189 container.
[20:38:05	]C17:RCT.YELLO-95 opened the 'File Cabinet' #76188 container.
[20:38:09	]C17:RCT.YELLO-95 closed the 'File Cabinet' #76188 container.
[20:38:38	]C17:RCT.YELLO-95 ran 'drop' on item 'CP Uniform' (#1649780)
[20:38:57	][IC] C17:RCT.YELLO-95: <:: Move! ::>
[20:39:01	][IC] C17:RCT.YELLO-95: <:: Hold it right there! ::>
[20:39:03	][IC] C17:RCT.YELLO-95: <:: Can. ::>
[20:39:08	][IC] C17:RCT.YELLO-95: <:: Shit! ::>
[20:39:13	]Purple Knight (STEAM_0:1:63227876) has disconnected.
[23:43:23	]Tony The Tiger has connected.
[23:45:47	]Tony The Tiger loaded the character 'S10:SCN-1'
[23:45:52	]S10:SCN-1 is fully healed.
[23:46:49	]S10:SCN-1 used command '/I REPORT RATIOS'.
[23:47:25	]Tony The Tiger (STEAM_0:0:49210697) has disconnected.
