[20:59:57	]Loxy has connected.
[21:11:49	]Loxy created the character 'Loxy Cat'
[21:11:49	]Loxy loaded the character 'Loxy Cat'
[21:11:49	]Loxy Cat has gained a 'Suitcase' #1649913.
[21:11:49	]Loxy Cat has gained a '#20162's Identity Card' #1649914.
[21:11:49	]Loxy Cat has gained a 'Brown Jumpsuit' #1649915.
[21:11:49	]Loxy Cat has gained a 'Blue Jumpsuit Trousers' #1649916.
[21:11:49	]Loxy Cat has gained a 'Glasses' #1649917.
[21:31:24	]Loxy Cat has gone afk.
[21:31:49	]Loxy Cat is no longer afk. Total time spent AFK: 320
[21:37:19	]Loxy Cat has gone afk.
[21:38:04	]Loxy Cat is no longer afk. Total time spent AFK: 340
[21:44:20	]Loxy Cat ran 'drop' on item 'Glasses' (#1649917)
[21:44:20	]Loxy Cat has lost a 'Glasses' #1649917.
[21:44:37	]Loxy Cat used command '/ActInjured'.
[21:44:41	]Loxy Cat used command '/ExitAct'.
[21:44:47	]Loxy Cat used command '/ActArrest'.
[21:44:50	]Loxy Cat used command '/ExitAct'.
[21:48:26	]Loxy Cat ran 'Equip' on item 'Suitcase' (#1649913)
[21:48:38	]Loxy Cat ran 'drop' on item '#20162's Identity Card' (#1649914)
[21:48:38	]Loxy Cat has lost a '#20162's Identity Card' #1649914.
[21:48:54	]Loxy Cat ran 'take' on item '#20162's Identity Card' (#1649914)
[21:48:54	]Loxy Cat has gained a '#20162's Identity Card' #1649914.
[21:49:37	]Loxy Cat ran 'take' on item 'Glasses' (#1649917)
[21:49:37	]Loxy Cat has gained a 'Glasses' #1649917.
[21:50:18	]Loxy Cat used command '/DoorBuy'.
[21:51:43	]Loxy Cat has pressed the "CWU_WorkerAnnouncement" map button.
[21:51:49	]Loxy Cat has pressed the "CWU_WorkerAnnouncement" map button.
[21:56:24	]Loxy Cat has gained level 1 in the Speed skill.
[22:05:37	]Loxy (STEAM_0:1:421238310) has disconnected.
