[00:09:11	]Tony The Tiger has connected.
[00:10:53	]Tony The Tiger loaded the character 'C17:CpT.YELLO-95'
[00:11:08	]C17:CpT.YELLO-95 used command '/Doorkick'.
[00:12:38	]Tony The Tiger (STEAM_0:0:49210697) has disconnected.
[14:12:23	]Mango has connected.
[14:13:10	]Mango loaded the character 'Gulanga'
[14:13:15	]Gulanga is fully healed.
[14:14:59	]Gulanga entered observer.
[14:15:01	]Gulanga exited observer at their location.
[14:15:11	]Gulanga entered observer.
[14:16:20	]Gulanga has used a context menu option with the name: remove
[14:16:40	][IC] Gulanga: A.
[14:16:41	][IC] Gulanga: A.
[14:16:44	][IC] Gulanga: Eeeeeeeeee.
[14:16:57	]Mango (STEAM_0:0:544539350) has disconnected.
[14:21:14	]Mango has connected.
[14:22:22	]Mango loaded the character 'Gulanga'
[14:22:27	]Gulanga is fully healed.
[14:22:34	]Gulanga entered observer.
[14:22:50	]Gulanga has used a context menu option with the name: remove
[14:22:52	]Gulanga has used a context menu option with the name: remove
[14:23:09	]Gulanga has spawned a 'Entity [423][ix_teleporter]'.
[14:25:15	]Mango (STEAM_0:0:544539350) has disconnected.
[16:37:02	]Mango has connected.
[16:37:41	]Mango loaded the character 'Gulanga'
[16:37:49	]Gulanga entered observer.
[16:37:55	]Gulanga exited observer at their location.
[16:38:09	][IC] Gulanga: A.
[16:38:10	][IC] Gulanga: A.
[16:38:15	]Gulanga used command '/MapRestart 2'.
[16:41:26	]Mango has connected.
[16:42:02	]Mango loaded the character 'Gulanga'
[16:42:07	]Gulanga is fully healed.
[16:42:10	]Gulanga entered observer.
[16:42:10	]Gulanga exited observer at their location.
[16:46:08	]Mango has connected.
[16:46:45	]Mango loaded the character 'Gulanga'
[16:46:50	]Gulanga is fully healed.
[16:46:52	]Gulanga entered observer.
[16:46:52	]Gulanga exited observer at their location.
[16:46:53	]Gulanga entered observer.
[16:47:16	][IC] Gulanga: A.
[16:47:17	][IC] Gulanga: A.
[16:47:18	][IC] Gulanga: A.
[16:47:22	][LOOC] Gulanga: test
[16:47:24	][LOOC] Gulanga: test
[16:47:37	]Gulanga has spawned a 'Entity [427][ix_teleporter]'.
[16:47:45	]Gulanga exited observer at their location.
[16:47:46	][IC] Gulanga: A.
[16:47:48	]Gulanga entered observer.
[16:47:50	][IC] Gulanga: A.
[16:47:52	][IC] Gulanga: A.
[16:47:53	][IC] Gulanga: A.
[16:47:54	][IC] Gulanga: E.
[16:47:56	][LOOC] Gulanga: test
[16:47:57	]Gulanga exited observer at their location.
[16:47:59	][LOOC] Gulanga: test
[16:48:02	]Gulanga entered observer.
[16:48:07	]Gulanga exited observer at their location.
[16:48:11	]Gulanga entered observer.
[16:48:14	][LOOC] Gulanga: a
[16:48:15	]Gulanga exited observer at their location.
[16:49:33	]Gulanga entered observer.
[16:49:39	]Gulanga exited observer at their location.
[16:49:40	]Gulanga entered observer.
[16:49:41	]Gulanga exited observer at their location.
[16:50:33	]Gulanga entered observer.
[16:50:35	][IC] Gulanga: A.
[16:50:36	][IC] Gulanga: E.
[16:50:42	][IC] Gulanga: A.
[16:50:43	][IC] Gulanga: E.
[16:50:47	]Gulanga exited observer at their location.
[16:55:35	][IC] Gulanga: A.
[16:55:36	]Gulanga entered observer.
[16:55:37	][IC] Gulanga: A.
[16:55:46	][IC] Gulanga: A.
[16:55:47	][IC] Gulanga: A.
[16:55:48	][IC] Gulanga: E.
[16:55:50	][IC] Gulanga: E.
[16:55:51	][IC] Gulanga: E.
[16:55:52	]Gulanga exited observer at their location.
[16:55:53	][IC] Gulanga: E.
[16:55:55	]Gulanga entered observer.
[16:56:04	]Mango (STEAM_0:0:544539350) has disconnected.
