[13:27:13	]Ozzekiel has connected.
[13:28:29	]Ozzekiel loaded the character 'C24:RL.HERO-1'
[13:28:34	]C24:RL.HERO-1 is fully healed.
[13:29:02	]C24:RL.HERO-1 entered observer.
[13:29:04	]C24:RL.HERO-1 exited observer at their location.
[13:29:07	]C24:RL.HERO-1 entered observer.
[13:29:17	]C24:RL.HERO-1 exited observer at their location.
[13:29:28	]C24:RL.HERO-1 has spawned a broken_otauniform.
[13:29:32	]C24:RL.HERO-1 has used a context menu option with the name: remove
[13:29:33	]C24:RL.HERO-1 entered observer.
[13:29:37	]C24:RL.HERO-1 exited observer at their location.
[13:29:48	]Ozzekiel (STEAM_0:1:87098652) has disconnected.
[17:48:39	]apathy is death has connected.
[17:49:37	]apathy is death loaded the character 'vortivort'
[17:51:07	]kawasaniac has connected.
[17:51:59	]kawasaniac loaded the character '23123131 3213 1'
[17:52:14	][OOC] 23123131 3213 1: ты вху
[17:52:15	]23123131 3213 1 entered observer.
[17:55:26	]apathy is death has connected.
[17:55:58	]kawasaniac has connected.
[17:56:15	]apathy is death loaded the character 'vortivort'
[17:56:43	]Console ran SAM command 'adduser' with arguments: 'vortivort' 'superadmin'
[17:57:01	]kawasaniac loaded the character 'Bilbo Baggins'
[17:57:08	][OOC] vortivort: .
[17:57:12	][OOC] Bilbo Baggins: who?
[17:57:15	]Bilbo Baggins entered observer.
[17:57:16	]Bilbo Baggins exited observer at their location.
[17:57:22	][IC] vortivort: Who.
[17:57:25	]Sachimii has connected.
[17:57:25	][IC] Bilbo Baggins: Рш.
[17:57:27	][IC] Bilbo Baggins: Hi.
[17:57:28	][IC] vortivort: Hi.
[17:57:30	][IC] vortivort: Galung.
[17:57:31	][IC] vortivort: Galunga.
[17:57:33	][IC] Bilbo Baggins: V5.
[17:57:34	][IC] vortivort: How.
[17:57:35	][IC] Bilbo Baggins: Напиши.
[17:57:36	][IC] vortivort: Gung...
[17:57:36	][IC] Bilbo Baggins: V3.
[17:57:38	][IC] Bilbo Baggins: V4.
[17:57:38	][IC] vortivort: Lurr...
[17:57:39	][IC] Bilbo Baggins: V2.
[17:57:39	][IC] vortivort: Lung...
[17:57:40	][IC] vortivort: Turr...
[17:57:42	][IC] vortivort: Gerr...
[17:57:43	][IC] vortivort: Gah'lung...
[17:57:45	][IC] Bilbo Baggins: Gerr.
[17:57:47	][IC] vortivort: Galla'lung...
[17:57:51	][IC] Bilbo Baggins: V5|done.
[17:57:53	][IC] Bilbo Baggins: Или как там.
[17:57:56	][IC] vortivort: Gung... Done!
[17:58:00	][IC] vortivort: Хфхвыфхв.
[17:58:26	]Bilbo Baggins is fully healed.
[17:58:26	]Bilbo Baggins entered observer.
[17:58:28	]Bilbo Baggins entered observer.
[17:58:28	]Bilbo Baggins exited observer at their location.
[17:58:54	]Sachimii (STEAM_0:0:148609479) deleted character 'S10/OCS.ECHO-04'
[17:58:55	]Bilbo Baggins used command '/PlyWhitelist ^ vortigaunt'.
[17:58:56	]Sachimii (STEAM_0:0:148609479) deleted character 'Arh'Kaa'
[17:58:58	]Sachimii (STEAM_0:0:148609479) deleted character 'S10/OWS.MIDNIGHT-24'
[17:59:00	]Sachimii (STEAM_0:0:148609479) deleted character 'C24:i1.ROLLER-6'
[17:59:03	]Sachimii (STEAM_0:0:148609479) deleted character 'C24:i4.QUICK-6'
[17:59:07	]Sachimii (STEAM_0:0:148609479) deleted character 'Sohi'Taka'
[17:59:08	]Sachimii (STEAM_0:0:148609479) deleted character 'Sachimii'
[17:59:39	]vortivort used command '/LinkAccount /naast.3589'.
[17:59:44	]vortivort used command '/LinkAccount naast.3589'.
[17:59:48	]kawasaniac created the character '1231 3123'
[17:59:48	]kawasaniac loaded the character '1231 3123'
[17:59:55	]vortivort used command '/LinkAccount 3589'.
[17:59:57	]1231 3123 entered observer.
[17:59:58	]1231 3123 exited observer at their location.
[18:00:07	]vortivort used command '/LinkAccount Naast'.
[18:00:14	]vortivort has taken 40 damage from 1231 3123.
[18:00:18	][IC] 1231 3123: Огоооо.
[18:00:19	]Sachimii created the character 'Gah'Lung'Gah'
[18:00:19	]Sachimii loaded the character 'Gah'Lung'Gah'
[18:00:23	]vortivort used command '/LinkComplete BQmhFObQplK0'.
[18:00:25	][IC] 1231 3123: А вортислэм направленный?
[18:00:30	][IC] vortivort: Нет он вокруг бьет.
[18:00:31	][IC] 1231 3123: Или рейндж просто.
[18:00:31	]Hiros | Error 410 has connected.
[18:00:32	][Y] Gah'Lung'Gah: Galanga.
[18:00:32	][IC] 1231 3123: А.
[18:00:34	]Gah'Lung'Gah entered observer.
[18:00:34	][OOC] vortivort: .
[18:00:35	]vortivort entered observer.
[18:00:35	]Gah'Lung'Gah exited observer at their location.
[18:00:35	]vortivort exited observer at their location.
[18:00:38	][OOC] Gah'Lung'Gah: galanga
[18:00:39	][IC] Gah'Lung'Gah: Hi.
[18:00:39	][IC] vortivort: Galanga.
[18:00:41	]vortivort has taken 40 damage from 1231 3123.
[18:00:41	]Gah'Lung'Gah has taken 40 damage from 1231 3123.
[18:00:44	]vortivort ran SAM command 'hp' with arguments: '^' '200'
[18:00:44	][IC] Gah'Lung'Gah: Give kme.
[18:00:45	]vortivort is fully healed.
[18:00:47	]vortivort used command '/SetVortalEnergy ^ 100'.
[18:00:47	][IC] Gah'Lung'Gah: 50 ortsesstesce.
[18:00:52	]vortivort entered observer.
[18:00:53	]Gah'Lung'Gah used command '/ViewInfo Gah'Lung'.
[18:00:53	]vortivort exited observer at their location.
[18:00:56	]1231 3123 entered observer.
[18:00:58	]1231 3123 exited observer at their location.
[18:01:00	]Gah'Lung'Gah has gained level 50 in the Vortessence skill.
[18:01:00	]vortivort used command '/CharSkillSet gah vortessence 50'.
[18:01:02	][IC] vortivort: Done!
[18:01:05	][IC] 1231 3123: Gung...
[18:01:07	][IC] 1231 3123: Done!
[18:01:07	][IC] Gah'Lung'Gah: Gung.
[18:01:09	][IC] 1231 3123: Gung...
