[13:29:51	]TheDeNuke has connected.
[13:30:46	]TheDeNuke loaded the character 'Grendel'
[13:30:51	]Grendel is fully healed.
[13:30:55	]Grendel entered observer.
[13:31:05	]Grendel exited observer at their location.
[13:31:47	]Grendel used command '/SetVortalEnergy gren 100'.
[13:32:00	]Grendel has spawned a 'NPC [426][npc_breen]'.
[13:32:41	]Grendel has spawned a 'NPC [426][npc_combine_s]'.
[13:32:42	]Grendel has taken 3 damage from npc_combine_s.
[13:32:42	]Grendel has taken 3 damage from npc_combine_s.
[13:32:43	]Grendel has taken 3 damage from npc_combine_s.
[13:32:49	]Grendel has spawned a 'NPC [426][npc_combine_s]'.
[13:32:50	]Grendel has taken 3 damage from npc_combine_s.
[13:38:13	]Grendel has given himself a ing_xen_extract.
[13:38:13	]Grendel has gained a 'Antlion Extract' #1650236.
[13:38:25	]Grendel has given himself a xen_concoction.
[13:38:25	]Grendel has gained a 'Extract Concoction' #1650237.
[13:38:39	]Grendel ran 'Consume' on item 'Extract Concoction' (#1650237)
[13:38:39	]Grendel has gained a level 15 long boost in Strength.
[13:38:39	]Grendel has gained a level 15 long boost in Agility.
[13:38:39	]Grendel has gained a level 15 long boost in Intelligence.
[13:38:39	]Grendel has gained a level 15 long boost in Perception.
[13:38:41	]Grendel is fully healed.
[13:39:18	]Grendel has spawned a 'NPC [426][npc_combine_s]'.
[13:42:09	]Grendel set advancedBeamDamage to '500'.
[13:46:47	]Grendel has given himself a ration.
[13:46:47	]Grendel has gained a 'Ration' #1650238.
[13:46:56	]Grendel ran 'Open' on item 'Ration' (#1650238)
[13:46:56	]Grendel has gained a 'Artificial Paste' #1650239.
[13:46:56	]Grendel has gained a 'Breen's Water' #1650240.
[13:46:56	]Grendel has gained a 'Basic Credits Coupon' #1650241.
[13:51:30	]TheDeNuke (STEAM_0:0:24415625) has disconnected.
[16:45:06	]Furret No Furry Asimo has connected.
[16:46:48	]Furret No Furry Asimo loaded the character 'LORD-STEVEN-X'
[16:46:53	]LORD-STEVEN-X is fully healed.
[16:46:59	]LORD-STEVEN-X used command '/PlyWhitelist ^ vort'.
[16:47:58	]Furret No Furry Asimo created the character 'Galungae'
[16:47:58	]Furret No Furry Asimo loaded the character 'Galungae'
[16:48:16	]Galungae has gained level 50 in the Vortessence skill.
[16:48:16	]Galungae used command '/CharSkillSet ^ vortessence 50'.
[16:48:23	]Galungae entered observer.
[16:48:29	]Galungae exited observer at their location.
[16:48:43	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[16:49:08	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[16:52:13	]Galungae has spawned a 'NPC [426][npc_citizen]'.
[16:55:30	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:55:35	]Furret No Furry Asimo loaded the character 'Billly Bo'
[16:55:44	]Furret No Furry Asimo loaded the character 'Galungae'
[16:55:56	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[16:56:15	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:56:30	]Galungae has spawned a 'NPC [426][npc_helicopter]'.
[16:56:35	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:56:42	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:56:49	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:56:52	]Galungae has spawned a 'NPC [426][npc_strider]'.
[16:56:55	]Galungae has taken 5 damage from npc_strider.
[16:56:55	]Galungae has taken 5 damage from npc_strider.
[16:56:55	]Galungae has taken 5 damage from npc_strider.
[16:56:55	]Galungae has taken 5 damage from npc_strider.
[16:56:56	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:56:59	]Galungae has taken 5 damage from npc_strider.
[16:57:00	]Galungae has taken 5 damage from npc_strider.
[16:57:08	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:57:12	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:57:16	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:57:18	]Galungae has taken 5 damage from npc_strider.
[16:57:18	]Galungae has taken 5 damage from npc_strider.
[16:57:19	]Galungae has taken 5 damage from npc_strider.
[16:57:21	]Galungae has taken 5 damage from npc_strider.
[16:57:21	]Galungae has taken 5 damage from npc_strider.
[16:57:22	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:57:26	]Galungae has taken 5 damage from npc_strider.
[16:57:27	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:57:47	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[16:57:54	]Galungae used command '/SetVortalEnergy ^ 100'.
[16:58:01	]Galungae has spawned a 'NPC [426][npc_antlionguard]'.
[16:59:45	]Galungae used command '/ToggleRaise'.
[17:00:08	]Galungae has gained level 50 in the Melee skill.
[17:00:08	]Galungae used command '/CharSkillSet ^ melee 50'.
[17:00:10	]Galungae has spawned a 'NPC [426][npc_zombie]'.
[17:00:14	]Galungae has spawned a 'NPC [426][npc_fastzombie]'.
[17:00:18	]Galungae has spawned a 'NPC [426][npc_poisonzombie]'.
[17:00:19	]Galungae has taken 10 damage from npc_poisonzombie.
[17:00:26	]Galungae has spawned a 'NPC [426][npc_zombie]'.
[17:02:08	]Galungae has spawned a 'NPC [426][npc_poisonzombie]'.
[17:02:12	]Galungae has gained a 'Raw Headcrab Meat' #1650242.
[17:02:12	]Galungae has gained a 'Raw Headcrab Meat' #1650243.
[17:02:12	]Galungae has gained a 'Raw Headcrab Meat' #1650244.
[17:02:12	]Galungae has gained a 'Raw Headcrab Meat' #1650245.
[17:02:12	]Galungae has gained a 'Raw Headcrab Meat' #1650246.
[17:02:38	]Galungae has spawned a 'NPC [426][npc_zombie]'.
[17:03:12	]Galungae used command '/CharSkillSet ^ melee 0'.
[17:03:20	]Galungae has spawned a 'NPC [426][npc_zombie]'.
[17:03:24	]Galungae has taken 10 damage from npc_zombie.
[17:03:53	]Galungae ran SAM command 'hp' with arguments: '^' '99999999'
[17:03:54	]Galungae is fully healed.
[17:03:58	]Galungae has spawned a 'NPC [426][npc_strider]'.
[17:03:58	]Galungae entered observer.
[17:04:00	]Galungae exited observer at their location.
[17:04:02	]Galungae has taken 5 damage from npc_strider.
[17:04:03	]Galungae has taken 5 damage from npc_strider.
[17:04:03	]Galungae has taken 5 damage from npc_strider.
[17:04:03	]Galungae has taken 5 damage from npc_strider.
[17:04:04	]Galungae is fully healed.
[17:04:06	]Galungae has taken 5 damage from npc_strider.
[17:04:07	]Galungae has taken 5 damage from npc_strider.
[17:04:07	]Galungae has taken 5 damage from npc_strider.
[17:04:07	]Galungae has taken 5 damage from npc_strider.
[17:04:07	]Galungae has taken 5 damage from npc_strider.
[17:04:09	]Galungae is fully healed.
[17:04:10	]Galungae has taken 5 damage from npc_strider.
[17:04:11	]Galungae used command '/ToggleRaise'.
[17:04:11	]Galungae has taken 5 damage from npc_strider.
[17:04:11	]Galungae has taken 5 damage from npc_strider.
[17:04:11	]Galungae has taken 5 damage from npc_strider.
[17:04:11	]Galungae has taken 5 damage from npc_strider.
[17:04:14	]Galungae is fully healed.
[17:04:15	]Galungae has taken 5 damage from npc_strider.
[17:04:19	]Galungae has taken 5 damage from npc_strider.
[17:04:19	]Galungae has taken 5 damage from npc_strider.
[17:04:19	]Galungae has taken 5 damage from npc_strider.
[17:04:19	]Galungae is fully healed.
[17:04:19	]Galungae has taken 5 damage from npc_strider.
[17:04:19	]Galungae has taken 5 damage from npc_strider.
[17:04:23	]Galungae has taken 5 damage from npc_strider.
[17:04:23	]Galungae has taken 5 damage from npc_strider.
[17:04:23	]Galungae has taken 5 damage from npc_strider.
[17:04:23	]Galungae has taken 5 damage from npc_strider.
[17:04:24	]Galungae has taken 5 damage from npc_strider.
[17:04:24	]Galungae has taken 5 damage from npc_strider.
[17:04:24	]Galungae is fully healed.
[17:04:26	]Galungae entered observer.
[17:04:27	]Galungae exited observer at their location.
[17:06:42	]Galungae has spawned a 'NPC [426][npc_zombie]'.
[17:06:44	]Galungae has spawned a 'NPC [428][npc_zombie]'.
[17:06:44	]Galungae has spawned a 'NPC [429][npc_zombie]'.
[17:06:44	]Galungae has spawned a 'NPC [430][npc_zombie]'.
[17:06:44	]Galungae has spawned a 'NPC [431][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [432][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [433][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [435][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [436][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [437][npc_zombie]'.
[17:06:45	]Galungae has spawned a 'NPC [438][npc_zombie]'.
