[13:39:29	]Kranky has connected.
[13:41:45	]Kranky loaded the character 'John Johnson'
[13:42:04	]John Johnson used command '/LinkAccount Kranky2020'.
[13:42:18	]John Johnson used command '/LinkComplete U0ul2AbrhrVH'.
[13:42:51	]John Johnson ran 'take' on item 'Outlands Meat Belt' (#1653930)
[13:42:51	]John Johnson has gained a 'Outlands Meat Belt' #1653930.
[13:42:56	]Kranky has unloaded their "John Johnson" character.
[13:43:05	]Kranky (STEAM_0:1:110380124) has disconnected.
[22:47:05	]Vadim has connected.
[22:49:19	]Vadim (STEAM_0:1:555082508) deleted character 'S10/OWS.GHOST-17'
[22:49:34	]Vadim loaded the character 'S10/EOW.SENTINEL-08'
[22:49:38	]S10/EOW.SENTINEL-08 is fully healed.
[22:49:53	]S10/EOW.SENTINEL-08 used command '/CharDesc'.
[22:50:34	]S10/EOW.SENTINEL-08 destroyed a 'OSITR' #1655363.
[22:50:36	]S10/EOW.SENTINEL-08 destroyed a 'Large Bag' #1655801.
[22:50:38	]S10/EOW.SENTINEL-08 destroyed a 'OTA Uniform' #1655807.
[22:50:40	]S10/EOW.SENTINEL-08 destroyed a 'Small Bag' #1655800.
[22:50:40	]S10/EOW.SENTINEL-08 destroyed a 'UMP-45' #1653160.
[22:50:41	]S10/EOW.SENTINEL-08 destroyed a 'Overwatch Assault Shotgun' #1655809.
[22:50:42	]S10/EOW.SENTINEL-08 destroyed a 'OTA Suppressor Uniform' #1655688.
[22:50:43	]S10/EOW.SENTINEL-08 destroyed a 'OTA Elite Uniform' #1655813.
[22:50:43	]S10/EOW.SENTINEL-08 destroyed a 'Containment Uniform' #1655810.
[22:50:44	]S10/EOW.SENTINEL-08 destroyed a 'OSPR2A-EXP' #1655815.
[22:50:46	]S10/EOW.SENTINEL-08 destroyed a 'Combine PDA' #1655806.
[22:50:47	]S10/EOW.SENTINEL-08 destroyed a 'Rifle Bullets' #1655820.
[22:50:48	]S10/EOW.SENTINEL-08 destroyed a 'Special Energerized Bullets' #1655817.
[22:50:48	]S10/EOW.SENTINEL-08 destroyed a 'Special Energerized Bullets' #1655818.
[22:50:50	]S10/EOW.SENTINEL-08 destroyed a 'Heavy Pulse Rounds' #1655819.
