[00:37:05	]CreekMando has connected.
[00:38:43	]CreekMando loaded the character 'C24:i4.ROLLER-4'
[00:38:48	]C24:i4.ROLLER-4 is fully healed.
[00:39:52	]C24:i4.ROLLER-4 used command '/ActThreat'.
[00:40:28	]C24:i4.ROLLER-4 has changed C24:i4.ROLLER-4's bodygroups.
[00:40:38	]C24:i4.ROLLER-4 has gained level 45 in the Speed skill.
[00:41:18	]C24:i4.ROLLER-4 has spawned 'models/props_c17/FurnitureWashingmachine001a.mdl'.
[00:41:57	]C24:i4.ROLLER-4 ran 'Equip' on item 'Combine PDA' (#560984)
[00:42:34	]C24:i4.ROLLER-4 has spawned 'models/props_interiors/couch.mdl'.
[00:43:48	]CreekMando loaded the character 'C17:RCT.YELLO-08'
[00:44:02	]C17:RCT.YELLO-08 ran 'drop' on item 'applicatorItemName' (#1649870)
[00:44:02	]C17:RCT.YELLO-08 has lost a 'applicatorItemName' #1649870.
[00:44:04	]C17:RCT.YELLO-08 ran 'drop' on item 'White Hazmat Uniform' (#1649879)
[00:44:04	]C17:RCT.YELLO-08 has lost a 'White Hazmat Uniform' #1649879.
[00:45:03	]CreekMando loaded the character 'C24.CREMATOR:522'
[00:45:08	]C24.CREMATOR:522 is fully healed.
[00:45:14	]entityflame destroyed a 'applicatorItemName' #1649870.
[00:45:14	]entityflame destroyed a 'White Hazmat Uniform' #1649879.
[00:45:17	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:17	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:17	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:17	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:17	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:18	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:19	]C24.CREMATOR:522 has taken 10 damage from env_fire.
[00:45:25	]C24.CREMATOR:522 has taken 12 damage from env_fire.
[00:45:25	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:25	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:25	]C24.CREMATOR:522 has taken 8 damage from env_fire.
[00:45:25	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:26	]C24.CREMATOR:522 has taken 12 damage from env_fire.
[00:45:26	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:26	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:26	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:26	]C24.CREMATOR:522 has taken 0 damage from point_hurt.
[00:45:27	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:27	]C24.CREMATOR:522 has taken 12 damage from env_fire.
[00:45:30	]C24.CREMATOR:522 has taken 12 damage from env_fire.
[00:45:30	]C24.CREMATOR:522 has taken 10 damage from env_fire.
[00:45:31	]C24.CREMATOR:522 has taken 8 damage from env_fire.
[00:45:31	]C24.CREMATOR:522 has taken 12 damage from env_fire.
[00:45:31	]C24.CREMATOR:522 has taken 10 damage from env_fire.
[00:45:32	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:32	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:32	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:32	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 8 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 8 damage from env_fire.
[00:45:33	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 8 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 9 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 7 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 has taken 6 damage from env_fire.
[00:45:34	]C24.CREMATOR:522 was knocked unconscious and is bleeding out.
[00:45:35	]C24.CREMATOR:522 was killed while bleeding out.
[00:45:35	]env_fire has killed C24.CREMATOR:522 with env_fire.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
[00:45:45	]C24.CREMATOR:522 has taken 1 damage from point_hurt.
