[00:00:20	][IC] Mar'Eyoo: Stop typing.
[00:00:42	]Kaffee (STEAM_0:0:74662997) has disconnected (timed out).
[00:06:06	]The Milkman has connected.
[00:06:11	]Kaffee has connected.
[00:07:47	]The Milkman loaded the character 'gaklalalkalalaung'
[00:07:52	]gaklalalkalalaung is fully healed.
[00:09:10	]gaklalalkalalaung used command '/phonesay hi'.
[00:09:13	]gaklalalkalalaung used command '/phonesay hi'.
[00:09:15	]Kaffee loaded the character 'Mister Promiscuous'
[00:09:19	]Mister Promiscuous is fully healed.
[00:09:20	]gaklalalkalalaung used command '/HangupPhone'.
[00:09:54	]gaklalalkalalaung ran SAM command 'asay' with arguments: 'kaffee give me my cp whitelist .. w. . .w....'
[00:10:00	][IC] gaklalalkalalaung: Dey'nach? *Unintelligible*.
[00:10:06	]Mister Promiscuous claimed a report by gaklalalkalalaung (The Milkman).
[00:10:33	]Mister Promiscuous used command '/PlyWhitelist gakla cp'.
[00:11:25	]The Milkman created the character 'C17:RCT.YELLO-33'
[00:11:25	]gaklalalkalalaung has gained level 10 in the Speed skill.
[00:11:25	]C17:RCT.YELLO-33 has gained a '#38698's Identity Card' #1656017.
[00:11:25	]The Milkman loaded the character 'C17:RCT.YELLO-33'
[00:11:25	]C17:RCT.YELLO-33 has gained a 'Combine PDA' #1656018.
[00:11:25	]C17:RCT.YELLO-33 has gained a 'CP Uniform' #1656019.
[00:11:25	]C17:RCT.YELLO-33 has gained a 'CP Mask' #1656020.
[00:11:25	]C17:RCT.YELLO-33 has gained a 'Handheld Radio' #1656021.
[00:11:25	]C17:RCT.YELLO-33 has gained a 'Small Bag' #1656022.
[00:11:25	]C17:RCT.YELLO-33 has gained a 'Large Bag' #1656023.
[00:11:26	]Mister Promiscuous entered observer.
[00:11:49	]C17:RCT.YELLO-33 ran 'Equip' on item 'Combine PDA' (#1656018)
[00:11:51	]C17:RCT.YELLO-33 ran 'ToggleOn' on item 'Handheld Radio' (#1656021)
[00:12:19	]Raptorian has connected.
[00:12:46	]C17:RCT.YELLO-33 used command '/Radio so this is what's its like to be a femcop'.
[00:13:09	]Mister Promiscuous exited observer at their location.
[00:13:11	]Mister Promiscuous entered observer.
[00:13:24	]Mister Promiscuous exited observer at their location.
[00:13:33	][IC] Mister Promiscuous: What do u think of this map btw.
[00:13:42	][IC] C17:RCT.YELLO-33: <:: Uh. ::>
[00:13:45	][IC] C17:RCT.YELLO-33: <:: I kinda like it tbh. ::>
[00:13:49	][IC] C17:RCT.YELLO-33: <:: Despite no slums. ::>
[00:13:57	][IC] C17:RCT.YELLO-33: <:: Nice and big. ::>
[00:14:05	]Mister Promiscuous has spawned a mp7a1.
[00:14:08	]Raptorian loaded the character 'John Husky'
[00:14:23	][OOC] John Husky: john husky here
[00:14:26	]C17:RCT.YELLO-33 ran 'take' on item 'MP7A1' (#1656024)
[00:14:26	]C17:RCT.YELLO-33 has gained a 'MP7A1' #1656024.
[00:14:29	]C17:RCT.YELLO-33 ran 'Equip' on item 'MP7A1' (#1656024)
[00:14:30	]Mister Promiscuous has spawned a magazine_mp_30rnd.
[00:14:30	]Mister Promiscuous has spawned a magazine_mp_30rnd.
[00:14:33	]C17:RCT.YELLO-33 ran 'take' on item '30rnd MP-magazine' (#1656025)
