[01:34:12	]Fallizs has connected.
[01:35:40	]Fallizs loaded the character 'average rebel sigma'
[01:35:45	]average rebel sigma is fully healed.
[01:41:10	]average rebel sigma has gone afk.
[01:45:00	]average rebel sigma is no longer afk. Total time spent AFK: 525
[01:45:11	]Fallizs (STEAM_0:0:512853308) has disconnected.
[11:06:08	]Rabithunter has connected.
[11:08:26	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[11:11:16	]Rabithunter has connected.
[11:15:17	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[16:44:24	]Rabithunter has connected.
[16:45:31	]Rabithunter loaded the character 'Jenifer Maesroe'
[16:45:36	]Jenifer Maesroe is fully healed.
[16:45:49	]Jenifer Maesroe ran 'Place' on item 'CMRU Lock' (#1658861)
[16:45:57	]Jenifer Maesroe used command '/CharGiveFlag jeni m'.
[16:46:04	]Jenifer Maesroe ran 'SetAccessLevel' on item 'CMRU Level 1 Access Keycard' (#1658860)
[16:46:39	]Jenifer Maesroe has used a context menu option with the name: rb655_dissolve
[16:46:41	]Jenifer Maesroe ran 'drop' on item 'CMRU Level 2 Access Keycard' (#1658860)
[16:46:41	]Jenifer Maesroe has lost a 'CMRU Level 2 Access Keycard' #1658860.
[16:46:43	]Jenifer Maesroe has used a context menu option with the name: remove
[16:46:54	]Jenifer Maesroe has given himself a cmrulock.
[16:46:54	]Jenifer Maesroe has gained a 'CMRU Lock' #1658865.
[16:46:55	]Jenifer Maesroe has given himself a cmru_card.
[16:46:55	]Jenifer Maesroe has gained a 'CMRU Level 1 Access Keycard' #1658866.
[16:46:58	]Jenifer Maesroe ran 'Place' on item 'CMRU Lock' (#1658865)
[16:47:01	]Jenifer Maesroe ran 'Bind' on item 'CMRU Level 1 Access Keycard' (#1658866)
[16:48:28	]Jenifer Maesroe ran 'SetAccessLevel' on item 'CMRU Level 1 Access Keycard' (#1658866)
[16:48:29	]Jenifer Maesroe ran 'SetAccessLevel' on item 'CMRU Level 2 Access Keycard' (#1658866)
[16:48:30	]Jenifer Maesroe ran 'SetAccessLevel' on item 'CMRU Level 3 Access Keycard' (#1658866)
[16:49:04	]Rabithunter (STEAM_0:1:22394854) has disconnected.
[18:55:06	]RedHotGinger has connected.
[18:56:24	]RedHotGinger loaded the character 'Sohaila Asker'
[18:56:38	]Sohaila Asker used command '/ToggleGM'.
[18:56:39	]Sohaila Asker entered observer.
[18:56:42	]Sohaila Asker exited observer at their location.
[18:56:49	]Sohaila Asker entered observer.
[18:57:05	]Sohaila Asker exited observer at their location.
[18:57:59	]Sohaila Asker used command '/EditTextScreen'.
[18:58:10	]Sohaila Asker used command '/EnterTextScreen'.
[18:58:56	]Sohaila Asker used command '/EditTextScreen'.
[18:59:04	]Sohaila Asker used command '/EnterTextScreen'.
[18:59:15	]Sohaila Asker entered observer.
[19:00:32	]Sohaila Asker used command '/EnterTextScreen'.
[19:00:46	]Sohaila Asker used command '/EditTextScreen'.
[19:00:56	]Sohaila Asker used command '/EnterTextScreen'.
[19:02:27	]Sohaila Asker used command '/EnterTextScreen'.
[19:02:57	]Sohaila Asker exited observer at their location.
[19:03:01	]RedHotGinger (STEAM_0:1:45104731) has disconnected.
[19:46:17	]M!NT has connected.
