[18:53:13	]willumhf has connected.
[18:54:15	]willumhf (STEAM_0:0:133779472) deleted character 'C24:RL.VICE-9'
[18:54:17	]willumhf (STEAM_0:0:133779472) deleted character 'C24:i3.KING-9'
[18:54:19	]willumhf (STEAM_0:0:133779472) deleted character 'S10/EOW.SWEEPER-11'
[18:54:24	]willumhf loaded the character 'Harold Stansfield'
[18:54:29	]Harold Stansfield is fully healed.
[18:54:54	]Harold Stansfield used command '/PlyWhitelist ^ Ministry of Civil Protection'.
[18:56:46	]willumhf created the character 'Leon Withers'
[18:56:46	]Leon Withers has gained a '#51343's Identity Card' #1658950.
[18:56:46	]willumhf loaded the character 'Leon Withers'
[18:56:46	]Leon Withers has gained a 'Combine PDA' #1658951.
[18:56:46	]Leon Withers has gained a 'Black Jumpsuit' #1658952.
[18:56:46	]Leon Withers has gained a 'Black Jumpsuit Trousers' #1658953.
[18:56:46	]Leon Withers has gained a 'Dark Leather Boots' #1658954.
[18:56:55	]Leon Withers ran 'drop' on item 'Dark Leather Boots' (#1658954)
[18:56:55	]Leon Withers has lost a 'Dark Leather Boots' #1658954.
[18:56:55	]Leon Withers ran 'drop' on item 'Black Jumpsuit Trousers' (#1658953)
[18:56:55	]Leon Withers has lost a 'Black Jumpsuit Trousers' #1658953.
[18:56:56	]Leon Withers ran 'drop' on item 'Black Jumpsuit' (#1658952)
[18:56:56	]Leon Withers has lost a 'Black Jumpsuit' #1658952.
[18:56:59	]Leon Withers has used a context menu option with the name: remove
[18:57:00	]Leon Withers has used a context menu option with the name: remove
[18:57:01	]Leon Withers has used a context menu option with the name: remove
[18:57:02	]Leon Withers has used a context menu option with the name: remove
[18:57:15	]Leon Withers used command '/CharEditBodygroup ^'.
[18:57:24	]Leon Withers has changed Leon Withers's bodygroups.
[18:57:42	]Leon Withers has given himself a cca_coat_authoritarian.
[18:57:42	]Leon Withers has gained a 'Authoritarian's Coat' #1658955.
[18:57:43	]Leon Withers has given himself a cca_legs_authoritarian.
[18:57:43	]Leon Withers has gained a 'The Authoritarian Trousers' #1658956.
[18:57:50	]Leon Withers has given himself a shoes_dress_shoes.
[18:57:50	]Leon Withers has gained a 'Dress Shoes' #1658957.
[18:58:14	]Leon Withers has given himself a head_gasmask.
[18:58:14	]Leon Withers has gained a 'Gas Mask' #1658958.
[18:58:24	]Leon Withers has given himself a hands_gloves.
[18:58:24	]Leon Withers has gained a 'Gloves' #1658959.
[18:59:33	]Leon Withers entered observer.
[18:59:38	]Leon Withers exited observer at their location.
[18:59:42	]Leon Withers entered observer.
[19:00:40	]Leon Withers exited observer at their location.
[19:00:44	]Leon Withers entered observer.
[19:00:45	]Leon Withers exited observer at their location.
[19:00:46	]Leon Withers entered observer.
[19:02:26	]Leon Withers exited observer at their location.
[19:07:44	]Keyblockor has connected.
[19:08:36	]Keyblockor loaded the character 'Atmospheric Agent'
[19:08:41	]Atmospheric Agent is fully healed.
[19:08:57	]Leon Withers entered observer.
[19:09:00	]Leon Withers exited observer at their location.
[19:09:05	]Atmospheric Agent used command '/GameMaster I can'.
[19:09:08	]Atmospheric Agent used command '/GameMaster BUt i'm on'.
[19:09:11	]Atmospheric Agent used command '/GameMaster an aevent char'.
[19:09:16	]Leon Withers entered observer.
[19:09:17	]Atmospheric Agent used command '/ToggleGM'.
[19:09:18	]Atmospheric Agent entered observer.
[19:09:19	]Leon Withers exited observer at their location.
[19:09:19	]Atmospheric Agent exited observer at their location.
[19:09:31	][IC] Atmospheric Agent: Okay where we dropping today.
[19:09:35	][IC] Leon Withers: I24.
[19:09:38	][IC] Leon Withers: Head there now.
[19:09:46	][IC] Atmospheric Agent: I'm turning i24.
[19:09:48	][IC] Atmospheric Agent: Into a storyline.
