[14:30:47	]garry has connected.
[14:31:56	]garry loaded the character 'James Dinerd'
[14:32:01	]James Dinerd is fully healed.
[14:32:22	][IC] James Dinerd: Guh guh guh.
[14:32:28	]James Dinerd used the 'Munition Lady' vendor.
[14:32:36	]James Dinerd has gained 0 chips.
[14:32:36	]James Dinerd has gained a 'Model 870' #1659740.
[14:32:46	]James Dinerd ran 'drop' on item 'Model 870' (#1659740)
[14:32:46	]James Dinerd has lost a 'Model 870' #1659740.
[14:32:48	]James Dinerd ran 'drop' on item 'Benefactor Edition Cigarette Pack' (#1647693)
[14:32:48	]James Dinerd has lost a 'Benefactor Edition Cigarette Pack' #1647693.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647698.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647700.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647697.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647701.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647696.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647695.
[14:32:48	]James Dinerd has lost a 'Cigarette' #1647699.
[14:32:48	]James Dinerd ran 'drop' on item 'Plastic Lighter' (#1647692)
[14:32:48	]James Dinerd has lost a 'Plastic Lighter' #1647692.
[14:32:49	]James Dinerd ran 'drop' on item 'Plastic garbage' (#1645019)
[14:32:49	]James Dinerd has lost a 'Plastic garbage' #1645019.
[14:32:49	]James Dinerd ran 'drop' on item 'Orange collaborator armband' (#1641497)
[14:32:49	]James Dinerd has lost a 'Orange collaborator armband' #1641497.
[14:32:50	]James Dinerd ran 'drop' on item 'Water Bottle' (#1578829)
[14:32:50	]James Dinerd has lost a 'Water Bottle' #1578829.
[14:32:51	]James Dinerd ran 'drop' on item 'Scissors' (#1646395)
[14:32:51	]James Dinerd has lost a 'Scissors' #1646395.
[14:32:51	]James Dinerd ran 'drop' on item 'Request Device' (#1637024)
[14:32:51	]James Dinerd has lost a 'Request Device' #1637024.
[14:32:52	]James Dinerd ran 'drop' on item 'Hairdresser tools' (#1646404)
[14:32:52	]James Dinerd has lost a 'Hairdresser tools' #1646404.
[14:32:52	]James Dinerd ran 'drop' on item 'Plastic Lighter' (#1007525)
[14:32:52	]James Dinerd has lost a 'Plastic Lighter' #1007525.
[14:32:54	]James Dinerd ran 'drop' on item 'Flashlight' (#1630209)
[14:32:54	]James Dinerd has lost a 'Flashlight' #1630209.
[14:32:55	]James Dinerd used the 'Munition Lady' vendor.
[14:33:26	]James Dinerd has gained 0 chips.
[14:33:26	]James Dinerd has gained a 'MP5A3' #1659741.
[14:33:32	]James Dinerd has gained 0 chips.
