[17:06:41	]M!NT has connected.
[17:07:05	]Rabithunter has connected.
[17:07:07	]M!NT loaded the character 'test char'
[17:07:12	]test char is fully healed.
[17:07:14	]test char entered observer.
[17:07:22	]test char exited observer at their location.
[17:07:52	]Rabithunter loaded the character 'Jody Mayflower'
[17:07:57	]Jody Mayflower is fully healed.
[17:08:03	]Jody Mayflower entered observer.
[17:08:08	]Jody Mayflower exited observer at their location.
[17:08:10	]test char used command '/AddPBX 1'.
[17:08:16	]test char used command '/EditLandline 1 222 Maesroe'.
[17:08:23	]test char used command '/EditLandline 1 222 CMRU'.
[17:08:32	]test char used command '/EditLandline 1 333 CWU'.
[17:10:28	]test char entered observer.
[17:10:30	]test char exited observer at their location.
[17:10:58	]test char used command '/phonesay hi'.
[17:11:05	]Jody Mayflower used command '/phonesay hello'.
[17:11:08	]Jody Mayflower used command '/phonesay hello'.
[17:11:25	]Jody Mayflower used command '/phonesay hello'.
[17:11:31	]test char used command '/phonesay hi'.
[17:11:36	]test char used command '/phonesay goodbye'.
[17:13:24	]Jody Mayflower used the 'Munition Lady' vendor.
[17:13:32	]Jody Mayflower has gained 0 chips.
[17:13:32	]Jody Mayflower has gained a 'SR-1A' #1660005.
[17:13:36	]Jody Mayflower ran 'Equip' on item 'SR-1A' (#1660005)
[17:13:38	]Jody Mayflower used command '/ToggleRaise'.
[17:13:40	]Jody Mayflower used the 'Munition Lady' vendor.
[17:13:48	]Jody Mayflower used the 'Munition Lady' vendor.
[17:13:52	]Jody Mayflower has gained 0 chips.
[17:13:53	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660006.
[17:13:53	]Jody Mayflower has gained 0 chips.
[17:13:53	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660007.
[17:13:53	]Jody Mayflower has gained 0 chips.
[17:13:53	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660008.
[17:13:58	]Jody Mayflower has gained 0 chips.
[17:13:58	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660009.
[17:13:58	]Jody Mayflower has gained 0 chips.
[17:13:58	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660010.
[17:13:59	]Jody Mayflower has gained 0 chips.
[17:13:59	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660011.
[17:14:01	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660008)
[17:14:03	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660007)
[17:14:06	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660006)
[17:14:07	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660008.
[17:14:15	]Jody Mayflower has critically hit test char in the right arm dealing 7 damage (CritChance was 1.01).
[17:14:15	]test char has taken 6 damage from Jody Mayflower.
[17:14:17	]test char is fully healed.
[17:14:18	]Jody Mayflower has critically hit test char in the chest dealing 25 damage (CritChance was 1.01).
[17:14:18	]test char has taken 25 damage from Jody Mayflower.
[17:14:22	]test char is fully healed.
[17:14:30	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660008.
[17:14:30	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660007.
[17:14:38	]Jody Mayflower has critically hit test char in the right leg dealing 7 damage (CritChance was 1.01).
[17:14:38	]test char has taken 6 damage from Jody Mayflower.
[17:14:42	]test char is fully healed.
[17:15:02	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660007.
[17:15:02	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660006.
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 0 damage (CritChance was 1.01).
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 25 damage (CritChance was 1.01).
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 0 damage (CritChance was 1.01).
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 25 damage (CritChance was 1.01).
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 0 damage (CritChance was 1.01).
[17:15:17	]Jody Mayflower has critically hit npc_combine_camera dealing 25 damage (CritChance was 1.01).
[17:15:18	]Jody Mayflower has critically hit npc_combine_camera dealing 0 damage (CritChance was 1.01).
[17:15:18	]Jody Mayflower has critically hit npc_combine_camera dealing 25 damage (CritChance was 1.01).
[17:15:36	]Jody Mayflower used command '/ToggleRaise'.
[17:15:49	]Jody Mayflower used the 'Munition Lady' vendor.
[17:15:53	]Jody Mayflower has gained 0 chips.
[17:15:53	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660012.
[17:15:53	]Jody Mayflower has gained 0 chips.
[17:15:53	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660013.
[17:15:54	]Jody Mayflower has gained 0 chips.
[17:15:54	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660014.
[17:15:54	]Jody Mayflower has gained 0 chips.
[17:15:54	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660015.
[17:15:55	]Jody Mayflower has gained 0 chips.
[17:15:55	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660016.
[17:15:55	]Jody Mayflower has gained 0 chips.
[17:15:55	]Jody Mayflower has gained a 'Pulse Rifle Bullets' #1660017.
[17:15:58	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660008)
[17:16:00	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660007)
[17:16:00	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660006.
[17:16:00	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660008.
[17:16:02	]Jody Mayflower ran 'combine' on item '30rnd Pulse-magazine' (#1660006)
[17:16:08	]Jody Mayflower used command '/ToggleRaise'.
[17:16:10	]Jody Mayflower destroyed a 'Buckshot Shotgun Shells' #1655606.
[17:16:11	]Jody Mayflower destroyed a 'Assault Rifle Bullets' #1660001.
[17:16:12	]Jody Mayflower destroyed a 'Buckshot Shotgun Shells' #1656643.
[17:16:13	]Jody Mayflower destroyed a 'Buckshot Shotgun Shells' #1657164.
[17:16:25	]Jody Mayflower has spawned a 'NPC [267][npc_antlionguard]'.
[17:16:26	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:27	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:27	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:27	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 1 damage (CritChance was 1.01).
[17:16:28	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:29	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:29	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:29	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:29	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:30	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:30	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:30	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:31	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:31	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:32	]Jody Mayflower has gained a '30rnd Pulse-magazine' #1660008.
[17:16:32	]Jody Mayflower has lost a '30rnd Pulse-magazine' #1660007.
[17:16:35	]Jody Mayflower has taken 10 damage from npc_antlionguard.
[17:16:35	]Jody Mayflower has taken 10 damage from npc_antlionguard.
[17:16:36	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:38	]test char has taken 10 damage from npc_antlionguard.
[17:16:38	]test char has taken 10 damage from npc_antlionguard.
[17:16:38	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:38	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:39	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:39	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:39	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:39	]Jody Mayflower has critically hit npc_antlionguard dealing 7 damage (CritChance was 1.01).
[17:16:42	]test char is fully healed.
[17:16:42	]Jody Mayflower entered observer.
[17:16:43	]Jody Mayflower exited observer at their location.
[17:17:04	]test char has spawned a rappel_gear.
[17:17:07	]Jody Mayflower ran 'take' on item 'Rappel Gear' (#1660018)
