[06:09:22	]Fractures has connected.
[06:10:11	]Fractures loaded the character 'Crash test dummy'
[06:10:16	]Crash test dummy is fully healed.
[06:10:32	]Crash test dummy ran 'take' on item 'Popper' (#1660146)
[06:10:32	]Crash test dummy has gained a 'Popper' #1660146.
[06:10:34	]Crash test dummy ran 'take' on item '6rnd Popper-magazine' (#1660148)
[06:10:34	]Crash test dummy has gained a '6rnd Popper-magazine' #1660148.
[06:10:36	]Crash test dummy ran 'take' on item '357 Rounds' (#1660151)
[06:10:36	]Crash test dummy has gained a '357 Rounds' #1660151.
[06:10:50	]Crash test dummy ran 'take' on item 'SR-1A' (#1660535)
[06:10:55	]Crash test dummy ran 'drop' on item 'Ergonomic Stock' (#1652290)
[06:10:55	]Crash test dummy has lost a 'Ergonomic Stock' #1652290.
[06:10:56	]Crash test dummy ran 'drop' on item '640mm Whisper Barrel' (#1652289)
[06:10:56	]Crash test dummy has lost a '640mm Whisper Barrel' #1652289.
[06:10:56	]Crash test dummy ran 'drop' on item 'Repair Plating' (#1652292)
[06:10:56	]Crash test dummy has lost a 'Repair Plating' #1652292.
[06:10:58	]Crash test dummy ran 'Equip' on item 'Frag Grenade' (#1655755)
[06:10:59	]Crash test dummy used command '/ToggleRaise'.
[06:11:02	]Crash test dummy ran 'take' on item 'SR-1A' (#1660535)
[06:11:02	]Crash test dummy has gained a 'SR-1A' #1660535.
[06:11:04	]Crash test dummy ran 'take' on item '30rnd Pulse-magazine' (#1660540)
[06:11:04	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660540.
[06:11:05	]Crash test dummy ran 'take' on item '30rnd Pulse-magazine' (#1660539)
[06:11:05	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660539.
[06:11:07	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660576)
[06:11:07	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660576.
[06:11:08	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660572)
[06:11:08	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660572.
[06:11:09	]Crash test dummy ran 'take' on item 'Pulse Rifle Bullets' (#1660573)
[06:11:09	]Crash test dummy has gained a 'Pulse Rifle Bullets' #1660573.
[06:11:14	]Crash test dummy destroyed a 'Repair Plating' #1652292.
[06:11:14	]Crash test dummy destroyed a '640mm Whisper Barrel' #1652289.
[06:11:14	]Crash test dummy destroyed a 'Ergonomic Stock' #1652290.
[06:11:14	]Crash test dummy destroyed a '24rnd Heavy-Pulse Magazine' #1660734.
[06:11:17	]Crash test dummy ran 'Equip' on item 'SR-1A' (#1660535)
[06:11:22	]Crash test dummy ran 'combine' on item '30rnd Pulse-magazine' (#1660540)
[06:11:25	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660540.
[06:11:27	]Crash test dummy used command '/ToggleRaise'.
[06:11:36	]Crash test dummy has gained a '30rnd Pulse-magazine' #1660540.
[06:11:36	]Crash test dummy has lost a '30rnd Pulse-magazine' #1660539.
[06:11:47	]Crash test dummy destroyed a 'Model 870' #1660114.
[06:11:50	]Crash test dummy has critically hit npc_combine_camera dealing 25 damage (CritChance was 0.84).
[06:11:50	]Crash test dummy has critically hit npc_combine_camera dealing 25 damage (CritChance was 0.84).
[06:11:51	]Crash test dummy has critically hit npc_combine_camera dealing 25 damage (CritChance was 0.84).
[06:11:51	]Crash test dummy has critically hit npc_combine_camera dealing 25 damage (CritChance was 0.84).
[06:11:58	]Crash test dummy used the 'Munition Lady' vendor.
[06:12:18	]Crash test dummy used command '/ToggleRaise'.
[06:12:21	]Crash test dummy used the 'John Doe' vendor.
[06:12:30	]Crash test dummy ran 'drop' on item 'Popper' (#1660146)
