[13:54:39	]Mango has connected.
[13:55:18	]Mango loaded the character 'Lungsas'
[13:55:25	][IC] Lungsas: Wawa.
[13:55:38	]Lungsas has spawned a 'Entity [385][ix_rationdispenser]'.
[13:55:41	]Lungsas has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[13:55:54	]Lungsas ran 'Open' on item 'Ration' (#1660796)
[13:55:54	]Lungsas has gained a 'Artificial Paste' #1660797.
[13:55:54	]Lungsas has gained a 'Breen's Water' #1660798.
[13:55:54	]Lungsas has gained a 'Basic Credits Coupon' #1660799.
[13:57:12	]Lungsas ran 'Use' on item 'Basic Credits Coupon' (#1660799)
[13:57:14	]Lungsas has used a coupon at a ration dispenser, gaining 15 credits.
[14:00:27	]Mango (STEAM_0:0:544539350) has disconnected.
