[02:37:17	]Conundrum has connected.
[02:38:48	]Conundrum loaded the character 'Cathleen Lockhart'
[02:38:53	]Cathleen Lockhart is fully healed.
[02:39:33	]Cathleen Lockhart used the 'MOC Equipment Terminal' vendor.
[02:39:36	]Cathleen Lockhart used the 'MOC Coupon Terminal' vendor.
[02:40:56	]Conundrum (STEAM_0:0:63361109) has disconnected.
[02:48:11	]Furret No Furry Asimo has connected.
[02:50:33	]Furret No Furry Asimo loaded the character 'Beab Ghraszt'
[02:50:41	]Beab Ghraszt entered observer.
[02:53:11	]Beab Ghraszt exited observer at their location.
[02:53:12	]Beab Ghraszt entered observer.
[02:53:38	]Robert has connected.
[02:55:47	]Beab Ghraszt exited observer at their location.
[02:55:57	]Beab Ghraszt entered observer.
[02:57:09	]Robert loaded the character 'Guido Schwarz'
[02:57:17	]Guido Schwarz entered observer.
[02:57:33	]Guido Schwarz has fired a toolgun with the name: remover
[02:57:43	]Guido Schwarz has fired a toolgun with the name: remover
[03:00:22	]Beab Ghraszt used command '/AreaEdit'.
[03:00:48	]Guido Schwarz used command '/ShowEdicts'.
[03:00:57	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:17	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:19	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:19	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:19	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:19	]Guido Schwarz has fired a toolgun with the name: remover
[03:02:36	]Guido Schwarz exited observer at their location.
[03:02:37	]Guido Schwarz entered observer.
[03:02:45	]Beab Ghraszt exited observer at their location.
[03:02:45	]Guido Schwarz used command '/SpawnRemove 500'.
[03:02:47	]Beab Ghraszt entered observer.
[03:02:49	]Guido Schwarz used command '/SpawnRemove 500'.
[03:02:59	]Guido Schwarz used command '/SpawnRemove 500'.
[03:03:04	]Guido Schwarz used command '/SpawnRemove 500'.
[03:03:10	]Beab Ghraszt used command '/Staff Where do you have the base document'.
[03:03:53	]Guido Schwarz used command '/Staff Doesn't exist anymore, being reformatted to be purely monitoring the larger and secret bases'.
[03:04:02	]Guido Schwarz used command '/Staff So its poof'.
[03:04:07	]Beab Ghraszt used command '/Staff e.'.
