[01:04:36	]Cengo has connected.
[01:22:06	]Cengo loaded the character 'Cengo'
[01:22:18	]Cengo entered observer.
[01:22:33	]Cengo used command '/Announce what...'.
[01:22:48	]Console ran SAM command 'slap' with arguments: 'cengo'
[01:22:58	]Console ran SAM command 'slay' with arguments: 'cengo'
[01:23:00	]Cengo entered observer.
[01:23:12	]Cengo ran SAM command 'menu' with arguments: ''
[01:23:16	]Cengo ran SAM command 'cleardecals' with arguments: ''
[01:23:18	]Cengo exited observer at their location.
[01:23:21	]Cengo entered observer.
[01:23:55	]Cengo admin-searched the 'Worker Gear' #101353 container.
[01:23:55	]Cengo has used a context menu option with the name: wncontainer_view
[01:23:58	]Cengo admin-closed the 'Worker Gear' #101353 container.
[01:24:00	]Cengo admin-searched the 'Workshift Gear' #101357 container.
[01:24:00	]Cengo has used a context menu option with the name: wncontainer_view
[01:24:01	]Cengo admin-closed the 'Workshift Gear' #101357 container.
[01:25:01	]Cengo used the 'Masked Druggy' smuggler.
[01:25:57	]Cengo exited observer at their location.
[01:26:00	]Cengo (STEAM_0:1:113942347) has disconnected.
