[01:44:24	]Garratz has connected.
[01:47:13	]Garratz created the character 'Michael Hoxworth'
[01:47:13	]Garratz loaded the character 'Michael Hoxworth'
[01:47:13	]Michael Hoxworth has gained a '#86172's Identity Card' #2047360.
[01:47:13	]Michael Hoxworth has gained a 'CWU PDA' #2047361.
[01:47:13	]Michael Hoxworth has gained a 'CWU Member Access Keycard' #2047362.
[01:47:13	]Michael Hoxworth has gained a 'Black Jumpsuit' #2047363.
[01:47:13	]Michael Hoxworth has gained a 'Black Jumpsuit Trousers' #2047364.
[01:47:13	]Michael Hoxworth has gained a 'Dark Leather Boots' #2047365.
[01:47:13	]Michael Hoxworth has gained a 'Glasses' #2047366.
[01:47:49	]Michael Hoxworth ran 'Open' on item 'CWU PDA' (#2047361)
[01:49:18	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:19	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:20	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:21	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:22	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:23	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:24	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:25	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:26	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:26	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:27	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:28	]Michael Hoxworth has damaged npc_monk, dealing 5 with ix_hands
[01:49:39	]Michael Hoxworth ran 'Bind' on item 'CWU Member Access Keycard' (#2047362)
[01:50:12	]Michael Hoxworth ran 'take' on item 'The Third Eye' (#2047214)
[01:50:12	]Michael Hoxworth has gained a 'The Third Eye' #2047214.
[01:52:29	]Console ran SAM command 'setrank' with arguments: 'hox' 'gamemaster'
[01:52:44	]Michael Hoxworth has spawned a 357ammo.
[01:52:49	]Michael Hoxworth ran 'take' on item '.357 Magnum Bullets' (#2047367)
[01:52:49	]Michael Hoxworth has gained a '.357 Magnum Bullets' #2047367.
[01:53:27	]Michael Hoxworth ran 'use' on item '.357 Magnum Bullets' (#2047367)
[01:53:35	]Michael Hoxworth has spawned a cca_executive.
[01:53:37	]Michael Hoxworth ran 'take' on item 'The Executive' (#2047368)
[01:53:37	]Michael Hoxworth has gained a 'The Executive' #2047368.
[01:53:40	]Michael Hoxworth has spawned a cca_legs_authoritarian.
[01:53:40	]Michael Hoxworth ran 'take' on item 'The Authoritarian Trousers' (#2047369)
[01:53:40	]Michael Hoxworth has gained a 'The Authoritarian Trousers' #2047369.
[01:53:46	]Michael Hoxworth entered observer.
[01:53:58	]Michael Hoxworth exited observer at their location.
[01:54:02	]Michael Hoxworth entered observer.
[01:54:15	]Michael Hoxworth exited observer at their location.
[01:54:47	]Michael Hoxworth entered observer.
[01:54:57	]Michael Hoxworth exited observer at their location.
[01:55:11	]Michael Hoxworth entered observer.
[01:55:11	]Michael Hoxworth exited observer at their location.
[01:55:21	]Michael Hoxworth has spawned a aviators.
[01:55:23	]Michael Hoxworth ran 'take' on item 'Aviator Glasses' (#2047370)
[01:55:23	]Michael Hoxworth has gained a 'Aviator Glasses' #2047370.
[01:55:43	]Michael Hoxworth entered observer.
[01:55:43	]Michael Hoxworth exited observer at their location.
