[19:35:05	]Chris has connected.
[19:38:13	]Chris loaded the character 'Null Vort test'
[19:38:18	]Null Vort test is fully healed.
[19:40:14	]Null Vort test has fired a toolgun with the name: light
[19:40:59	]Null Vort test used command '/ActKneel'.
[19:41:02	]Null Vort test used command '/ExitAct'.
[19:41:07	]Null Vort test has spawned 'models/props_c17/gravestone_coffinpiece002a.mdl'.
[19:41:31	]Null Vort test has fired a toolgun with the name: light
[19:41:37	]Null Vort test has fired a toolgun with the name: light
[19:41:49	]Null Vort test has fired a toolgun with the name: light
[19:41:55	]Null Vort test has fired a toolgun with the name: light
[19:41:59	]Null Vort test has fired a toolgun with the name: light
[19:42:03	]Null Vort test has fired a toolgun with the name: light
[19:42:17	]Null Vort test has fired a toolgun with the name: lamp
[19:42:22	]Null Vort test has fired a toolgun with the name: lamp
[19:42:52	]Null Vort test has spawned 'models/hunter/blocks/cube025x025x025.mdl'.
[19:43:01	]Null Vort test has fired a toolgun with the name: weld
[19:43:13	]Null Vort test has fired a toolgun with the name: lamp
[19:43:16	]Null Vort test has fired a toolgun with the name: lamp
[19:43:19	]Null Vort test has fired a toolgun with the name: lamp
[19:43:27	]Null Vort test has fired a toolgun with the name: lamp
[19:44:35	]Chris (STEAM_0:0:29180550) has disconnected.
