[16:39:50	]thc has connected.
[16:41:05	]thc (STEAM_0:1:709534478) deleted character 'Jer'Emy'
[16:41:08	]thc (STEAM_0:1:709534478) deleted character 'Symeon Griffin'
[16:42:39	]thc created the character 'Willy Billy Skibidi Networks'
[16:42:39	]thc loaded the character 'Willy Billy Skibidi Networks'
[16:42:39	]Willy Billy Skibidi Networks has gained a '#05506's Identity Card' #2047565.
[16:42:39	]Willy Billy Skibidi Networks has gained a 'Combine PDA' #2047566.
[16:43:27	]Willy Billy Skibidi Networks used command '/PrintStaffList'.
[16:43:45	]Willy Billy Skibidi Networks entered observer.
[16:43:48	]Willy Billy Skibidi Networks exited observer.
[16:44:20	]Willy Billy Skibidi Networks ran SAM command 'strip' with arguments: 'bi'
[16:44:58	]Willy Billy Skibidi Networks entered observer.
[16:45:00	]Willy Billy Skibidi Networks exited observer.
[16:46:01	]thc (STEAM_0:1:709534478) has disconnected (timed out).
[16:49:16	]thc has connected.
[16:50:59	]thc loaded the character 'Willy Billy Skibidi Networks'
[16:52:17	]Willy Billy Skibidi Networks has spawned a 'NPC [4739][npc_vj_hlr2_refugee]'.
[16:52:34	]Willy Billy Skibidi Networks has spawned a 'NPC [4739][npc_vj_hlr2_citizen]'.
[16:52:43	]Willy Billy Skibidi Networks has critically hit npc_vj_hlr2_citizen in the head dealing 18 damage (CritChance was 0.84).
[16:52:43	]Willy Billy Skibidi Networks has critically hit npc_vj_hlr2_citizen in the head dealing 18 damage (CritChance was 0.84).
[16:52:47	]Willy Billy Skibidi Networks has spawned a 'NPC [4769][npc_vj_hlr2_barney]'.
[16:52:47	]Willy Billy Skibidi Networks has hit npc_vj_hlr2_barney in the head dealing 9 damage (CritChance was 0.84).
[16:52:47	]Willy Billy Skibidi Networks has critically hit npc_vj_hlr2_barney in the head dealing 18 damage (CritChance was 0.84).
[16:52:47	]Willy Billy Skibidi Networks has critically hit npc_vj_hlr2_barney in the chest dealing 17 damage (CritChance was 0.84).
[16:52:48	]Willy Billy Skibidi Networks has critically hit npc_vj_hlr2_barney in the head dealing 18 damage (CritChance was 0.84).
[16:52:51	]Willy Billy Skibidi Networks has spawned a 'NPC [4771][npc_vj_hlr2_com_prospekt_sg]'.
[16:52:51	]Willy Billy Skibidi Networks has taken 18 damage from Overwatch Prison Shotgun Guard.
