[22:17:31	]Greece#1 has connected.
[22:17:32	]Alessiodoomboy has connected.
[22:18:23	]Alessiodoomboy loaded the character 'Male_07'
[22:18:28	]Male_07 is fully healed.
[22:18:59	]Male_07 entered observer.
[22:20:34	]Greece#1 loaded the character 'C24:i4.BULLDOG-99'
[22:20:46	]C24:i4.BULLDOG-99 ran 'Equip' on item 'SG556' (#2047886)
[22:20:47	]C24:i4.BULLDOG-99 used command '/ToggleRaise'.
[22:20:57	]C24:i4.BULLDOG-99 used command '/PrintStaffList'.
[22:21:04	]C24:i4.BULLDOG-99 used command '/ToggleRaise'.
[22:21:09	]C24:i4.BULLDOG-99 ran SAM command 'asay' with arguments: 'Alessio I need the OTA WL.'
[22:21:46	]Male_07 used command '/PlyWhitelist BULLDOG OTA'.
[22:21:47	]C24:i4.BULLDOG-99 ran 'Equip' on item 'Rappel Gear' (#2047747)
[22:21:50	][LOOC] Male_07: OTA authe
[22:21:54	][OOC] C24:i4.BULLDOG-99: OTA authed.
[22:22:01	]Male_07 has used a context menu option with the name: remove
[22:22:02	]Male_07 has used a context menu option with the name: remove
[22:22:03	]ulterior has connected.
[22:22:04	]Male_07 has used a context menu option with the name: remove
[22:22:06	]Male_07 has used a context menu option with the name: remove
[22:22:06	]Male_07 exited observer at their location.
[22:22:25	]Tuki has connected.
[22:22:25	]Male_07 claimed a report by C24:i4.BULLDOG-99 (Greece#1).
[22:22:25	]Fractures has connected.
[22:22:26	]Male_07 ran SAM command 'bring' with arguments: '#1'
[22:22:31	][LOOC] Male_07: u have OTA WL
[22:22:46	]ulterior loaded the character 'S10/APF.GHOST-65'
[22:22:49	]willumhf has connected.
[22:22:49	]Male_07 has spawned a 'Entity [4846][ix_vendor]'.
[22:22:57	]Male_07 has used a context menu option with the name: vendor_edit
[22:23:01	]Greece#1 created the character 'S10/OWS.GHOST-52'
[22:23:01	]C24:i4.BULLDOG-99 has gained level 40 in the Guns skill.
[22:23:01	]C24:i4.BULLDOG-99 has gained level 40 in the Speed skill.
[22:23:02	]Greece#1 loaded the character 'S10/OWS.GHOST-52'
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Small Bag' #2048578.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Large Bag' #2048579.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Flashlight' #2048580.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Combine PDA' #2048581.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'OTA Uniform' #2048582.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'OTA Mask' #2048583.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Rappel Gear' #2048584.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Magazine Pouch' #2048585.
[22:23:02	]S10/OWS.GHOST-52 has gained a 'Ammunition Pouch' #2048586.
[22:23:02	]S10/APF.GHOST-65 ran SAM command 'asay' with arguments: 'murder-99'
[22:23:03	]The Milkman has connected.
[22:23:09	][OOC] S10/APF.GHOST-65: bruh
[22:23:16	][IC] S10/OWS.GHOST-52: Deployment authed.
[22:23:18	][IC] S10/APF.GHOST-65: <:: Maine. ::>
[22:23:20	][IC] S10/APF.GHOST-65: <:: We should ahve like. ::>
[22:23:21	]Male_07 entered observer.
[22:23:25	][IC] S10/APF.GHOST-65: <:: S10/OWS.K'A'N-1. ::>
[22:23:29	][IC] S10/OWS.GHOST-52: Maybe.
[22:23:42	][ME] S10/OWS.GHOST-52: Pulls the trigger of their firearm. Unloading a hail of bullets into their target
[22:23:44	]S10/OWS.GHOST-52 used the 'John Doe' vendor.
[22:23:48	]S10/APF.GHOST-65 ran 'Equip' on item 'OSPR2A-EXP' (#2048106)
[22:23:48	]S10/APF.GHOST-65 has lost a '24rnd Heavy-Pulse Magazine' #2048136.
[22:23:49	]S10/APF.GHOST-65 used the 'John Doe' vendor.
[22:23:52	]S10/APF.GHOST-65 has gained a '24rnd Heavy-Pulse Magazine' #2048136.
[22:23:52	]S10/APF.GHOST-65 has lost a '24rnd Heavy-Pulse Magazine' #2048134.
[22:23:54	]willumhf (STEAM_0:0:133779472) deleted character 'Bob'
[22:23:57	]S10/OWS.GHOST-52 ran 'Equip' on item 'Rappel Gear' (#2048584)
[22:23:57	]willumhf loaded the character 'Anders Stauning'
[22:23:57	]Anders Stauning their 'sewer stash' stash no longer exists, location reset.
[22:24:00	]Male_07 exited observer at their location.
[22:24:02	]S10/APF.GHOST-65 has lost a 'EOTech 553 (RDS)' #2048189.
[22:24:02	]S10/APF.GHOST-65 used command '/ToggleRaise'.
[22:24:03	]Male_07 has used a context menu option with the name: vendor_edit
[22:24:06	]S10/APF.GHOST-65 used command '/ToggleRaise'.
[22:24:07	]Fractures loaded the character 'Tamara Lahtizer'
[22:24:07	]Tamara Lahtizer their 'sewer stash' stash no longer exists, location reset.
[22:24:08	]Anders Stauning entered observer.
[22:24:08	]S10/OWS.GHOST-52 used command '/Punch'.
[22:24:11	]S10/APF.GHOST-65 ran 'Equip' on item 'Rappel Gear' (#2047973)
[22:24:12	]S10/APF.GHOST-65 ran 'EquipUn' on item 'OSPR2A-EXP' (#2048106)
[22:24:12	]S10/APF.GHOST-65 has gained a '24rnd Heavy-Pulse Magazine' #2048134.
[22:24:12	]S10/OWS.GHOST-52 used command '/Punch'.
[22:24:12	]Tamara Lahtizer is fully healed.
[22:24:13	]S10/APF.GHOST-65 ran 'Equip' on item 'OSPR2A-EXP' (#2048106)
[22:24:13	]S10/OWS.GHOST-52 used command '/ToggleRaise'.
[22:24:14	]S10/APF.GHOST-65 has lost a '24rnd Heavy-Pulse Magazine' #2048136.
[22:24:15	]S10/OWS.GHOST-52 used command '/Punch'.
[22:24:20	][IC] S10/OWS.GHOST-52: <:: Why cant I /punch you. ::>
[22:24:21	][IC] S10/APF.GHOST-65: <:: Im at 1 hp. ::>
