[00:00:00	]Raptorian - S10/K'A'N:WOLF-85 used command '/Radio unit is down'.
[00:00:01	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/Radio back down...'.
[00:00:02	][OOC] VADIM - SPEAR-78: dude like half the ota got fucking prop killed bruh
[00:00:02	]Maine - S10/K'A'N.DESTROYER-70 has hit Tamara Lahtizer in the stomach dealing 16 damage (CritChance was 0.50).
[00:00:02	]Tamara Lahtizer has taken 16 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:02	]Maine - S10/K'A'N.DESTROYER-70 has hit Tamara Lahtizer in the stomach dealing 16 damage (CritChance was 0.50).
[00:00:02	]Tamara Lahtizer has taken 16 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:02	]Maine - S10/K'A'N.DESTROYER-70 has critically hit Tamara Lahtizer in the left arm dealing 0 damage (CritChance was 0.49).
[00:00:02	]Maine - S10/K'A'N.DESTROYER-70 has hit Tamara Lahtizer in the left arm dealing 7 damage (CritChance was 0.49).
[00:00:02	]Tamara Lahtizer has taken 6 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:02	]Maine - S10/K'A'N.DESTROYER-70 has critically hit Tamara Lahtizer in the left arm dealing 7 damage (CritChance was 0.49).
[00:00:02	]Tamara Lahtizer has taken 6 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:03	]Hank J. Wimleton ran 'removeMag' on item 'Model 870' (#1987240)
[00:00:03	]Hank J. Wimleton has gained a '8rnd 870-magazine' #1987255.
[00:00:04	]Tamara Lahtizer used command '/ToggleRaise'.
[00:00:04	]Maine - S10/K'A'N.DESTROYER-70 ran 'Equip' on item 'Frag Grenade' (#2049605)
[00:00:04	]Milkman - S10/ORD.K'A'N:VIGGAKILLA-10 used command '/Radio helix'.
[00:00:04	]Tamara Lahtizer is fully healed.
[00:00:05	]Hank J. Wimleton ran 'combine' on item '8rnd 870-magazine' (#1987255)
[00:00:05	]Maine - S10/K'A'N.DESTROYER-70 used command '/ToggleRaise'.
[00:00:05	][Y] Scook: GOT ONE WITH A NADE.
[00:00:05	][OOC] ULTIMA - S10/APF.K'A'N-999: how
[00:00:06	]Hank J. Wimleton has lost a '8rnd 870-magazine' #1987256.
[00:00:06	]Mr McVort used command '/Radio ONE IS UNDER US'.
[00:00:08	]Don Lorenzo used command '/Radio APF DOWN IN THE SMOKE'.
[00:00:10	]Maine - S10/K'A'N.DESTROYER-70 used command '/ToggleRaise'.
[00:00:10	]Tamara Lahtizer used command '/Radio One below'.
[00:00:10	]ULTIMA - S10/APF.K'A'N-999 used command '/Radio request medical'.
[00:00:11	][OOC] Milkman - S10/ORD.K'A'N:VIGGAKILLA-10: LOL
[00:00:11	]Moses McVortal was just killed due to: accepting their death
[00:00:11	]Moses McVortal was just killed due to: accepting their death
[00:00:11	]Maine - S10/K'A'N.DESTROYER-70 has critically hit Hank J. Wimleton in the left arm dealing 7 damage (CritChance was 0.50).
[00:00:11	]Hank J. Wimleton has taken 6 damage from Maine - S10/K'A'N.DESTROYER-70.
[00:00:13	]Hank J. Wimleton has hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.29).
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 10 damage (CritChance was 0.29).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 10 damage from Hank J. Wimleton.
[00:00:13	]Hank J. Wimleton has critically hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 0 damage (CritChance was 0.29).
[00:00:13	]Hank J. Wimleton has hit Maine - S10/K'A'N.DESTROYER-70 in the chest dealing 6 damage (CritChance was 0.29).
[00:00:13	]Maine - S10/K'A'N.DESTROYER-70 has taken 6 damage from Hank J. Wimleton.
