[18:03:44	]Kappatalist has connected.
[18:04:33	]Kappatalist (STEAM_0:1:86900379) deleted character 'LORD-RAD-X™'
[18:04:36	]Kappatalist loaded the character 'Eric Bayer'
[18:04:45	]Eric Bayer entered observer.
[18:04:52	]Eric Bayer has spawned a newspaper_printer_cracked.
[18:04:54	]Eric Bayer ran 'Place' on item 'Cracked Printer' (#2049977)
[18:05:01	]Eric Bayer exited observer at their location.
[18:05:11	]Eric Bayer has spawned a black_ink.
[18:05:23	]Eric Bayer ran 'EquipUn' on item 'Rappel Gear' (#2048465)
[18:05:30	]Eric Bayer ran 'drop' on item 'White Construction Hat' (#2048486)
[18:05:30	]Eric Bayer has lost a 'White Construction Hat' #2048486.
[18:05:31	]Eric Bayer ran 'drop' on item 'Flashlight' (#1038715)
[18:05:31	]Eric Bayer has lost a 'Flashlight' #1038715.
[18:05:31	]Eric Bayer ran 'drop' on item 'Grey Medic Shirt' (#682406)
[18:05:31	]Eric Bayer has lost a 'Grey Medic Shirt' #682406.
[18:05:32	]Eric Bayer ran 'drop' on item 'Medical Medium Kevlar Uniform' (#2048480)
[18:05:32	]Eric Bayer has lost a 'Medical Medium Kevlar Uniform' #2048480.
[18:05:32	]Eric Bayer ran 'drop' on item 'Surgical Mask' (#2048488)
[18:05:32	]Eric Bayer has lost a 'Surgical Mask' #2048488.
[18:05:32	]Eric Bayer ran 'drop' on item 'Empty Breen's Water' (#2001772)
[18:05:32	]Eric Bayer has lost a 'Empty Breen's Water' #2001772.
[18:05:33	]Eric Bayer ran 'drop' on item 'Rappel Gear' (#2048465)
[18:05:33	]Eric Bayer has lost a 'Rappel Gear' #2048465.
[18:05:34	]Eric Bayer ran 'drop' on item 'Spoiled Artificial Paste' (#2001769)
[18:05:34	]Eric Bayer has lost a 'Spoiled Artificial Paste' #2001769.
[18:05:34	]Eric Bayer ran 'drop' on item 'Gas Mask' (#2048487)
[18:05:34	]Eric Bayer has lost a 'Gas Mask' #2048487.
[18:05:35	]Eric Bayer ran 'drop' on item 'Small Bag' (#384278)
[18:05:35	]Eric Bayer has lost a 'Small Bag' #384278.
[18:05:35	]Eric Bayer has lost a 'Kettle' #1382585.
[18:05:35	]Eric Bayer has lost a 'Coffee Machine' #1254113.
[18:05:35	]Eric Bayer has lost a '15 Credits Coupon' #1458474.
[18:05:36	]Eric Bayer ran 'drop' on item 'Large Bag' (#1400750)
[18:05:36	]Eric Bayer has lost a 'Large Bag' #1400750.
[18:05:36	]Eric Bayer has lost a 'Blue Beanie' #360482.
[18:05:36	]Eric Bayer has lost a 'Empty Breen's Water' #1475147.
[18:05:36	]Eric Bayer has lost a 'Empty Jar' #1459751.
[18:05:36	]Eric Bayer has lost a 'Empty Breen's Water' #1475151.
[18:05:36	]Eric Bayer has lost a 'Green Winter Coat' #1445738.
[18:05:36	]Eric Bayer has lost a 'Empty Breen's Water' #1475149.
[18:05:36	]Eric Bayer ran 'drop' on item 'M40' (#2048484)
[18:05:36	]Eric Bayer has lost a 'M40' #2048484.
[18:05:37	]Eric Bayer ran 'drop' on item 'Gloves' (#1038696)
[18:05:37	]Eric Bayer has lost a 'Gloves' #1038696.
[18:05:37	]Eric Bayer ran 'drop' on item 'Medical Gloves' (#2048485)
[18:05:37	]Eric Bayer has lost a 'Medical Gloves' #2048485.
[18:05:41	]Eric Bayer has fired a toolgun with the name: remover
[18:05:41	]Eric Bayer has fired a toolgun with the name: remover
[18:05:42	]Eric Bayer has fired a toolgun with the name: remover
[18:05:43	]Eric Bayer ran 'take' on item 'Flashlight' (#1038715)
[18:05:43	]Eric Bayer has gained a 'Flashlight' #1038715.
[18:05:43	]Eric Bayer has fired a toolgun with the name: remover
[18:05:44	]Eric Bayer has fired a toolgun with the name: remover
[18:05:44	]Eric Bayer has fired a toolgun with the name: remover
[18:05:45	]Eric Bayer has fired a toolgun with the name: remover
[18:05:45	]Eric Bayer has fired a toolgun with the name: remover
[18:05:45	]Eric Bayer has fired a toolgun with the name: remover
[18:05:45	]Eric Bayer has fired a toolgun with the name: remover
[18:05:45	]Eric Bayer has fired a toolgun with the name: remover
[18:05:46	]Eric Bayer has fired a toolgun with the name: remover
[18:05:46	]Eric Bayer has fired a toolgun with the name: remover
[18:05:46	]Eric Bayer has fired a toolgun with the name: remover
[18:05:47	]Eric Bayer has fired a toolgun with the name: remover
[18:05:47	]Eric Bayer has fired a toolgun with the name: remover
[18:05:47	]Eric Bayer has fired a toolgun with the name: remover
[18:05:49	]Eric Bayer has fired a toolgun with the name: remover
[18:05:49	]Eric Bayer has fired a toolgun with the name: remover
[18:05:50	]Eric Bayer has fired a toolgun with the name: remover
[18:05:50	]Eric Bayer has fired a toolgun with the name: remover
[18:05:50	]Eric Bayer has fired a toolgun with the name: remover
[18:05:50	]Eric Bayer has fired a toolgun with the name: remover
[18:05:51	]Eric Bayer has fired a toolgun with the name: remover
[18:05:51	]Eric Bayer has fired a toolgun with the name: remover
[18:05:51	]Eric Bayer has fired a toolgun with the name: remover
[18:05:54	]Eric Bayer has spawned a paper.
[18:05:54	]Eric Bayer has spawned a paper.
[18:14:30	]Eric Bayer ordered a shipment
[18:14:32	]Eric Bayer entered observer.
[18:14:39	]Eric Bayer exited observer at their location.
[18:14:42	]Eric Bayer took 'Newspaper' from the shipment
[18:14:42	]Eric Bayer has gained a 'Newspaper' #2049981.
[18:14:43	]Eric Bayer took 'Newspaper' from the shipment
[18:14:43	]Eric Bayer has gained a 'Newspaper' #2049982.
[18:14:45	]Eric Bayer ran 'Write' on item 'Newspaper' (#2049982)
[18:14:51	]Eric Bayer ran 'drop' on item 'Newspaper' (#2049982)
[18:14:51	]Eric Bayer has lost a 'Newspaper' #2049982.
[18:14:52	]Eric Bayer ran 'drop' on item 'Newspaper' (#2049981)
[18:14:52	]Eric Bayer has lost a 'Newspaper' #2049981.
[18:14:54	]Eric Bayer has fired a toolgun with the name: remover
[18:14:54	]Eric Bayer has fired a toolgun with the name: remover
[18:14:55	]Eric Bayer entered observer.
[18:14:56	]Eric Bayer exited observer at their location.
[18:14:56	]Eric Bayer entered observer.
[18:14:57	]Eric Bayer exited observer at their location.
[18:14:57	]Eric Bayer entered observer.
[18:14:58	]Eric Bayer exited observer at their location.
[18:14:59	]Eric Bayer entered observer.
[18:14:59	]Eric Bayer exited observer at their location.
[18:14:59	]Eric Bayer entered observer.
[18:14:59	]Eric Bayer exited observer at their location.
[18:15:00	]Eric Bayer entered observer.
[18:15:01	]Eric Bayer exited observer at their location.
[18:15:02	]Eric Bayer entered observer.
[18:15:02	]Eric Bayer exited observer at their location.
[18:15:03	]Eric Bayer entered observer.
[18:15:03	]Eric Bayer exited observer at their location.
[18:15:04	]Eric Bayer entered observer.
[18:15:04	]Eric Bayer exited observer at their location.
[18:15:05	]Eric Bayer entered observer.
[18:15:05	]Eric Bayer exited observer at their location.
[18:15:07	]Eric Bayer entered observer.
[18:15:07	]Eric Bayer exited observer at their location.
[18:15:08	]Eric Bayer entered observer.
[18:15:08	]Eric Bayer exited observer at their location.
[18:15:08	]Eric Bayer entered observer.
[18:15:08	]Eric Bayer exited observer at their location.
[18:15:10	]Eric Bayer entered observer.
[18:15:10	]Eric Bayer exited observer at their location.
[18:15:11	]Eric Bayer entered observer.
[18:15:11	]Eric Bayer exited observer at their location.
[18:15:12	]Eric Bayer entered observer.
[18:15:19	]Eric Bayer exited observer at their location.
[18:15:19	]Eric Bayer entered observer.
[18:15:19	]Eric Bayer exited observer at their location.
[18:15:20	]Eric Bayer entered observer.
[18:15:21	]Eric Bayer exited observer at their location.
[18:15:22	]Eric Bayer entered observer.
[18:15:22	]Eric Bayer exited observer at their location.
[18:15:22	]Eric Bayer entered observer.
[18:15:23	]Eric Bayer exited observer at their location.
[18:15:23	]Eric Bayer entered observer.
[18:15:24	]Eric Bayer exited observer at their location.
[18:15:24	]Eric Bayer entered observer.
[18:15:25	]Eric Bayer exited observer at their location.
[18:15:26	]Eric Bayer entered observer.
[18:15:26	]Eric Bayer exited observer at their location.
[18:15:26	]Eric Bayer entered observer.
[18:15:27	]Eric Bayer exited observer at their location.
[18:15:27	]Eric Bayer entered observer.
[18:15:27	]Eric Bayer exited observer at their location.
[18:15:27	]Eric Bayer entered observer.
[18:15:28	]Eric Bayer exited observer at their location.
[18:15:28	]Eric Bayer entered observer.
[18:15:28	]Eric Bayer exited observer at their location.
[18:15:29	]Eric Bayer entered observer.
[18:15:29	]Eric Bayer exited observer at their location.
[18:15:29	]Eric Bayer entered observer.
[18:15:30	]Eric Bayer exited observer at their location.
[18:15:31	]Eric Bayer entered observer.
[18:15:32	]Eric Bayer exited observer at their location.
[18:15:36	]Eric Bayer entered observer.
[18:15:36	]Eric Bayer exited observer at their location.
[18:15:37	]Eric Bayer entered observer.
[18:15:37	]Eric Bayer exited observer at their location.
[18:15:38	]Eric Bayer entered observer.
[18:15:38	]Eric Bayer exited observer at their location.
[18:15:39	]Eric Bayer entered observer.
[18:15:39	]Eric Bayer exited observer at their location.
[18:15:40	]Eric Bayer entered observer.
[18:15:41	]Eric Bayer exited observer at their location.
[18:15:41	]Eric Bayer entered observer.
[18:15:42	]Eric Bayer exited observer at their location.
[18:15:43	]Eric Bayer entered observer.
[18:15:43	]Eric Bayer exited observer at their location.
[18:15:43	]Eric Bayer entered observer.
[18:15:45	]Eric Bayer exited observer at their location.
[18:15:45	]Eric Bayer entered observer.
[18:15:45	]Eric Bayer exited observer at their location.
[18:15:46	]Eric Bayer entered observer.
[18:15:47	]Eric Bayer exited observer at their location.
[18:15:48	]Eric Bayer entered observer.
[18:15:48	]Eric Bayer exited observer at their location.
[18:15:48	]Eric Bayer entered observer.
[18:15:48	]Eric Bayer exited observer at their location.
[18:15:49	]Eric Bayer entered observer.
[18:15:50	]Eric Bayer exited observer at their location.
