[01:48:17	]'Sevens' has connected.
[01:49:51	]'Sevens' created the character 'CWU CHARACTER'
[01:49:51	]CWU CHARACTER has gained a 'Suitcase' #2050560.
[01:49:51	]CWU CHARACTER has gained a 'Flashlight' #2050561.
[01:49:51	]CWU CHARACTER has gained a 'Light Grey Armband' #2050562.
[01:49:51	]CWU CHARACTER has gained a '#60487's Identity Card' #2050563.
[01:49:51	]CWU CHARACTER has gained a 'Civilian Jumpsuit' #2050564.
[01:49:51	]CWU CHARACTER has gained a 'Red Jumpsuit Trousers' #2050565.
[01:49:52	]'Sevens' loaded the character 'CWU CHARACTER'
[01:50:28	]CWU CHARACTER ran 'drop' on item 'Red Jumpsuit Trousers' (#2050565)
[01:50:28	]CWU CHARACTER has lost a 'Red Jumpsuit Trousers' #2050565.
[01:51:04	]CWU CHARACTER ran 'take' on item 'Combine Battery' (#2050548)
[01:51:04	]CWU CHARACTER has gained a 'Combine Battery' #2050548.
[01:51:08	]CWU CHARACTER ran 'drop' on item 'Combine Battery' (#2050548)
[01:51:08	]CWU CHARACTER has lost a 'Combine Battery' #2050548.
[01:51:15	]env_entity_dissolver destroyed a 'Red Jumpsuit Trousers' #2050565.
[01:51:25	]CWU CHARACTER ran 'take' on item 'Data-Disc' (#2050549)
[01:51:25	]CWU CHARACTER has gained a 'Data-Disc' #2050549.
[01:51:33	]CWU CHARACTER ran 'take' on item 'Combine Battery' (#2050354)
[01:51:33	]CWU CHARACTER has gained a 'Combine Battery' #2050354.
[01:51:37	]CWU CHARACTER ran 'take' on item 'Combine Battery' (#2050494)
[01:51:37	]CWU CHARACTER has gained a 'Combine Battery' #2050494.
[01:51:40	]CWU CHARACTER ran 'drop' on item 'Combine Battery' (#2050354)
[01:51:40	]CWU CHARACTER has lost a 'Combine Battery' #2050354.
[01:51:56	]CWU CHARACTER ran 'take' on item 'Combine Battery' (#2050354)
[01:51:56	]CWU CHARACTER has gained a 'Combine Battery' #2050354.
[01:51:58	]CWU CHARACTER ran 'drop' on item 'Combine Battery' (#2050354)
[01:51:58	]CWU CHARACTER has lost a 'Combine Battery' #2050354.
[01:52:24	]CWU CHARACTER ran 'drop' on item 'Data-Disc' (#2050549)
[01:52:24	]CWU CHARACTER has lost a 'Data-Disc' #2050549.
[01:52:40	]CWU CHARACTER ran 'drop' on item 'Civilian Jumpsuit' (#2050564)
[01:52:40	]CWU CHARACTER has lost a 'Civilian Jumpsuit' #2050564.
[01:52:52	]CWU CHARACTER ran 'take' on item 'Civilian Jumpsuit' (#2050564)
[01:52:52	]CWU CHARACTER has gained a 'Civilian Jumpsuit' #2050564.
[01:52:54	]CWU CHARACTER ran 'drop' on item 'Light Grey Armband' (#2050562)
[01:52:54	]CWU CHARACTER has lost a 'Light Grey Armband' #2050562.
[01:53:27	]CWU CHARACTER ran 'take' on item 'Light Grey Armband' (#2050562)
[01:53:27	]CWU CHARACTER has gained a 'Light Grey Armband' #2050562.
[01:53:40	]CWU CHARACTER ran 'take' on item 'CWU Management Access Keycard' (#2050556)
[01:53:40	]CWU CHARACTER has gained a 'CWU Management Access Keycard' #2050556.
[01:53:43	]CWU CHARACTER ran 'drop' on item 'CWU Management Access Keycard' (#2050556)
[01:53:43	]CWU CHARACTER has lost a 'CWU Management Access Keycard' #2050556.
[01:59:24	]CWU CHARACTER ran 'take' on item 'Data-Disc' (#2050438)
[01:59:24	]CWU CHARACTER has gained a 'Data-Disc' #2050438.
[01:59:26	]CWU CHARACTER ran 'take' on item 'Data-Disc' (#2050549)
[01:59:26	]CWU CHARACTER has gained a 'Data-Disc' #2050549.
[01:59:29	]CWU CHARACTER ran 'drop' on item 'Data-Disc' (#2050438)
[01:59:29	]CWU CHARACTER has lost a 'Data-Disc' #2050438.
[01:59:48	]CWU CHARACTER ran 'take' on item 'Data-Disc' (#2050438)
[01:59:48	]CWU CHARACTER has gained a 'Data-Disc' #2050438.
[01:59:50	]CWU CHARACTER ran 'drop' on item 'Data-Disc' (#2050549)
[01:59:50	]CWU CHARACTER has lost a 'Data-Disc' #2050549.
[02:00:03	]CWU CHARACTER ran 'drop' on item 'Combine Battery' (#2050494)
[02:00:03	]CWU CHARACTER has lost a 'Combine Battery' #2050494.
[02:00:17	]CWU CHARACTER ran 'drop' on item 'Flashlight' (#2050561)
[02:00:17	]CWU CHARACTER has lost a 'Flashlight' #2050561.
[02:00:37	]CWU CHARACTER ran 'take' on item 'Flashlight' (#2050561)
[02:00:37	]CWU CHARACTER has gained a 'Flashlight' #2050561.
[02:00:42	]CWU CHARACTER ran 'drop' on item 'Flashlight' (#2050561)
[02:00:42	]CWU CHARACTER has lost a 'Flashlight' #2050561.
[02:00:54	]env_entity_dissolver destroyed a 'Flashlight' #2050561.
[02:01:00	]CWU CHARACTER ran 'drop' on item 'Light Grey Armband' (#2050562)
[02:01:00	]CWU CHARACTER has lost a 'Light Grey Armband' #2050562.
[02:01:11	]env_entity_dissolver destroyed a 'Light Grey Armband' #2050562.
[02:01:31	]CWU CHARACTER ran 'take' on item 'Syringe' (#2047059)
[02:01:31	]CWU CHARACTER has gained a 'Syringe' #2047059.
[02:02:03	]CWU CHARACTER ran 'take' on item 'Data-Disc' (#2050549)
[02:02:03	]CWU CHARACTER has gained a 'Data-Disc' #2050549.
[02:02:05	]CWU CHARACTER ran 'drop' on item 'Data-Disc' (#2050438)
[02:02:05	]CWU CHARACTER has lost a 'Data-Disc' #2050438.
[02:03:31	]'Sevens' (STEAM_0:0:25955) has disconnected.
[10:06:56	]reece has connected.
[10:07:42	]reece loaded the character 'GM character'
[10:07:56	]GM character entered observer.
[10:08:00	]GM character exited observer at their location.
[10:08:16	]GM character entered observer.
[10:08:23	]GM character exited observer at their location.
[10:08:25	]GM character entered observer.
[10:08:32	]GM character ran 'take' on item 'Biopaste' (#2050533)
[10:08:32	]GM character has gained a 'Biopaste' #2050533.
[10:08:38	]GM character exited observer at their location.
[10:08:45	]reece loaded the character 'S10/OSL.SAVAGE-37'
[10:08:50	]S10/OSL.SAVAGE-37 is fully healed.
[10:08:58	]S10/OSL.SAVAGE-37 entered observer.
[10:08:58	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:08:59	]S10/OSL.SAVAGE-37 entered observer.
[10:08:59	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:06	]S10/OSL.SAVAGE-37 entered observer.
[10:09:08	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:10	]S10/OSL.SAVAGE-37 entered observer.
[10:09:11	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:12	]S10/OSL.SAVAGE-37 entered observer.
[10:09:13	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:14	]S10/OSL.SAVAGE-37 has taken 38 damage from worldspawn.
[10:09:16	]S10/OSL.SAVAGE-37 entered observer.
[10:09:22	]S10/OSL.SAVAGE-37 ran SAM command 'hp' with arguments: 'S' '10'
[10:09:22	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:26	]S10/OSL.SAVAGE-37 ran 'use' on item 'Health Syringe' (#1921451)
[10:09:26	]S10/OSL.SAVAGE-37 has performed the 'Use Health Syringe' action, gaining 46 experience in medicine.
[10:09:26	]S10/OSL.SAVAGE-37 was disinfected by S10/OSL.SAVAGE-37 for 42 seconds.
[10:09:26	]S10/OSL.SAVAGE-37 was bandaged by S10/OSL.SAVAGE-37 for 30 HP.
[10:09:26	]S10/OSL.SAVAGE-37 entered observer.
[10:09:27	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:09:29	]S10/OSL.SAVAGE-37 was knocked unconscious and is bleeding out.
[10:09:30	]S10/OSL.SAVAGE-37 used command '/CharGetUp'.
[10:10:10	]S10/OSL.SAVAGE-37 is no longer unconscious from critical wounds.
[10:10:12	]S10/OSL.SAVAGE-37 entered observer.
[10:10:12	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:10:13	]S10/OSL.SAVAGE-37 entered observer.
[10:10:13	]S10/OSL.SAVAGE-37 exited observer at their location.
[10:10:26	]S10/OSL.SAVAGE-37 used command '/CharStopBleedout s'.
