[16:51:44	]Atle has connected.
[16:52:37	]Atle loaded the character 'Beatrice Olmgurt Bulmer'
[16:52:55	]Beatrice Olmgurt Bulmer entered observer.
[16:53:02	]Beatrice Olmgurt Bulmer exited observer at their location.
[16:53:07	]Beatrice Olmgurt Bulmer has given himself a drink_banksoda_red.
[16:53:07	]Beatrice Olmgurt Bulmer has gained a 'Bank Soda Zhongguo ' #2053224.
[16:53:09	]Beatrice Olmgurt Bulmer ran 'Consume' on item 'Bank Soda Zhongguo ' (#2053224)
[16:53:09	]Beatrice Olmgurt Bulmer has gained a 'Plastic garbage' #2053225.
[16:53:16	]Beatrice Olmgurt Bulmer has given himself a baking_bagel.
[16:53:16	]Beatrice Olmgurt Bulmer has gained a 'Bagel' #2053226.
[16:53:17	]Beatrice Olmgurt Bulmer has given himself a drink_banksoda_red.
[16:53:17	]Beatrice Olmgurt Bulmer has gained a 'Bank Soda Zhongguo ' #2053227.
[16:53:19	]Beatrice Olmgurt Bulmer ran 'Consume' on item 'Bagel' (#2053226)
[16:53:19	]Beatrice Olmgurt Bulmer has gained a level 2 long boost in Intelligence.
[16:53:20	]Beatrice Olmgurt Bulmer ran 'Consume' on item 'Bank Soda Zhongguo ' (#2053227)
[16:53:20	]Beatrice Olmgurt Bulmer has gained a 'Plastic garbage' #2053228.
[16:53:27	]Beatrice Olmgurt Bulmer has given himself a leech_stew.
[16:53:27	]Beatrice Olmgurt Bulmer has gained a 'Creamy Leech Stew' #2053229.
[16:53:28	]Beatrice Olmgurt Bulmer ran 'Consume' on item 'Creamy Leech Stew' (#2053229)
[16:53:28	]Beatrice Olmgurt Bulmer has gained a level 5 long boost in Perception.
[16:53:30	]Beatrice Olmgurt Bulmer entered observer.
[16:53:41	]Beatrice Olmgurt Bulmer exited observer at their location.
[16:53:55	]Beatrice Olmgurt Bulmer has fired a toolgun with the name: lamp
[16:54:01	]Beatrice Olmgurt Bulmer entered observer.
[16:54:05	]Beatrice Olmgurt Bulmer exited observer at their location.
[16:54:24	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4865][ix_workshiftterminal]'.
[16:54:35	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4825][ix_pickupterminal]'.
[16:54:52	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4858][ix_fabricator]'.
[16:54:57	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4877][ix_discscanner]'.
[16:55:05	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4874][ix_cwuterminal]'.
[16:55:11	]Beatrice Olmgurt Bulmer has spawned a 'Entity [4878][ix_batterycharger]'.
[16:56:00	]Beatrice Olmgurt Bulmer ran 'insert' on item '#54165's Identity Card' (#1694619)
[16:56:00	]Beatrice Olmgurt Bulmer has lost a '#54165's Identity Card' #1694619.
[16:57:43	]Beatrice Olmgurt Bulmer used command '/CharGiveItem olmgurt flashlight'.
[16:57:43	]Beatrice Olmgurt Bulmer has gained a 'Flashlight' #2053230.
[16:57:56	]Beatrice Olmgurt Bulmer used command '/CreateCid olmgurt'.
[16:57:56	]Beatrice Olmgurt Bulmer has gained a '#54165's Identity Card' #2053231.
[16:58:20	]Beatrice Olmgurt Bulmer ran 'drop' on item '#54165's Identity Card' (#2053231)
[16:58:20	]Beatrice Olmgurt Bulmer has lost a '#54165's Identity Card' #2053231.
[16:58:38	]Beatrice Olmgurt Bulmer used command '/CreateCid olmgurt'.
[16:58:38	]Beatrice Olmgurt Bulmer has gained a '#54165's Identity Card' #2053232.
[16:58:42	]Beatrice Olmgurt Bulmer ran 'drop' on item '#54165's Identity Card' (#2053232)
[16:58:42	]Beatrice Olmgurt Bulmer has lost a '#54165's Identity Card' #2053232.
[17:01:52	]Fedora has connected.
[17:02:40	]Fedora loaded the character 'fedoraheimer'
