[09:00:03	]viperoffi has connected.
[09:01:01	]viperoffi (STEAM_0:0:582083903) has disconnected.
[23:49:54	]Rabithunter has connected.
[23:52:20	]MelonHeadzzz has connected.
[23:53:51	]MelonHeadzzz loaded the character 'Ernest Descombes'
[23:53:55	]Ernest Descombes is fully healed.
[23:55:29	]Ernest Descombes entered observer.
[23:55:30	]Ernest Descombes exited observer.
[23:55:31	]Ernest Descombes entered observer.
[23:55:33	]Ernest Descombes exited observer.
[23:56:58	]Rabithunter loaded the character 'Monika Némethová'
[23:57:03	]Monika Némethová is fully healed.
[23:57:10	]Monika Némethová entered observer.
[23:57:12	]Monika Némethová exited observer at their location.
[23:57:35	]Monika Némethová used command '/ScreenShake 100 20 20 200'.
[23:58:06	]Ernest Descombes entered observer.
[23:58:07	]Ernest Descombes exited observer.
[23:58:15	]Monika Némethová used command '/Staff its working lol'.
[23:58:18	]Monika Némethová used command '/PrintStaffList'.
[23:58:19	]Ernest Descombes has spawned a 'Entity [4898][ix_discscanner]'.
[23:58:24	]Monika Némethová used command '/GameMaster its working!'.
[23:58:29	]Ernest Descombes used command '/GameMaster the rumble? what's the command again'.
[23:58:35	]Monika Némethová used command '/GameMaster /screenshake'.
[23:58:45	]Ernest Descombes used command '/ScreenShake 10 10 10 100'.
[23:58:55	]Ernest Descombes used command '/ScreenShake 10 1 1 100'.
[23:59:00	]Ernest Descombes used command '/ScreenShake 10 1 5 100'.
[23:59:05	]Ernest Descombes used command '/ScreenShake 10 1 10 100'.
[23:59:07	]Monika Némethová used command '/ScreenShake 10 10 10 100'.
[23:59:21	]Ernest Descombes used command '/GameMaster if you just put set it to 1 i think it gets across what we want from this rumble thing'.
[23:59:22	]Monika Némethová used command '/ScreenShake 10 100 100 100'.
[23:59:33	]Ernest Descombes used command '/ScreenShake 30 1 10 10000'.
[23:59:35	]Monika Némethová used command '/ScreenShake 10 1 1 100'.
[23:59:35	]Ernest Descombes used command '/GameMaster see'.
[23:59:39	]Monika Némethová used command '/GameMaster yh I see it'.
[23:59:47	]Monika Némethová used command '/GameMaster Might make it bigger for other things'.
