[14:18:48	][CG] Delta has connected.
[14:20:05	][CG] Delta loaded the character 'Harvey Dalloway'
[14:20:10	]Harvey Dalloway is fully healed.
[14:20:58	]Harvey Dalloway ran 'take' on item 'Combine Battery' (#2054860)
[14:20:58	]Harvey Dalloway has gained a 'Combine Battery' #2054860.
[14:21:00	]Harvey Dalloway ran 'drop' on item 'Combine Battery' (#2054860)
[14:21:00	]Harvey Dalloway has lost a 'Combine Battery' #2054860.
[14:21:30	]Harvey Dalloway ran 'drop' on item 'Data-Disc' (#2050340)
[14:21:30	]Harvey Dalloway has lost a 'Data-Disc' #2050340.
[14:21:41	]Harvey Dalloway ran 'take' on item 'Data-Disc' (#2050340)
[14:21:41	]Harvey Dalloway has gained a 'Data-Disc' #2050340.
[14:21:45	]Harvey Dalloway ran 'drop' on item 'Data-Disc' (#2050340)
[14:21:45	]Harvey Dalloway has lost a 'Data-Disc' #2050340.
[14:21:47	]Harvey Dalloway ran 'take' on item 'Data-Disc' (#2050340)
[14:21:47	]Harvey Dalloway has gained a 'Data-Disc' #2050340.
[14:21:56	]Harvey Dalloway ran 'drop' on item 'Data-Disc' (#2050340)
[14:21:56	]Harvey Dalloway has lost a 'Data-Disc' #2050340.
[14:22:07	]Harvey Dalloway ran 'take' on item 'Data-Disc' (#2050340)
[14:22:07	]Harvey Dalloway has gained a 'Data-Disc' #2050340.
[14:22:10	]Harvey Dalloway ran 'drop' on item 'Data-Disc' (#2050296)
[14:22:10	]Harvey Dalloway has lost a 'Data-Disc' #2050296.
[14:22:13	]Harvey Dalloway ran 'drop' on item '20 Credits Coupon' (#2053207)
[14:22:13	]Harvey Dalloway has lost a '20 Credits Coupon' #2053207.
[14:22:29	]Harvey Dalloway ran 'take' on item '20 Credits Coupon' (#2053207)
[14:22:29	]Harvey Dalloway has gained a '20 Credits Coupon' #2053207.
[14:22:37	]Harvey Dalloway ran 'drop' on item 'Flashlight' (#1354146)
[14:22:37	]Harvey Dalloway has lost a 'Flashlight' #1354146.
[14:22:49	]Harvey Dalloway ran 'take' on item 'Flashlight' (#1354146)
[14:22:49	]Harvey Dalloway has gained a 'Flashlight' #1354146.
[14:22:50	]Harvey Dalloway ran 'take' on item 'Data-Disc' (#2050296)
