[01:32:09	]Tuki has connected.
[01:32:46	]Kranky has connected.
[01:34:05	]Tuki loaded the character 'Mr McVort'
[01:34:21	]Mr McVort ran 'Consume' on item 'Spoiled Vegetable Soup' (#2049272)
[01:34:22	]Mr McVort ran 'Consume' on item 'Spoiled Vegetable Soup' (#2049270)
[01:34:23	]Mr McVort ran 'Consume' on item 'Spoiled Vegetable Soup' (#2049264)
[01:34:23	]Mr McVort ran 'Consume' on item 'Spoiled Vegetable Soup' (#2049273)
[01:34:25	]Mr McVort ran 'Consume' on item 'Spoiled Vegetable Soup' (#2049271)
[01:34:28	]Mr McVort ran 'drop' on item 'Stitched Cloth' (#2049714)
[01:34:28	]Mr McVort has lost a 'Stitched Cloth' #2049714.
[01:34:28	]Mr McVort ran 'drop' on item 'Stitched Cloth' (#2049496)
[01:34:28	]Mr McVort has lost a 'Stitched Cloth' #2049496.
[01:34:48	]Mr McVort used command '/CharDesc'.
[01:35:33	]Kranky (STEAM_0:1:110380124) deleted character 'Kranky'
[01:35:37	]Kranky (STEAM_0:1:110380124) deleted character 'Travis Scott'
[01:35:39	]Kranky (STEAM_0:1:110380124) deleted character 'Scro'Tum'Fa-ce'
[01:35:42	]Kranky (STEAM_0:1:110380124) deleted character 'Xih'Shaa'Barr'
[01:35:46	]Kranky (STEAM_0:1:110380124) deleted character 'Olivier Fournier'
[01:36:10	]Kranky created the character 'Kranky'
[01:36:11	]Kranky loaded the character 'Kranky'
[01:36:11	]Kranky has gained a 'Suitcase' #2055941.
[01:36:11	]Kranky has gained a 'Flashlight' #2055942.
[01:36:11	]Kranky has gained a 'Light Grey Armband' #2055943.
[01:36:11	]Kranky has gained a '#38852's Identity Card' #2055944.
[01:36:19	]Kranky entered observer.
[01:36:28	]Kranky exited observer at their location.
[01:36:33	]Kranky entered observer.
[01:36:47	]Kranky exited observer at their location.
[01:36:53	][IC] Kranky: Hi.
[01:36:54	][IC] Mr McVort: Gong...
[01:37:01	]Kranky entered observer.
[01:37:02	]Kranky exited observer at their location.
[01:37:08	]Kranky ran SAM command 'sethp' with arguments: 'mr' '100'
[01:37:10	]Kranky ran SAM command 'sethp' with arguments: 'mr' '200'
[01:37:26	]Kranky has spawned a vortigaunt_torso_vest.
[01:37:28	]Mr McVort ran 'take' on item 'Vortigaunt Kevlar' (#2055945)
