[01:40:50	]Astro has connected.
[01:41:59	]Astro created the character 'sfsdfdsf'
[01:41:59	]sfsdfdsf has gained a 'Flashlight' #32.
[01:41:59	]sfsdfdsf has gained a 'Black Armband' #33.
[01:41:59	]sfsdfdsf has gained a '#07142's Identity Card' #34.
[01:41:59	]sfsdfdsf has gained a 'Grey Jumpsuit' #35.
[01:41:59	]sfsdfdsf has gained a 'Green Jumpsuit Trousers' #36.
[01:41:59	]sfsdfdsf has gained a 'Worn Dark Shoes' #37.
[01:41:59	]Astro loaded the character 'sfsdfdsf'
[01:42:04	]sfsdfdsf entered observer.
[01:42:05	]sfsdfdsf exited observer at their location.
[01:42:07	]sfsdfdsf used command '/PrintStaffList'.
[01:42:12	]sfsdfdsf entered observer.
[01:42:13	]sfsdfdsf exited observer at their location.
[01:42:14	]sfsdfdsf entered observer.
[01:42:20	]sfsdfdsf exited observer at their location.
[01:42:40	]sfsdfdsf used command '/CharGiveFlag fs pet'.
[01:43:43	]sfsdfdsf has spawned a 'Entity [296][aw2_manhack]'.
[01:44:07	]sfsdfdsf has spawned a 'Entity [292][hl2r_laserdot]'.
[01:44:08	]sfsdfdsf has spawned a 'Entity [296][hl2r_laserdot]'.
[01:44:09	]sfsdfdsf has spawned a 'Entity [297][tfa_csgo_thrownflash]'.
[01:44:21	]sfsdfdsf has spawned a 'Entity [297][decal-editor]'.
[01:44:25	]sfsdfdsf has spawned a 'Entity [297][ix_trashspawner]'.
[01:44:30	]sfsdfdsf has spawned a 'Entity [297][mmod_crossbowbolt]'.
[01:44:42	]sfsdfdsf has spawned a 'Entity [297][wn_scaffold]'.
[01:44:43	]sfsdfdsf entered observer.
[01:44:44	]sfsdfdsf exited observer at their location.
[01:44:45	]sfsdfdsf has spawned a 'Entity [297][mmod_rpg]'.
[01:45:49	]sfsdfdsf has spawned a microzide.
[01:45:51	]sfsdfdsf ran 'take' on item 'Microzide (blood pressure/swelling)' (#38)
[01:45:51	]sfsdfdsf has gained a 'Microzide (blood pressure/swelling)' #38.
[01:45:56	]sfsdfdsf entered observer.
[01:45:57	]sfsdfdsf exited observer at their location.
[01:45:58	]sfsdfdsf has taken 4 damage from worldspawn.
[01:46:00	]sfsdfdsf ran 'use' on item 'Microzide (blood pressure/swelling)' (#38)
[01:46:00	]sfsdfdsf has performed the 'Use Microzide (blood pressure/swelling)' action, gaining 13 experience in medicine.
[01:46:00	]sfsdfdsf was disinfected by sfsdfdsf for 24 seconds.
[01:46:00	]sfsdfdsf was bandaged by sfsdfdsf for 8 HP.
[01:46:19	]sfsdfdsf is fully healed.
[01:46:33	]sfsdfdsf has spawned a paintcan.
[01:46:35	]sfsdfdsf ran 'take' on item 'Paintcan' (#39)
[01:46:35	]sfsdfdsf has gained a 'Paintcan' #39.
[01:46:41	]sfsdfdsf ran 'drop' on item 'Paintcan' (#39)
[01:46:41	]sfsdfdsf has lost a 'Paintcan' #39.
[01:46:42	]sfsdfdsf has used a context menu option with the name: rb655_dissolve
[01:46:44	]env_entity_dissolver destroyed a 'Paintcan' #39.
[01:46:48	]sfsdfdsf has given himself a rolledposter.
[01:46:48	]sfsdfdsf has gained a 'Rolled Poster' #40.
[01:46:51	]sfsdfdsf ran 'drop' on item 'Rolled Poster' (#40)
[01:46:51	]sfsdfdsf has lost a 'Rolled Poster' #40.
[01:46:52	]sfsdfdsf has used a context menu option with the name: rb655_dissolve
[01:46:54	]env_entity_dissolver destroyed a 'Rolled Poster' #40.
[01:47:19	]sfsdfdsf used command '/ToggleRaise'.
[01:47:28	]sfsdfdsf used command '/ToggleRaise'.
[01:47:48	]sfsdfdsf used command '/ToggleRaise'.
[01:47:55	]sfsdfdsf used command '/ToggleRaise'.
[01:48:07	]sfsdfdsf used command '/ToggleRaise'.
[01:48:25	]sfsdfdsf used command '/ToggleRaise'.
[01:48:33	]sfsdfdsf used command '/ToggleRaise'.
[01:48:40	]sfsdfdsf used command '/ToggleRaise'.
[01:48:59	]sfsdfdsf used command '/ToggleRaise'.
[01:49:07	]sfsdfdsf has spawned a 'NPC [305][npc_zombie]'.
[01:49:18	]sfsdfdsf has spawned a 'NPC [305][npc_poisonzombie]'.
[01:49:40	]sfsdfdsf used command '/ToggleRaise'.
[01:49:50	]sfsdfdsf used command '/ToggleRaise'.
[01:49:57	]sfsdfdsf used command '/ToggleRaise'.
[01:50:07	]sfsdfdsf used command '/ToggleRaise'.
[01:50:30	]sfsdfdsf used command '/ToggleRaise'.
