[17:43:30	]Shimac's Stew has connected.
[17:47:30	]Shimac's Stew created the character 'Shimac Stew'
[17:47:30	]Shimac Stew has gained a 'Flashlight' #413.
[17:47:30	]Shimac Stew has gained a 'Black Armband' #414.
[17:47:30	]Shimac Stew has gained a '#19238's Identity Card' #415.
[17:47:30	]Shimac Stew has gained a 'Grey Jumpsuit' #416.
[17:47:30	]Shimac Stew has gained a 'Grey Jumpsuit Trousers' #417.
[17:47:31	]Shimac's Stew loaded the character 'Shimac Stew'
[17:48:00	]Shimac Stew ran 'take' on item 'USP-45' (#140)
[17:48:00	]Shimac Stew has gained a 'USP-45' #140.
[17:48:11	]Shimac Stew has acquired his ration, gaining 0 credits, 0 wages and a underclass_ration ration.
[17:48:13	]Shimac Stew ran 'Equip' on item 'USP-45' (#140)
[17:48:19	]Shimac Stew ran 'Equip' on item 'Black Armband' (#414)
[17:48:21	]Shimac Stew used command '/ToggleRaise'.
[17:48:25	]Shimac Stew ran 'take' on item 'Underclass Ration' (#418)
[17:48:25	]Shimac Stew has gained a 'Underclass Ration' #418.
[17:48:28	]Shimac Stew ran 'Open' on item 'Underclass Ration' (#418)
[17:48:28	]Shimac Stew has gained a 'Artificial Paste' #419.
[17:48:28	]Shimac Stew has gained a 'Breen's Water' #420.
[17:48:35	]Shimac Stew used command '/ToggleRaise'.
[17:48:57	]Shimac Stew opened the 'Large Metal Cabinet' #82 container.
[17:49:00	]Shimac Stew closed the 'Large Metal Cabinet' #82 container.
[17:49:01	]Shimac Stew used the 'Steven the farmer' vendor.
[17:49:04	]Shimac Stew used the 'Steven the farmer' vendor.
[17:49:07	]Shimac Stew has gained 0 chips.
[17:49:07	]Shimac Stew has gained a 'Culinary and Cooking - Part 1' #421.
[17:49:14	]Shimac Stew has gained 0 chips.
[17:49:14	]Shimac Stew has gained a 'Planter' #422.
[17:49:19	]Shimac Stew has gained 0 chips.
[17:49:19	]Shimac Stew has gained a 'Water Bucket' #423.
[17:49:27	]Shimac Stew has used a context menu option with the name: ixpropviewowner
[17:49:38	]Shimac Stew ran 'place' on item 'Planter' (#422)
[17:49:48	]Shimac Stew ran 'Read' on item 'Culinary and Cooking - Part 1' (#421)
[17:50:08	]Shimac Stew has gained level 11 in the Cooking skill.
[17:50:33	]Shimac Stew used the 'Steven the farmer' vendor.
[17:50:38	]Shimac Stew has gained 0 chips.
[17:50:38	]Shimac Stew has gained a 'Cooking and Culinary - Part 2' #424.
[17:50:47	]Shimac Stew has gained 0 chips.
[17:50:47	]Shimac Stew has gained a 'Fertilizer' #425.
[17:50:50	]Shimac Stew has gained 0 chips.
[17:50:50	]Shimac Stew has gained a 'Apple Seeds' #426.
[17:51:19	]Shimac Stew ran 'Water' on item 'Fertilizer' (#425)
[17:51:22	]Shimac Stew ran 'plant' on item 'Apple Seeds' (#426)
