[20:42:47	]Nesh has connected.
[20:43:28	][AltChecker] Nesh joined without a cookie, but matched installation with existing cookie. Certainty 3/5
[20:44:05	]Nesh loaded the character 'Mike Oxlong'
[20:50:05	]Mike Oxlong has gone afk.
[20:52:38	]Mike Oxlong opened the 'Large Metal Cabinet' #100 container.
[20:52:40	]Mike Oxlong is no longer afk. Total time spent AFK: 450
[20:52:41	]Mike Oxlong closed the 'Large Metal Cabinet' #100 container.
[20:52:41	]Mike Oxlong opened the 'Large Metal Cabinet' #99 container.
[20:52:43	]Mike Oxlong closed the 'Large Metal Cabinet' #99 container.
[20:52:44	]Mike Oxlong opened the 'Large Metal Cabinet' #81 container.
[20:52:46	]Mike Oxlong closed the 'Large Metal Cabinet' #81 container.
[20:52:47	]Mike Oxlong opened the 'Large Metal Cabinet' #82 container.
[20:52:49	]Mike Oxlong closed the 'Large Metal Cabinet' #82 container.
[20:52:51	]Mike Oxlong used the 'Steven the farmer' vendor.
[20:53:01	]Mike Oxlong has warped from Default to Default.
[20:53:52	]Mike Oxlong ran 'take' on item 'Data-Disc' (#444)
[20:53:52	]Mike Oxlong has gained a 'Data-Disc' #444.
[20:54:01	]Mike Oxlong ran 'drop' on item 'Data-Disc' (#444)
[20:54:01	]Mike Oxlong has lost a 'Data-Disc' #444.
[20:56:06	]Mike Oxlong ran 'Consume' on item 'Spoiled Artificial Paste' (#58)
[20:56:06	]Mike Oxlong has gained a 'Empty Jar' #465.
[20:56:08	]Mike Oxlong ran 'drop' on item 'Empty Jar' (#465)
[20:56:08	]Mike Oxlong has lost a 'Empty Jar' #465.
[20:56:20	]Mike Oxlong ran 'take' on item 'Combine Battery' (#446)
[20:56:20	]Mike Oxlong has gained a 'Combine Battery' #446.
[20:56:23	]Mike Oxlong ran 'drop' on item 'Combine Battery' (#446)
[20:56:23	]Mike Oxlong has lost a 'Combine Battery' #446.
[20:57:57	]Nesh (STEAM_0:1:545569447) has disconnected.
