[11:59:25	]Rabithunter has connected.
[11:59:58	]Rabithunter loaded the character 'asdasdas'
[12:00:21	]asdasdas has performed the 'Harvest Plant' action, gaining 250 experience in cooking.
[12:00:21	]asdasdas has gained a 'Apple' #627.
[12:00:21	]asdasdas has gained a 'Apple' #628.
[12:00:21	]asdasdas has gained a 'Apple' #629.
[12:00:29	]asdasdas has used a context menu option with the name: remove
[12:00:31	]asdasdas has used a context menu option with the name: remove
[12:01:52	]asdasdas has given himself a planter_placer.
[12:01:52	]asdasdas has gained a 'Planter' #630.
[12:01:55	]asdasdas ran 'place' on item 'Planter' (#630)
[12:02:03	]asdasdas has given himself a planter_placer.
[12:02:03	]asdasdas has gained a 'Planter' #631.
[12:02:05	]asdasdas ran 'place' on item 'Planter' (#631)
[12:02:22	]asdasdas has given himself a planter_placer.
[12:02:22	]asdasdas has gained a 'Planter' #632.
[12:02:24	]asdasdas ran 'place' on item 'Planter' (#632)
[12:02:47	]asdasdas has given himself a planter_placer.
[12:02:47	]asdasdas has gained a 'Planter' #633.
[12:03:05	]asdasdas ran 'place' on item 'Planter' (#633)
[12:03:11	]asdasdas ran 'drop' on item 'Water Bucket' (#626)
[12:03:11	]asdasdas has lost a 'Water Bucket' #626.
[12:03:11	]asdasdas ran 'drop' on item 'Water Bucket' (#625)
[12:03:11	]asdasdas has lost a 'Water Bucket' #625.
[12:03:16	]asdasdas ran 'take' on item 'Water Bucket' (#625)
[12:03:16	]asdasdas has gained a 'Water Bucket' #625.
[12:04:00	]asdasdas ran 'drop' on item 'Water Bucket' (#625)
[12:04:00	]asdasdas has lost a 'Water Bucket' #625.
[12:04:03	]asdasdas has given himself a seed_xen_berries.
[12:04:03	]asdasdas has gained a 'Xen Berries Seeds' #634.
[12:04:06	]asdasdas has given himself a planter_placer.
[12:04:07	]asdasdas has gained a 'Planter' #635.
[12:04:58	]asdasdas ran 'take' on item 'Water Bucket' (#626)
[12:04:58	]asdasdas has gained a 'Water Bucket' #626.
[12:05:00	]asdasdas ran 'take' on item 'Water Bucket' (#625)
[12:05:00	]asdasdas has gained a 'Water Bucket' #625.
[12:05:05	]asdasdas ran 'drop' on item 'Planter' (#635)
[12:05:05	]asdasdas has lost a 'Planter' #635.
[12:05:07	]asdasdas has used a context menu option with the name: remove
[12:05:11	]asdasdas ran 'Consume' on item 'Apple' (#629)
[12:05:12	]asdasdas ran 'Consume' on item 'Apple' (#627)
[12:05:12	]asdasdas ran 'Consume' on item 'Apple' (#628)
[12:05:18	]asdasdas has given himself a seed_apple.
[12:05:18	]asdasdas has gained a 'Apple Seeds' #636.
[12:05:19	]asdasdas has given himself a seed_banana.
[12:05:19	]asdasdas has gained a 'Banana Seeds' #637.
[12:05:20	]asdasdas has given himself a seed_berries.
[12:05:20	]asdasdas has gained a 'Berries Seeds' #638.
[12:05:21	]asdasdas has given himself a seed_orange.
[12:05:21	]asdasdas has gained a 'Orange seeds' #639.
[12:05:22	]asdasdas has given himself a seed_pear.
[12:05:22	]asdasdas has gained a 'Pear Seeds' #640.
[12:05:23	]asdasdas has given himself a seed_pineapple.
[12:05:23	]asdasdas has gained a 'Pineapple Seeds' #641.
[12:05:25	]asdasdas has given himself a seed_potato.
[12:05:25	]asdasdas has gained a 'Potato Seeds' #642.
[12:05:26	]asdasdas has given himself a seed_tomato.
[12:05:26	]asdasdas has gained a 'Tomato Seeds' #643.
[12:05:27	]asdasdas has given himself a seed_watermelon.
[12:05:27	]asdasdas has gained a 'Watermelon Seeds' #644.
[12:05:29	]asdasdas has given himself a advanced_fertilizer.
[12:05:29	]asdasdas has gained a 'Advanced Fertilizer' #645.
[12:05:30	]asdasdas has given himself a advanced_fertilizer.
[12:05:30	]asdasdas has gained a 'Advanced Fertilizer' #646.
[12:05:31	]asdasdas has given himself a advanced_fertilizer.
[12:05:31	]asdasdas has gained a 'Advanced Fertilizer' #647.
[12:05:31	]asdasdas has given himself a advanced_fertilizer.
[12:05:31	]asdasdas has gained a 'Advanced Fertilizer' #648.
[12:05:32	]asdasdas has given himself a advanced_fertilizer.
[12:05:32	]asdasdas has gained a 'Advanced Fertilizer' #649.
[12:05:33	]asdasdas has given himself a advanced_fertilizer.
[12:05:33	]asdasdas has given himself a advanced_fertilizer.
[12:05:35	]asdasdas has given himself a advanced_fertilizer.
[12:05:46	]asdasdas ran 'plant' on item 'Apple Seeds' (#636)
[12:06:32	]asdasdas ran 'plant' on item 'Banana Seeds' (#637)
[12:06:37	]asdasdas ran 'plant' on item 'Berries Seeds' (#638)
[12:06:42	]asdasdas ran 'plant' on item 'Orange seeds' (#639)
[12:06:47	]asdasdas ran 'plant' on item 'Pear Seeds' (#640)
[12:06:51	]asdasdas ran 'plant' on item 'Pineapple Seeds' (#641)
[12:06:55	]asdasdas ran 'plant' on item 'Potato Seeds' (#642)
[12:07:00	]asdasdas ran 'plant' on item 'Tomato Seeds' (#643)
[12:07:05	]asdasdas ran 'plant' on item 'Watermelon Seeds' (#644)
[12:07:11	]asdasdas ran 'plant' on item 'Xen Berries Seeds' (#634)
[12:07:21	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:07:23	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:07:24	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:07:25	]asdasdas ran 'fill' on item 'Water Bucket' (#625)
[12:07:26	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:07:28	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:07:29	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:07:30	]asdasdas ran 'fill' on item 'Water Bucket' (#626)
[12:07:34	]asdasdas has given himself a water_bucket.
[12:07:34	]asdasdas has gained a 'Water Bucket' #650.
[12:07:35	]asdasdas has given himself a water_bucket.
[12:07:35	]asdasdas has gained a 'Water Bucket' #651.
[12:07:36	]asdasdas has spawned a water_bucket.
[12:07:37	]asdasdas has given himself a water_bucket.
[12:07:37	]asdasdas has gained a 'Water Bucket' #653.
[12:07:38	]asdasdas has given himself a water_bucket.
[12:07:38	]asdasdas has gained a 'Water Bucket' #654.
[12:07:41	]asdasdas ran 'take' on item 'Water Bucket' (#652)
[12:07:41	]asdasdas has gained a 'Water Bucket' #652.
[12:07:46	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:07:47	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:07:48	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:07:49	]asdasdas ran 'fill' on item 'Water Bucket' (#650)
[12:07:50	]asdasdas ran 'fill' on item 'Water Bucket' (#653)
[12:07:51	]asdasdas ran 'fill' on item 'Water Bucket' (#653)
[12:07:52	]asdasdas ran 'fill' on item 'Water Bucket' (#653)
