[05:05:26	]reece has connected.
[05:09:14	]reece loaded the character 'fwafgawawf'
[05:09:21	]fwafgawawf entered observer.
[05:09:29	]fwafgawawf exited observer at their location.
[05:10:10	]fwafgawawf entered observer.
[05:10:37	]fwafgawawf ran 'take' on item 'RPG-7' (#559)
[05:10:37	]fwafgawawf has gained a 'RPG-7' #559.
[05:10:39	]fwafgawawf ran 'Equip' on item 'RPG-7' (#559)
[05:10:39	]fwafgawawf used command '/ToggleRaise'.
[05:10:42	]fwafgawawf destroyed a 'CP Rank Leader Uniform' #2482.
[05:10:42	]fwafgawawf destroyed a 'USP-45' #2452.
[05:10:42	]fwafgawawf destroyed a 'OTA Charger Uniform' #2488.
[05:10:42	]fwafgawawf destroyed a 'RAVE' #2573.
[05:10:42	]fwafgawawf destroyed a 'MP7A1' #2468.
[05:10:42	]fwafgawawf destroyed a 'Blue Construction Hat' #2505.
[05:10:42	]fwafgawawf destroyed a 'CP Command Uniform' #2480.
[05:10:42	]fwafgawawf destroyed a 'CP Mask' #2495.
[05:10:42	]fwafgawawf destroyed a 'CWU Member Access Keycard' #2526.
[05:10:46	]fwafgawawf ran 'EquipUn' on item 'RPG-7' (#559)
[05:10:47	]fwafgawawf ran 'Equip' on item 'RPG-7' (#559)
[05:10:48	]fwafgawawf used command '/ToggleRaise'.
[05:10:51	]fwafgawawf destroyed a 'CWU Management Access Keycard' #2524.
[05:10:51	]fwafgawawf destroyed a 'CWU PDA' #2568.
[05:10:51	]fwafgawawf destroyed a 'Helsing Bolt Rifle' #2465.
[05:10:51	]fwafgawawf destroyed a 'CWU Management Access Keycard' #2429.
[05:10:51	]fwafgawawf destroyed a 'AKM' #2462.
[05:10:51	]fwafgawawf destroyed a 'Tikhar Ball Rifle' #2474.
[05:10:51	]fwafgawawf destroyed a 'Broken OTA Uniform' #2483.
[05:10:51	]fwafgawawf destroyed a 'Summit 24 Elite Uniform' #2492.
[05:10:51	]fwafgawawf destroyed a 'Afternoon' #2572.
[05:10:51	]fwafgawawf destroyed a 'Cooked Noodles' #2574.
[05:10:51	]fwafgawawf destroyed a 'Nutrient Bar' #2576.
[05:10:51	]fwafgawawf destroyed a 'Surgical Kit' #2579.
[05:10:51	]fwafgawawf destroyed a 'AR-2' #2463.
[05:10:51	]fwafgawawf destroyed a 'Rappel Gear' #2584.
[05:10:51	]fwafgawawf destroyed a 'Strong Adhesive' #2570.
[05:10:51	]fwafgawawf destroyed a 'CWU Member Access Keycard' #2476.
[05:10:51	]fwafgawawf destroyed a 'RPG-7' #2583.
[05:10:51	]fwafgawawf destroyed a 'Resin' #2435.
[05:10:53	]fwafgawawf ran 'EquipUn' on item 'RPG-7' (#559)
[05:10:53	]fwafgawawf ran 'Equip' on item 'RPG-7' (#559)
[05:10:54	]fwafgawawf used command '/ToggleRaise'.
[05:10:57	]fwafgawawf destroyed a 'OTA Uniform' #2491.
[05:10:57	]fwafgawawf destroyed a 'OTA Shotgunner Uniform' #2486.
[05:10:57	]fwafgawawf destroyed a 'OTA Elite Uniform' #2487.
[05:10:57	]fwafgawawf destroyed a 'OTA Ordinal Uniform' #2485.
[05:10:57	]fwafgawawf destroyed a 'CP Uniform' #2481.
[05:10:57	]fwafgawawf destroyed a 'CP Captain Uniform' #2479.
[05:10:58	]fwafgawawf ran 'EquipUn' on item 'RPG-7' (#559)
[05:10:59	]fwafgawawf ran 'Equip' on item 'RPG-7' (#559)
[05:10:59	]fwafgawawf used command '/ToggleRaise'.
[05:11:08	]fwafgawawf admin-searched the 'Large Metal Cabinet' #164 container.
[05:11:08	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:11	]fwafgawawf admin-closed the 'Large Metal Cabinet' #164 container.
[05:11:12	]fwafgawawf has used a context menu option with the name: wncontainer_checkowner
[05:11:12	]fwafgawawf admin-searched the 'Large Metal Cabinet' #165 container.
[05:11:12	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:13	]fwafgawawf admin-closed the 'Large Metal Cabinet' #165 container.
[05:11:15	]fwafgawawf admin-searched the 'Large Metal Cabinet' #166 container.
[05:11:15	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:16	]fwafgawawf admin-closed the 'Large Metal Cabinet' #166 container.
[05:11:16	]fwafgawawf admin-searched the 'Large Metal Cabinet' #167 container.
[05:11:16	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:17	]fwafgawawf admin-closed the 'Large Metal Cabinet' #167 container.
[05:11:18	]fwafgawawf admin-searched the 'Large Metal Cabinet' #168 container.
[05:11:18	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:18	]fwafgawawf admin-closed the 'Large Metal Cabinet' #168 container.
[05:11:20	]fwafgawawf admin-searched the 'Large Metal Cabinet' #169 container.
[05:11:20	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:20	]fwafgawawf admin-closed the 'Large Metal Cabinet' #169 container.
[05:11:21	]fwafgawawf admin-searched the 'Large Metal Cabinet' #170 container.
[05:11:21	]fwafgawawf has used a context menu option with the name: wncontainer_view
[05:11:22	]fwafgawawf admin-closed the 'Large Metal Cabinet' #170 container.
[05:11:27	]fwafgawawf exited observer at their location.
[05:11:30	]reece (STEAM_0:1:158746618) has disconnected.
