[04:01:14	]The Combine container (#117163) was set to CLEANUP.
[17:17:44	]The Safe container (#117330) was set to CLEANUP.
[17:17:44	]The Safe container (#117331) was set to CLEANUP.
[17:17:44	]The Emergency Biopaste Storage container (#117332) was set to CLEANUP.
[17:19:49	]M!NT has connected.
[17:20:27	]M!NT loaded the character 'Adalia Torres'
[17:20:32	]Adalia Torres is fully healed.
[17:20:47	]Adalia Torres entered observer.
[17:21:15	]Adalia Torres exited observer at their location.
[17:21:31	]Adalia Torres entered observer.
[17:21:37	]Adalia Torres exited observer at their location.
[17:21:56	]Adalia Torres entered observer.
[17:22:17	]ulterior has connected.
[17:22:30	]Adalia Torres set shootSoundDSP to '0'.
[17:22:43	]Adalia Torres set shootSoundDSP to '106'.
[17:22:44	]Adalia Torres set shootSoundDSP to '112'.
[17:22:45	]Adalia Torres set shootSoundDSP to '116'.
[17:22:45	]Adalia Torres set shootSoundDSP to '121'.
[17:22:59	]Adalia Torres exited observer at their location.
[17:23:00	]ulterior loaded the character 'mini strider'
[17:23:02	]mini strider was knocked unconscious and is bleeding out.
[17:23:08	]mini strider ran SAM command 'respawn' with arguments: '^'
[17:23:09	]mini strider entered observer.
[17:23:10	]mini strider is fully healed.
[17:23:14	]Adalia Torres entered observer.
[17:23:16	]mini strider ran SAM command 'goto' with arguments: 'adalia'
[17:23:21	]mini strider ran 'drop' on item 'CV-2000 Stun Baton' (#2606149)
[17:23:21	]mini strider has lost a 'CV-2000 Stun Baton' #2606149.
[17:23:24	]mini strider exited observer at their location.
[17:23:26	]mini strider ran 'drop' on item 'Padlock' (#2605468)
[17:23:26	]mini strider has lost a 'Padlock' #2605468.
[17:23:26	]mini strider ran 'drop' on item 'Flashlight' (#2600993)
[17:23:26	]mini strider has lost a 'Flashlight' #2600993.
[17:23:26	]mini strider ran 'drop' on item 'Black Trousers' (#2601020)
[17:23:26	]mini strider has lost a 'Black Trousers' #2601020.
[17:23:26	]mini strider ran 'drop' on item '9mm Pistol Bullets' (#2606876)
[17:23:26	]mini strider has lost a '9mm Pistol Bullets' #2606876.
[17:23:26	]mini strider ran 'drop' on item 'Sub-machinegun Bullets' (#2606125)
[17:23:26	]mini strider has lost a 'Sub-machinegun Bullets' #2606125.
[17:23:27	]mini strider ran 'drop' on item '9mm Pistol Bullets' (#2606875)
[17:23:27	]mini strider has lost a '9mm Pistol Bullets' #2606875.
[17:23:27	]mini strider ran 'drop' on item '#85735's Identity Card' (#2656645)
[17:23:27	]mini strider has lost a '#85735's Identity Card' #2656645.
[17:23:27	]mini strider ran 'drop' on item 'POS Terminal' (#2656642)
[17:23:27	]mini strider has lost a 'POS Terminal' #2656642.
[17:23:27	]mini strider ran 'drop' on item 'Cigarette' (#2654079)
[17:23:27	]mini strider has lost a 'Cigarette' #2654079.
[17:23:27	]mini strider ran 'drop' on item 'Candyfloss' (#2601019)
[17:23:27	]mini strider has lost a 'Candyfloss' #2601019.
[17:23:28	]mini strider ran 'drop' on item 'Combine Battery' (#2653966)
[17:23:28	]mini strider has lost a 'Combine Battery' #2653966.
[17:23:32	]mini strider has fired a toolgun with the name: remover
[17:23:32	]mini strider has fired a toolgun with the name: remover
[17:23:32	]mini strider has fired a toolgun with the name: remover
[17:23:32	]mini strider has fired a toolgun with the name: remover
[17:23:32	]mini strider has fired a toolgun with the name: remover
[17:23:33	]mini strider has fired a toolgun with the name: remover
[17:23:33	]mini strider has fired a toolgun with the name: remover
[17:23:33	]mini strider has fired a toolgun with the name: remover
[17:23:33	]mini strider has fired a toolgun with the name: remover
