[00:00:03	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 17 damage (CritChance was 0.65).
[00:00:04	]Julia Jazmin has hit npc_vj_hlr2_rebel in the right arm dealing 17 damage (CritChance was 0.65).
[00:00:04	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 27 damage (CritChance was 0.65).
[00:00:04	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 17 damage (CritChance was 0.65).
[00:00:05	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 27 damage (CritChance was 0.65).
[00:00:06	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 27 damage (CritChance was 0.65).
[00:00:26	]Julia Jazmin ran 'drop' on item 'Helsing Bolt Rifle' (#2687461)
[00:00:26	]Julia Jazmin has lost a 'Helsing Bolt Rifle' #2687461.
[00:00:27	]Julia Jazmin used the 'John Doe' vendor.
[00:00:29	]Julia Jazmin ran 'take' on item 'Makeshift P90' (#2687462)
[00:00:29	]Julia Jazmin has gained a 'Makeshift P90' #2687462.
[00:00:31	]Julia Jazmin ran 'Equip' on item 'Makeshift P90' (#2687462)
[00:00:31	]Julia Jazmin used command '/ToggleRaise'.
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the right arm dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.85).
[00:00:35	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:36	]Julia Jazmin has hit npc_vj_hlr2_rebel in the left arm dealing 4 damage (CritChance was 0.85).
[00:00:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the stomach dealing 7 damage (CritChance was 0.85).
[00:00:36	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the left arm dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the left arm dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the head dealing 7 damage (CritChance was 0.85).
[00:00:37	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the head dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 4 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:38	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the left arm dealing 7 damage (CritChance was 0.85).
[00:00:39	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 7 damage (CritChance was 0.85).
[00:01:38	]Julia Jazmin ran 'drop' on item 'Makeshift P90' (#2687462)
[00:01:38	]Julia Jazmin has lost a 'Makeshift P90' #2687462.
[00:01:39	]Julia Jazmin used the 'John Doe' vendor.
[00:01:43	]Julia Jazmin has gained 0 chips.
[00:01:43	]Julia Jazmin has gained a 'Popper' #2687463.
[00:01:44	]Julia Jazmin ran 'Equip' on item 'Popper' (#2687463)
[00:01:45	]Julia Jazmin used command '/ToggleRaise'.
[00:01:49	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the head dealing 30 damage (CritChance was 0.90).
[00:01:50	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 30 damage (CritChance was 0.90).
[00:01:51	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 30 damage (CritChance was 0.90).
[00:02:13	]Julia Jazmin ran 'drop' on item 'Popper' (#2687463)
[00:02:13	]Julia Jazmin has lost a 'Popper' #2687463.
[00:02:15	]Julia Jazmin used the 'John Doe' vendor.
[00:02:17	]Julia Jazmin has gained 0 chips.
[00:02:18	]Julia Jazmin has gained a 'Tikhar Ball Rifle' #2687464.
[00:02:20	]Julia Jazmin ran 'Equip' on item 'Tikhar Ball Rifle' (#2687464)
[00:02:21	]Julia Jazmin used command '/ToggleRaise'.
[00:02:27	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:28	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:28	]Julia Jazmin has hit npc_vj_hlr2_rebel in the chest dealing 12 damage (CritChance was 0.65).
[00:02:29	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
[00:02:29	]Julia Jazmin has critically hit npc_vj_hlr2_rebel in the chest dealing 19 damage (CritChance was 0.65).
