[21:03:09	]Fedora has connected.
[21:04:17	]Fedora loaded the character 'john fedora tester'
[21:04:28	]Fedora used command '/CharSetName ^ Fedora'.
[21:04:29	]Fedora entered observer.
[21:04:35	]Fedora exited observer at their location.
[21:06:02	]Fedora has spawned a 'Entity [6438][ix_vendor]'.
[21:06:04	]Fedora has used a context menu option with the name: vendor_edit
[21:06:20	]Fedora entered observer.
[21:06:38	]Fedora exited observer at their location.
[21:06:41	]Fedora has used a context menu option with the name: vendor_edit
[21:08:02	]Alessiodoomboy has connected.
[21:08:52	]Alessiodoomboy loaded the character 'C24: i2.MCNULTY-19'
[21:08:57	]C24: i2.MCNULTY-19 is fully healed.
[21:09:28	]C24: i2.MCNULTY-19 entered observer.
[21:09:37	]C24: i2.MCNULTY-19 exited observer at their location.
[21:09:41	]C24: i2.MCNULTY-19 ran 'drop' on item 'Helsing Bolt Rifle' (#2687801)
[21:09:41	]C24: i2.MCNULTY-19 has lost a 'Helsing Bolt Rifle' #2687801.
[21:09:42	]C24: i2.MCNULTY-19 ran 'Equip' on item 'Tikhar Ball Rifle' (#2687797)
[21:09:46	]C24: i2.MCNULTY-19 destroyed a 'Helsing Bolt Rifle' #2687801.
[21:09:48	]C24: i2.MCNULTY-19 used the 'John Doe' vendor.
[21:09:49	]Fedora entered observer.
[21:09:54	]C24: i2.MCNULTY-19 has gained 0 chips.
[21:09:54	]C24: i2.MCNULTY-19 has gained a 'MP7A1' #2687856.
[21:09:57	]C24: i2.MCNULTY-19 ran 'EquipUn' on item 'Tikhar Ball Rifle' (#2687797)
[21:09:57	]C24: i2.MCNULTY-19 ran 'Equip' on item 'MP7A1' (#2687856)
[21:10:00	]C24: i2.MCNULTY-19 entered observer.
[21:10:14	]Fedora exited observer at their location.
[21:10:16	]Fedora has spawned a 'Entity [6450][ix_vendor]'.
[21:10:27	]Fedora has used a context menu option with the name: vendor_edit
[21:11:06	]C24: i2.MCNULTY-19 exited observer at their location.
[21:11:20	]Tengu has connected.
[21:12:10	]Fedora entered observer.
[21:12:15	]Fedora exited observer at their location.
[21:12:24	]Tengu loaded the character 'Tamara Lahtizer'
[21:12:27	]Fedora entered observer.
[21:12:29	]Fedora exited observer at their location.
[21:12:29	]Fedora entered observer.
[21:12:29	]Tamara Lahtizer is fully healed.
[21:12:29	]Fedora exited observer at their location.
[21:12:35	]Fedora entered observer.
[21:12:37	]Fedora exited observer at their location.
[21:12:41	]Fedora entered observer.
[21:12:44	]Fedora exited observer at their location.
[21:12:47	][OOC] Tamara Lahtizer: Another day of testing :)
[21:12:53	]Fedora has given himself a cca_devil.
[21:12:53	]Fedora has gained a 'Devil's Advocate' #2687857.
[21:12:57	]Fedora has given himself a cca_legs_authoritarian.
[21:12:57	]Fedora has gained a 'The Authoritarian Trousers' #2687858.
[21:13:08	]Fedora has given himself a shoes_dress_shoes.
[21:13:08	]Fedora has gained a 'Dress Shoes' #2687859.
[21:13:19	]Fedora entered observer.
[21:13:28	]Fedora exited observer at their location.
[21:13:29	]Fedora entered observer.
[21:13:43	]Divine has connected.
[21:13:46	]Fedora exited observer at their location.
[21:13:46	]Fedora entered observer.
[21:13:47	]Fedora exited observer at their location.
[21:13:53	]Fedora has given himself a head_fedora.
[21:13:53	]Fedora has gained a 'Black Fedora' #2687860.
[21:13:56	]Fedora entered observer.
[21:14:04	]Lockbody has connected.
[21:14:07	]Fedora exited observer at their location.
[21:14:11	]Fedora entered observer.
[21:14:11	]Fedora exited observer at their location.
[21:14:17	]Fedora entered observer.
[21:14:18	]Fedora exited observer at their location.
[21:14:19	]Fedora entered observer.
[21:14:20	]Fedora exited observer at their location.
[21:14:28	]Fedora entered observer.
[21:14:29	]Fedora exited observer at their location.
[21:14:30	]Lekoboi has connected.
[21:14:30	]Fedora entered observer.
[21:14:30	]Fedora exited observer at their location.
[21:14:31	]Fedora entered observer.
[21:14:33	]Fedora exited observer at their location.
[21:14:36	]Fedora entered observer.
[21:14:40	][OOC] Tamara Lahtizer: I forgot we were in the outlands last time.. Could I get a tp to wherever we're having the fun?
[21:14:46	][OOC] Fedora: sure
[21:14:50	][OOC] Fedora: probs using diff areas
[21:14:53	]Lockbody loaded the character 'Pavel Artyomov'
[21:14:55	]Fedora ran SAM command 'bring' with arguments: 'tamara'
[21:15:04	][IC] Tamara Lahtizer: Bald.
[21:15:04	]Fedora ran SAM command 'hp' with arguments: '*' '100'
[21:15:07	]Fedora ran SAM command 'armor' with arguments: '*' '50'
[21:15:08	]Pavel Artyomov is fully healed.
[21:15:12	][IC] Tamara Lahtizer: Look at this bald guy..
[21:15:17	][OOC] Fedora: just waiting for peeps to join
[21:15:18	][IC] Pavel Artyomov: LMAO.
[21:15:18	]C24: i2.MCNULTY-19 entered observer.
[21:15:18	]C24: i2.MCNULTY-19 exited observer at their location.
[21:15:22	][IC] C24: i2.MCNULTY-19: <:: Wtf. ::>
[21:15:22	]C24: i2.MCNULTY-19 entered observer.
[21:15:23	]C24: i2.MCNULTY-19 exited observer at their location.
[21:15:31	]Fedora exited observer at their location.
[21:15:35	]Pavel Artyomov used the 'John Doe' vendor.
[21:15:38	][LOOC] Tamara Lahtizer: so what're we testing today?
[21:15:40	]Pavel Artyomov has gained 0 chips.
[21:15:41	][IC] Fedora: Time Doctor Freeman? Is it really that time?
[21:15:41	]Lekoboi loaded the character 'C24:RCT.YELLO-11'
[21:15:43	]Pavel Artyomov ran 'drop' on item 'Duplet' (#2687411)
[21:15:43	]Pavel Artyomov has lost a 'Duplet' #2687411.
[21:15:45	]Pavel Artyomov used the 'John Doe' vendor.
[21:15:46	]C24:RCT.YELLO-11 is fully healed.
[21:15:51	]Tamara Lahtizer ran 'EquipUn' on item 'Spas-12' (#2686603)
[21:15:52	]Tamara Lahtizer ran 'drop' on item 'Spas-12' (#2686603)
[21:15:52	]Tamara Lahtizer has lost a 'Spas-12' #2686603.
[21:15:53	]Tamara Lahtizer ran 'drop' on item 'M16A2' (#2686584)
[21:15:53	]Tamara Lahtizer has lost a 'M16A2' #2686584.
[21:15:55	]Pavel Artyomov has gained 0 chips.
[21:15:55	]Pavel Artyomov has gained a 'Overwatch Standard-Issue Pulse Rifle' #2687861.
[21:15:55	][LOOC] Fedora: just doing norm weapons, need to test new damage
[21:15:56	]Tamara Lahtizer used command '/ToggleRaise'.
[21:15:58	]Tamara Lahtizer destroyed a 'M16A2' #2686584.
[21:16:00	]Tamara Lahtizer destroyed a 'Spas-12' #2686603.
[21:16:01	][LOOC] Fedora: balance TTK and actual fights.
[21:16:02	]Pavel Artyomov ran 'Equip' on item 'Overwatch Standard-Issue Pulse Rifle' (#2687861)
[21:16:03	]Pavel Artyomov used command '/ToggleRaise'.
[21:16:06	]Tamara Lahtizer used the 'John Doe' vendor.
[21:16:07	][OOC] C24:RCT.YELLO-11: yes hello im the one who tests weapons
[21:16:16	]Tamara Lahtizer has gained 0 chips.
[21:16:16	]Tamara Lahtizer has gained a 'M1014' #2687862.
[21:16:18	]Tamara Lahtizer ran 'Equip' on item 'M1014' (#2687862)
[21:16:21	]Tamara Lahtizer used command '/ToggleRaise'.
[21:16:22	]C24: i2.MCNULTY-19 entered observer.
[21:16:27	]Tamara Lahtizer used the 'John Doe' vendor.
[21:16:31	][IC] Pavel Artyomov: The sights on this gun are terrible, wtf.
[21:16:34	]Fedora entered observer.
[21:16:35	][IC] C24:RCT.YELLO-11: <:: Bleh. ::>
[21:16:36	]Fedora exited observer at their location.
[21:16:38	]Fedora entered observer.
[21:16:40	]C24: i2.MCNULTY-19 ran SAM command 'bring' with arguments: 'C24'
[21:16:42	]Fedora ran SAM command 'armor' with arguments: '*' '50'
[21:16:46	]Tamara Lahtizer has gained 0 chips.
[21:16:46	]Tamara Lahtizer has gained a 'G3A3' #2687863.
[21:16:46	]C24: i2.MCNULTY-19 exited observer at their location.
[21:16:49	]Tamara Lahtizer ran 'EquipUn' on item 'M1014' (#2687862)
[21:16:50	]Tamara Lahtizer ran 'Equip' on item 'G3A3' (#2687863)
[21:16:52	]Pavel Artyomov used command '/ToggleRaise'.
[21:16:53	][IC] C24:RCT.YELLO-11: <:: Hey big guy. ::>
[21:16:55	]Tamara Lahtizer used command '/ToggleRaise'.
[21:16:55	]Pavel Artyomov ran 'EquipUn' on item 'Overwatch Standard-Issue Pulse Rifle' (#2687861)
[21:16:56	]Divine loaded the character 'S10/OWS.SWIFT-37'
[21:16:56	]Pavel Artyomov used the 'John Doe' vendor.
[21:16:57	]C24: i2.MCNULTY-19 ran 'drop' on item 'Tikhar Ball Rifle' (#2687797)
[21:16:57	]C24: i2.MCNULTY-19 has lost a 'Tikhar Ball Rifle' #2687797.
[21:16:59	]Pavel Artyomov has gained 0 chips.
[21:17:01	]S10/OWS.SWIFT-37 is fully healed.
[21:17:01	]C24: i2.MCNULTY-19 entered observer.
[21:17:03	][IC] Tamara Lahtizer: OOOOOOoooo.
[21:17:03	]Pavel Artyomov has gained 0 chips.
[21:17:03	]Pavel Artyomov has gained a 'Overwatch Pulse Submachine-gun' #2687864.
[21:17:03	]C24: i2.MCNULTY-19 exited observer at their location.
[21:17:04	]C24: i2.MCNULTY-19 destroyed a 'Tikhar Ball Rifle' #2687797.
[21:17:06	]C24: i2.MCNULTY-19 entered observer.
[21:17:07	]C24: i2.MCNULTY-19 exited observer at their location.
[21:17:07	]Pavel Artyomov ran 'Equip' on item 'Overwatch Pulse Submachine-gun' (#2687864)
[21:17:08	]Pavel Artyomov used command '/ToggleRaise'.
[21:17:08	]C24: i2.MCNULTY-19 used the 'John Doe' vendor.
[21:17:08	]willumhf has connected.
[21:17:08	]C24:RCT.YELLO-11 used the 'John Doe' vendor.
[21:17:09	][IC] Tamara Lahtizer: G3, my beloved.. Welcome back.
[21:17:14	]Tamara Lahtizer used command '/ToggleRaise'.
[21:17:14	]Fedora ran SAM command 'bring' with arguments: '37'
[21:17:15	]ulterior has connected.
[21:17:16	][IC] C24: i2.MCNULTY-19: <:: They added headshot damage I think. ::>
[21:17:17	]Tamara Lahtizer used the 'John Doe' vendor.
[21:17:20	]Fedora used command '/PM 37 u got CP whitelist?'.
[21:17:22	]Tamara Lahtizer used the 'John Doe' vendor.
[21:17:23	][IC] C24:RCT.YELLO-11: <:: Isnt this like. ::>
[21:17:24	]Tamara Lahtizer has gained 0 chips.
[21:17:25	]S10/OWS.SWIFT-37 used command '/PM fedora I do not'.
[21:17:25	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.03).
[21:17:25	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:25	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.03).
[21:17:25	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:26	]Pavel Artyomov used command '/ToggleRaise'.
[21:17:26	]C24:RCT.YELLO-11 is fully healed.
[21:17:27	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the chest dealing 13 damage (CritChance was 0.09).
[21:17:27	]C24:RCT.YELLO-11 has taken 13 damage from C24: i2.MCNULTY-19.
[21:17:27	]Pavel Artyomov ran 'EquipUn' on item 'Overwatch Pulse Submachine-gun' (#2687864)
[21:17:28	]Pavel Artyomov used the 'John Doe' vendor.
[21:17:29	]C24: i2.MCNULTY-19 has hit C24:RCT.YELLO-11 in the head dealing 15 damage (CritChance was 0.03).
[21:17:29	]C24:RCT.YELLO-11 has taken 15 damage from C24: i2.MCNULTY-19.
[21:17:30	]hoki has connected.
