[11:23:12	]Commissar_Krieger has connected.
[11:24:01	]Commissar_Krieger loaded the character 'Sevastyan Kravchenko'
[11:24:08	]Sevastyan Kravchenko entered observer.
[11:24:20	]Sevastyan Kravchenko exited observer at their location.
[11:24:35	]Commissar_Krieger (STEAM_0:1:221347812) has disconnected.
[21:41:28	]Risvolto has connected.
[21:41:44	]Tuki has connected.
[21:42:30	]Tuki loaded the character 'Tuki'
[21:42:47	]Tuki ran 'EquipUn' on item 'MP5-SD' (#2690600)
[21:42:47	]Tuki has gained a '30rnd MP Magazine' #2690619.
[21:42:48	]Tuki ran 'drop' on item 'MP5-SD' (#2690600)
[21:42:48	]Tuki has lost a 'MP5-SD' #2690600.
[21:42:49	]Tuki ran 'drop' on item 'Magazine Pouch' (#2690602)
[21:42:49	]Tuki has lost a 'Magazine Pouch' #2690602.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690617.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690619.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690618.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690612.
[21:42:49	]Tuki ran 'drop' on item 'Magazine Pouch' (#2690603)
[21:42:49	]Tuki has lost a 'Magazine Pouch' #2690603.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690613.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690615.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690614.
[21:42:49	]Tuki has lost a '30rnd MP Magazine' #2690616.
[21:42:50	]Tuki ran 'drop' on item 'Ammunition Pouch' (#2690601)
[21:42:50	]Tuki has lost a 'Ammunition Pouch' #2690601.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690641.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690633.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690647.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690644.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690645.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690639.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690646.
[21:42:50	]Tuki has lost a 'Sub-machinegun Bullets' #2690640.
[21:43:04	]Tuki has fired a toolgun with the name: remover
[21:43:05	]Tuki has fired a toolgun with the name: remover
[21:43:05	]Tuki has fired a toolgun with the name: remover
[21:43:05	]Tuki has fired a toolgun with the name: remover
[21:43:05	]Tuki has fired a toolgun with the name: remover
[21:43:05	]Tuki has fired a toolgun with the name: remover
