[00:00:01	][IC] C24:i3.UNION-41: <:: LOOK AT THIS SHIT. ::>
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 16 damage (CritChance was 0.30).
[00:00:02	]C24:i5.KING-53 has taken 16 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 16 damage (CritChance was 0.30).
[00:00:02	]C24:i5.KING-53 has taken 16 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 20 damage (CritChance was 0.10).
[00:00:02	]C24:i5.KING-53 has taken 20 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 20 damage (CritChance was 0.10).
[00:00:02	]C24:i5.KING-53 has taken 20 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 20 damage (CritChance was 0.10).
[00:00:02	]C24:i5.KING-53 has taken 20 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 20 damage (CritChance was 0.14).
[00:00:02	]C24:i5.KING-53 has taken 20 damage from C24:i3.UNION-41.
[00:00:02	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the head dealing 20 damage (CritChance was 0.14).
[00:00:02	]C24:i5.KING-53 has taken 20 damage from C24:i3.UNION-41.
[00:00:03	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the left arm dealing 8 damage (CritChance was 0.43).
[00:00:03	]C24:i5.KING-53 has taken 8 damage from C24:i3.UNION-41.
[00:00:03	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the left arm dealing 14 damage (CritChance was 0.43).
[00:00:03	]C24:i5.KING-53 has taken 14 damage from C24:i3.UNION-41.
[00:00:03	]C24:i3.UNION-41 has critically hit C24:i5.KING-53 in the left arm dealing 14 damage (CritChance was 0.43).
[00:00:03	]C24:i5.KING-53 has taken 14 damage from C24:i3.UNION-41.
[00:00:03	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 16 damage (CritChance was 0.43).
[00:00:03	]C24:i5.KING-53 has taken 16 damage from C24:i3.UNION-41.
[00:00:03	]C24:i3.UNION-41 has hit C24:i5.KING-53 in the chest dealing 16 damage (CritChance was 0.43).
[00:00:03	]C24:i5.KING-53 was knocked unconscious and is bleeding out.
[00:00:10	][IC] C24:i3.UNION-41: <:: DUDE THIS USED TO BE SHIT. ::>
[00:00:13	][OOC] C24:i5.KING-53: im pretty sure that its just the dev server that has fucked dmg values
[00:00:13	]C24:i5.KING-53 is fully healed.
[00:00:14	][IC] Elena Rose: Brother.
[00:00:14	]C24:i3.UNION-41 has hit Elena Rose in the head dealing 20 damage (CritChance was 0.14).
[00:00:14	]Elena Rose has taken 20 damage from C24:i3.UNION-41.
