[03:07:51	]TRL has connected.
[03:19:48	]TRL loaded the character 'Kirill Zapada'
[03:32:55	]Kirill Zapada has gone afk.
[03:37:15	]Kirill Zapada is no longer afk. Total time spent AFK: 555
[03:39:43	]Kirill Zapada ran 'drop' on item 'AKSU' (#2690535)
[03:39:43	]Kirill Zapada has lost a 'AKSU' #2690535.
[03:39:45	]Kirill Zapada ran 'take' on item 'AKSU' (#2690535)
[03:39:45	]Kirill Zapada has gained a 'AKSU' #2690535.
[03:39:47	]Kirill Zapada ran 'Equip' on item 'AKSU' (#2690535)
[03:40:06	]Kirill Zapada ran 'drinkquench' on item 'Water Bottle' (#2634317)
[03:40:09	]Kirill Zapada ran 'SetDurability' on item 'Toolkit' (#2677913)
[03:40:12	]Kirill Zapada ran 'SetMaxDurability' on item 'Toolkit' (#2677913)
[03:40:18	]Kirill Zapada ran 'SetDurability' on item 'Toolkit' (#2677913)
[03:40:23	]Kirill Zapada ran 'SetMaxDurability' on item 'Sledge Hammer' (#2531022)
[03:40:27	]Kirill Zapada ran 'SetDurability' on item 'Sledge Hammer' (#2531022)
[03:40:39	]Kirill Zapada ran 'Consume' on item 'Raw Leech Carcass' (#2646645)
[03:40:43	]Kirill Zapada ran 'drop' on item 'AKSU' (#2690535)
[03:40:43	]Kirill Zapada has lost a 'AKSU' #2690535.
[03:40:44	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690534)
[03:40:44	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[03:40:44	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:40:45	]Kirill Zapada ran 'use' on item 'Bandage Roll' (#2690534)
[03:40:45	]Kirill Zapada has performed the 'Use Bandage Roll' action, gaining 15 experience in medicine.
[03:40:45	]Kirill Zapada was bandaged by Kirill Zapada for 18 HP.
[03:40:46	]Kirill Zapada ran 'drop' on item 'Bandage Roll' (#2690534)
[03:40:46	]Kirill Zapada has lost a 'Bandage Roll' #2690534.
