[00:36:58	]Jack Hoff has connected.
[00:42:20	]Jack Hoff created the character 'James Richardson'
[00:42:20	]James Richardson has gained a 'Light Grey Armband' #2693305.
[00:42:20	]Jack Hoff loaded the character 'James Richardson'
[00:42:20	]James Richardson has gained a '#77813's Identity Card' #2693306.
[00:42:20	]James Richardson has gained a 'Green Jumpsuit' #2693307.
[00:42:20	]James Richardson has gained a 'Green Jumpsuit Trousers' #2693308.
[00:42:20	]James Richardson has gained a 'Dark Leather Boots' #2693309.
[00:42:20	]James Richardson has gained a 'Glasses' #2693310.
[00:42:40	]James Richardson ran 'Equip' on item 'Light Grey Armband' (#2693305)
[00:43:49	]James Richardson ran 'Write' on item 'Paper' (#1544645)
[00:43:52	]James Richardson ran 'Write' on item 'Paper' (#1544645)
[00:44:46	]James Richardson opened the 'Large Metal Cabinet' #130642 container.
[00:44:47	]James Richardson closed the 'Large Metal Cabinet' #130642 container.
[00:44:48	]James Richardson opened the 'Large Metal Cabinet' #130642 container.
[00:44:49	]James Richardson closed the 'Large Metal Cabinet' #130642 container.
[00:44:52	]James Richardson opened the 'Refrigerator' #116994 container.
[00:44:54	]James Richardson closed the 'Refrigerator' #116994 container.
[00:45:05	]James Richardson opened the 'File Cabinet' #116993 container.
[00:45:06	]James Richardson closed the 'File Cabinet' #116993 container.
[00:45:18	]James Richardson has acquired his ration, gaining 0 credits, 0 wages and a ration ration.
[00:45:31	]James Richardson ran 'take' on item 'Ration' (#2693311)
[00:45:31	]James Richardson has gained a 'Ration' #2693311.
[00:47:14	]James Richardson opened the 'Refrigerator' #130964 container.
[00:47:16	]James Richardson closed the 'Refrigerator' #130964 container.
[00:47:46	]Jack Hoff (STEAM_0:1:36459090) has disconnected.
