[04:10:30	]Goulashnikov has connected.
[04:11:13	]Goulashnikov loaded the character 'Zakar Naoumov'
[04:11:18	]Zakar Naoumov is fully healed.
[04:16:43	]Zakar Naoumov has gone afk.
[04:18:23	]Zakar Naoumov is no longer afk. Total time spent AFK: 395
[04:18:24	]Goulashnikov has unloaded their "Zakar Naoumov" character.
[04:23:53	]Goulashnikov has gone afk.
[04:28:18	]Goulashnikov loaded the character 'Zakar Naoumov'
[04:28:18	]Zakar Naoumov is no longer afk. Total time spent AFK: 565
[04:28:39	]Goulashnikov has unloaded their "Zakar Naoumov" character.
[04:28:43	]Goulashnikov loaded the character 'Joseph Hailburg'
[04:40:05	]Goulashnikov (STEAM_0:1:37693714) has disconnected.
