[00:43:01	]Divine has connected.
[00:57:03	]Divine loaded the character 'Xiao Chen-Ning'
[00:57:08	]Xiao Chen-Ning is fully healed.
[01:03:03	]Xiao Chen-Ning has gone afk.
[01:11:33	]Xiao Chen-Ning is no longer afk. Total time spent AFK: 805
[01:12:25	]Divine (STEAM_0:0:63629212) has disconnected.
[04:18:33	]Goulashnikov has connected.
[04:19:24	]Goulashnikov loaded the character 'Joseph Hailburg'
[04:39:35	]Joseph Hailburg has gone afk.
[04:42:25	]Joseph Hailburg is no longer afk. Total time spent AFK: 465
[04:44:00	]Goulashnikov has unloaded their "Joseph Hailburg" character.
[04:49:25	]Goulashnikov has gone afk.
[04:51:19	]Goulashnikov created the character 'Test Char'
[04:51:19	]Goulashnikov loaded the character 'Test Char'
[04:51:19	]Test Char is no longer afk. Total time spent AFK: 410
[04:51:19	]Test Char has gained a 'Light Grey Armband' #3111087.
[04:51:19	]Test Char has gained a '#53856's Identity Card' #3111088.
[04:51:19	]Test Char has gained a 'Black Jumpsuit' #3111089.
[04:51:19	]Test Char has gained a 'Jumpsuit Trousers' #3111090.
[04:51:19	]Test Char has gained a 'Dark Leather Boots' #3111091.
[04:53:29	]Goulashnikov (STEAM_0:1:37693714) has disconnected.
[23:17:14	]TheGamingPlumber has connected.
[23:18:03	]TheGamingPlumber (STEAM_0:0:49210697) has disconnected.
