[09:15:15	]gb has connected.
[09:16:36	]gb loaded the character 'gb'
[09:16:41	]gb is fully healed.
[09:16:47	][IC] gb: A.
[09:17:01	]gb entered observer.
[09:17:05	]gb used command '/MovieBars 100'.
[09:17:07	]gb exited observer at their location.
[09:17:08	]gb entered observer.
[09:17:08	]gb used command '/MovieBars 1000'.
[09:17:40	]gb used command '/MovieBars 0'.
[09:17:50	]gb exited observer at their location.
[09:17:51	]gb entered observer.
[09:17:59	]gb has spawned a 'Entity [265][ix_vein_iron]'.
[09:17:59	]gb exited observer at their location.
[09:18:10	]gb has given himself a pickaxe.
[09:18:13	]gb has given himself a pickaxe.
[09:18:13	]gb has gained a 'Pickaxe' #3111268.
[09:18:14	]gb ran 'Equip' on item 'Pickaxe' (#3111268)
[09:18:21	]gb entered observer.
[09:18:22	]gb exited observer at their location.
[09:18:24	]gb entered observer.
[09:18:24	]gb exited observer at their location.
[09:25:50	]gb entered observer.
[09:26:11	]gb (STEAM_0:1:82427134) has disconnected.
[20:10:17	]Hayden has connected.
[20:10:49	]Wraygun has connected.
[20:11:01	]Hayden loaded the character 'Jonathan Douglas'
[20:11:01	]Jonathan Douglas their 'sentinel outpost' stash no longer exists, location reset.
[20:11:06	]Jonathan Douglas is fully healed.
[20:11:16	]Hayden (STEAM_0:1:22038366) deleted character 'S10/EOW.GHOST-41'
[20:11:40	]Hayden created the character 'Shitizen'
[20:11:40	]Hayden loaded the character 'Shitizen'
[20:11:40	]Shitizen has gained a 'Flashlight' #3111269.
[20:11:40	]Shitizen has gained a 'Black Armband' #3111270.
[20:11:40	]Shitizen has gained a '#81466's Identity Card' #3111271.
[20:12:19	]Shitizen has given himself a ccr_fatigues.
[20:12:19	]Shitizen has gained a 'CCR Combat Fatigues' #3111272.
[20:12:22	]Shitizen has given himself a ccr_vest.
[20:12:22	]Shitizen has gained a 'CCR Armored Vest' #3111273.
[20:12:30	]Shitizen has used a context menu option with the name: remove
[20:12:30	]Shitizen entered observer.
[20:12:33	]Shitizen exited observer at their location.
[20:12:52	]Wraygun loaded the character 'Corporal Magnus Lockheart'
[20:12:52	]Corporal Magnus Lockheart their 'conscript personal lockers' stash no longer exists, location reset.
[20:13:21	][IC] Shitizen: Hi.
[20:13:23	][IC] Corporal Magnus Lockheart: Hi.
[20:13:27	]Shitizen has spawned a ccr_fatigues.
[20:13:29	]Corporal Magnus Lockheart ran 'take' on item 'CCR Combat Fatigues' (#3111274)
[20:13:29	]Corporal Magnus Lockheart has gained a 'CCR Combat Fatigues' #3111274.
[20:13:34	]Corporal Magnus Lockheart ran 'drop' on item 'CCR Armored Vest' (#2995636)
[20:13:34	]Corporal Magnus Lockheart has lost a 'CCR Armored Vest' #2995636.
[20:13:50	][LOOC] Corporal Magnus Lockheart: it's here.
[20:13:52	]Corporal Magnus Lockheart ran 'take' on item 'CCR Armored Vest' (#2995636)
[20:13:52	]Corporal Magnus Lockheart has gained a 'CCR Armored Vest' #2995636.
[20:13:56	][IC] Shitizen: CCR upswing.
