[13:32:38	]Marshall has connected.
[13:33:53	]Marshall loaded the character 'Elowyn Reingard'
[13:33:58	]Elowyn Reingard is fully healed.
[13:34:30	]Elowyn Reingard has spawned a 'Entity [471][ix_crackedprinter]'.
[13:35:02	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:03	]Elowyn Reingard has spawned a paper.
[13:35:04	]Elowyn Reingard has spawned a paper.
[13:35:04	]Elowyn Reingard has spawned a paper.
[13:35:04	]Elowyn Reingard has spawned a paper.
[13:35:27	]Elowyn Reingard has spawned a black_ink.
[13:35:28	]Elowyn Reingard has spawned a black_ink.
[13:35:28	]Elowyn Reingard has spawned a black_ink.
[13:35:29	]Elowyn Reingard has spawned a black_ink.
[13:35:29	]Elowyn Reingard has spawned a black_ink.
[13:35:30	]Elowyn Reingard has spawned a black_ink.
[13:35:30	]Elowyn Reingard has spawned a black_ink.
[13:35:30	]Elowyn Reingard has spawned a black_ink.
[13:35:30	]Elowyn Reingard has spawned a black_ink.
[13:35:31	]Elowyn Reingard has spawned a black_ink.
[13:42:53	]Elowyn Reingard has gone afk.
[13:43:13	]Elowyn Reingard is no longer afk. Total time spent AFK: 315
[13:43:27	]Elowyn Reingard has used a context menu option with the name: remove
[13:43:28	]Elowyn Reingard entered observer.
[13:44:15	]Elowyn Reingard has spawned a musicradio_reb.
[13:44:16	]Elowyn Reingard exited observer at their location.
[13:44:23	]Elowyn Reingard has spawned a cmb_par2.
[13:44:27	]Elowyn Reingard ran 'take' on item 'Overwatch Standard-Issue Pulse Rifle' (#3111522)
[13:44:27	]Elowyn Reingard has gained a 'Overwatch Standard-Issue Pulse Rifle' #3111522.
[13:44:28	]Elowyn Reingard ran 'Equip' on item 'Overwatch Standard-Issue Pulse Rifle' (#3111522)
[13:44:48	]Elowyn Reingard ran 'EquipUn' on item 'Overwatch Standard-Issue Pulse Rifle' (#3111522)
[13:44:54	]Elowyn Reingard ran 'drop' on item 'Overwatch Standard-Issue Pulse Rifle' (#3111522)
[13:44:54	]Elowyn Reingard has lost a 'Overwatch Standard-Issue Pulse Rifle' #3111522.
[13:44:55	]Elowyn Reingard ran 'drop' on item 'Leather Jacket' (#3111259)
[13:44:55	]Elowyn Reingard has lost a 'Leather Jacket' #3111259.
[13:44:56	]Elowyn Reingard ran 'drop' on item 'Combine PDA' (#3052137)
[13:44:56	]Elowyn Reingard has lost a 'Combine PDA' #3052137.
[13:44:57	]Elowyn Reingard ran 'drop' on item 'Blue collaborator armband' (#3086024)
[13:44:57	]Elowyn Reingard has lost a 'Blue collaborator armband' #3086024.
[13:45:32	]Elowyn Reingard has spawned a incendiary_grenade.
[13:45:33	]Elowyn Reingard ran 'take' on item 'Incendiary Grenade' (#3111523)
[13:45:33	]Elowyn Reingard has gained a 'Incendiary Grenade' #3111523.
[13:45:35	]Elowyn Reingard ran 'Equip' on item 'Incendiary Grenade' (#3111523)
[13:45:50	]Elowyn Reingard entered observer.
[13:46:06	]Marshall (STEAM_0:0:93908206) has disconnected.
