[10:56:21	]Luca has connected.
[10:57:12	]Luca (STEAM_0:1:460171975) has disconnected.
[16:45:05	]Marshall has connected.
[16:46:26	]Marshall (STEAM_0:0:93908206) deleted character 'Victor Kessler'
[16:46:54	]Marshall created the character 'eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee'
[16:46:54	]Marshall loaded the character 'eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee'
[16:46:54	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has gained a 'Flashlight' #3111524.
[16:46:54	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has gained a 'Light Grey Armband' #3111525.
[16:46:54	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has gained a '#09321's Identity Card' #3111526.
[16:46:54	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has gained a 'Glasses' #3111527.
[16:47:01	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee entered observer.
[16:47:10	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee used command '/CharGiveFlag eeeeee pet'.
[16:47:55	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:48:04	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has used a context menu option with the name: ignite
[16:48:12	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:48:13	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:48:23	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:48:24	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned 'models/props_c17/oildrum001_explosive.mdl'.
[16:48:30	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has fired a toolgun with the name: dynamite
[16:48:41	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has hit eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee dealing 124 damage (CritChance was 0.00).
[16:48:41	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee was knocked unconscious and is bleeding out.
[16:48:41	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has used a context menu option with the name: rb655_dynamite_activate
[16:48:43	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee destroyed a 'Overwatch Standard-Issue Pulse Rifle' #3111522.
[16:48:43	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee destroyed a 'Blue collaborator armband' #3086024.
[16:49:31	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee used command '/CharStopBleedout eeeeeeee'.
[16:49:39	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee is no longer unconscious from critical wounds.
[16:49:39	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee is fully healed.
[16:49:40	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee entered observer.
[16:49:54	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has spawned a 'NPC [516][sent_vj_test]'.
[16:49:59	]eeeeeeeeeeeeeeeeeeeeeeeeeeeeeee has used a context menu option with the name: npc_bigger
