[21:58:11	]Marco has connected.
[22:05:01	]Marco loaded the character 'Marco Polo'
[22:05:06	]Marco Polo is fully healed.
[22:05:18	]Marco Polo ran 'hold' on item 'Surgical Kit' (#3307292)
[22:05:26	]Marco Polo ran 'hputback' on item 'Surgical Kit' (#3307292)
[22:08:32	]Marco Polo ran 'drop' on item 'Buckshot Shotgun Shells' (#3307308)
[22:08:32	]Marco Polo has lost a 'Buckshot Shotgun Shells' #3307308.
[22:08:33	]Marco Polo ran 'drop' on item 'Leupold Mark 4' (#3307313)
[22:08:33	]Marco Polo has lost a 'Leupold Mark 4' #3307313.
[22:08:33	]Marco Polo ran 'drop' on item 'M2014-S (FLIR)' (#3307312)
[22:08:33	]Marco Polo has lost a 'M2014-S (FLIR)' #3307312.
[22:08:34	]Marco Polo ran 'drop' on item '7.62x51mm M61' (#3307314)
[22:08:34	]Marco Polo has lost a '7.62x51mm M61' #3307314.
[22:08:36	]Marco Polo ran 'take' on item 'Buckshot Shotgun Shells' (#3307308)
[22:08:36	]Marco Polo has gained a 'Buckshot Shotgun Shells' #3307308.
[22:08:37	]Marco Polo used command '/ToggleRaise'.
[22:08:38	]Marco Polo destroyed a '7.62x51mm M61' #3307314.
[22:08:39	]Marco Polo destroyed a 'Leupold Mark 4' #3307313.
[22:08:39	]Marco Polo destroyed a 'M2014-S (FLIR)' #3307312.
[22:08:40	]Marco Polo used command '/ToggleRaise'.
[22:08:43	]Marco Polo entered observer.
[22:08:43	]Marco Polo exited observer.
[22:09:00	]Marco Polo used command '/ToggleRaise'.
[22:09:16	]Marco Polo used command '/CharSkillSet ^ guns 0'.
[22:09:36	]Marco Polo has given himself a optic_gauss_scope.
[22:09:36	]Marco Polo has gained a 'M2014-S (FLIR)' #3307328.
[22:09:52	]Marco Polo has spawned a 'NPC [454][npc_vj_hla_zombiegunner]'.
[22:09:56	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.00).
[22:09:58	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.00).
[22:10:00	]Marco Polo has taken 3 damage from Zombine Gunner.
[22:10:01	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.00).
[22:10:04	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.00).
[22:10:06	]Marco Polo has taken 3 damage from Zombine Gunner.
[22:10:17	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.00).
[22:10:20	]Marco Polo has hit npc_vj_hla_zombiegunner dealing 85 damage (CritChance was 0.48).
[22:10:24	]Marco Polo has critically hit npc_vj_hla_hcrab dealing 104 damage (CritChance was 0.48).
[22:10:43	]Marco Polo ran 'Repair' on item 'Urban Autocrat - Armored' (#3307126)
[22:11:00	]Marco Polo has spawned a 'Entity [453][npc_caveguard_burrowed]'.
[22:11:16	]Marco Polo used command '/ToggleRaise'.
[22:11:18	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:18	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:19	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:19	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:19	]Marco Polo has taken 20 damage from npc_antlionguard.
[22:11:19	]Marco Polo has taken 85 damage from npc_antlionguard.
[22:11:21	]Marco Polo has gained level 1 in the Guns skill.
[22:11:21	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:22	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:22	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:23	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:30	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:31	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:31	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:31	]Marco Polo has gained level 2 in the Guns skill.
[22:11:31	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:33	]Marco Polo has taken 20 damage from npc_antlionguard.
[22:11:34	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:34	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has gained level 3 in the Guns skill.
[22:11:35	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.61).
[22:11:35	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.62).
[22:11:36	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.62).
[22:11:40	]Marco Polo has taken 20 damage from npc_antlionguard.
[22:11:42	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:42	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:43	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:43	]Marco Polo has taken 20 damage from npc_antlionguard.
[22:11:43	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.62).
[22:11:43	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:43	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:44	]Marco Polo has gained level 4 in the Guns skill.
[22:11:44	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.62).
[22:11:45	]Marco Polo was knocked unconscious and is bleeding out.
[22:11:51	]Marco Polo is no longer unconscious from critical wounds.
[22:11:51	]Marco Polo is fully healed.
[22:11:53	]Marco Polo used command '/CharStopBleedout ^'.
[22:11:53	]Marco Polo entered observer.
[22:11:55	]Marco Polo exited observer.
[22:11:58	][IC] Marco Polo: !unadmni.
[22:12:06	]Marco Polo has spawned a 'Entity [460][npc_antlionguard_burrowed]'.
[22:12:09	]Marco Polo has spawned a 'Entity [465][npc_fastzombie_slump_a]'.
[22:12:13	]Marco Polo used command '/ToggleRaise'.
[22:12:19	]Marco Polo has fired a toolgun with the name: creator
[22:12:19	]Marco Polo has spawned a 'Weapon [467][arccw_ur_g3]'.
[22:12:20	]Marco Polo has fired a toolgun with the name: creator
[22:12:20	]Marco Polo has spawned a 'Weapon [469][arccw_ur_g3]'.
[22:12:20	]Marco Polo has fired a toolgun with the name: creator
[22:12:20	]Marco Polo has spawned a 'Weapon [470][arccw_ur_g3]'.
[22:12:22	]Marco Polo used command '/ToggleRaise'.
[22:12:23	]Marco Polo has taken 5 damage from sleeping_zomb711.
[22:12:24	]Marco Polo has critically hit npc_fastzombie dealing 19 damage (CritChance was 0.63).
[22:12:25	]Marco Polo has critically hit npc_fastzombie in the head dealing 22 damage (CritChance was 0.12).
[22:12:26	]Marco Polo is fully healed.
[22:12:27	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.63).
[22:12:27	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.63).
[22:12:30	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.63).
[22:12:30	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.63).
[22:12:30	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.63).
[22:12:30	]Marco Polo has gained level 5 in the Guns skill.
[22:12:30	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.63).
[22:12:30	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:31	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:32	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:32	]Marco Polo has gained level 6 in the Guns skill.
[22:12:32	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:32	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:32	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:37	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:38	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:38	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.64).
[22:12:40	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:40	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:40	]Marco Polo has gained level 7 in the Guns skill.
[22:12:40	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.64).
[22:12:40	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:12:40	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:12:41	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:12:41	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:12:41	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:12:41	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:12:46	]Marco Polo has spawned a 'Entity [460][npc_caveguard_burrowed]'.
[22:12:58	]Marco Polo used command '/ToggleRaise'.
[22:13:04	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:13:05	]Marco Polo has gained level 8 in the Guns skill.
[22:13:05	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:05	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:13:05	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:05	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:13:05	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has gained level 9 in the Guns skill.
[22:13:06	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.65).
[22:13:06	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.66).
[22:13:07	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.66).
[22:13:07	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.66).
[22:13:07	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.66).
[22:13:12	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.66).
[22:13:12	]Marco Polo has hit npc_antlionguard dealing 16 damage (CritChance was 0.66).
[22:13:12	]Marco Polo has critically hit npc_antlionguard dealing 19 damage (CritChance was 0.66).
[22:13:13	]Marco Polo has gained level 10 in the Guns skill.
