[19:42:30	]boots has connected.
[19:42:55	]boots loaded the character 'boots'
[19:43:21	]boots ran 'take' on item 'Painkillers' (#3307234)
[19:43:21	]boots has gained a 'Painkillers' #3307234.
[19:43:24	]boots ran 'take' on item 'Blood Bag' (#3307233)
[19:43:24	]boots has gained a 'Blood Bag' #3307233.
[19:43:26	]boots ran 'take' on item 'First Aid Kit' (#3307290)
[19:43:26	]boots has gained a 'First Aid Kit' #3307290.
[19:43:56	]boots has taken 41 damage from worldspawn.
[19:44:00	]boots is fully healed.
[19:44:17	]boots (STEAM_0:1:194599358) has disconnected.
