[11:04:24	]Atle has connected.
[11:05:04	]Atle loaded the character 'Ken Livington'
[11:07:24	]Atle loaded the character 'Beatrice Olmgurt Bulmer'
[11:07:29	]Beatrice Olmgurt Bulmer is fully healed.
[11:07:43	]Beatrice Olmgurt Bulmer used command '/PlyWhitelist beatrice civil'.
[11:08:43	]Atle loaded the character 'Ken Livington'
[11:09:09	]Ken Livington has given himself a uniform_cp.
[11:09:09	]Ken Livington has gained a 'Light Functionary Uniform' #3307364.
[11:09:59	]Ken Livington has given himself a mask_cp.
[11:09:59	]Ken Livington has gained a 'PMG-5 (AUG) Gasmask' #3307365.
[11:10:42	][IC] Ken Livington: <:: Thrh. ::>
[11:10:47	]Ken Livington used command '/CharGiveItem ken stunstick'.
[11:10:53	]Ken Livington ran 'drop' on item 'Book' (#3307223)
[11:10:53	]Ken Livington has lost a 'Book' #3307223.
[11:10:53	]Ken Livington ran 'drop' on item 'Paper' (#3307222)
[11:10:53	]Ken Livington has lost a 'Paper' #3307222.
[11:10:53	]Ken Livington ran 'drop' on item 'Newspaper' (#3307221)
[11:10:53	]Ken Livington has lost a 'Newspaper' #3307221.
[11:10:54	]Ken Livington ran 'drop' on item 'Notepad' (#3307220)
[11:10:54	]Ken Livington has lost a 'Notepad' #3307220.
[11:10:54	]Ken Livington ran 'drop' on item 'Empty mug' (#3307042)
[11:10:54	]Ken Livington has lost a 'Empty mug' #3307042.
[11:10:54	]Ken Livington ran 'drop' on item 'Tin Can' (#3306792)
[11:10:54	]Ken Livington has lost a 'Tin Can' #3306792.
[11:11:04	]Ken Livington ran 'hold' on item 'Plastic Lighter' (#3307006)
[11:11:15	]Ken Livington ran 'drop' on item 'Plastic Lighter' (#3307006)
[11:11:15	]Ken Livington has lost a 'Plastic Lighter' #3307006.
[11:11:21	]Ken Livington used command '/CharGiveItem ken stunstick'.
[11:11:21	]Ken Livington has gained a 'CV-2000 Stun Baton' #3307366.
[11:11:23	]Ken Livington ran 'Equip' on item 'CV-2000 Stun Baton' (#3307366)
[11:11:51	]Ken Livington entered observer.
[11:11:51	]Ken Livington exited observer at their location.
[11:12:34	]Ken Livington used command '/CharGiveItem ken pet'.
[11:12:34	]Ken Livington has gained a 'Competition Internals' #3307367.
[11:12:46	]Ken Livington ran 'drop' on item 'Competition Internals' (#3307367)
[11:12:46	]Ken Livington has lost a 'Competition Internals' #3307367.
[11:13:03	]Ken Livington used command '/PlyGiveFlag ken pet'.
[11:13:08	]Ken Livington has fired a toolgun with the name: camera
[11:13:38	]Ken Livington entered observer.
[11:13:43	]Ken Livington exited observer at their location.
[11:13:47	]Ken Livington has fired a toolgun with the name: camera
[11:21:00	]Atle (STEAM_0:0:21027108) has disconnected.
