[04:28:34	]Raptorian has connected.
[04:32:45	]Raptorian loaded the character 'Kraas'Etan'
[04:32:50	]Kraas'Etan is fully healed.
[04:35:18	]Kraas'Etan ran 'Write' on item 'Fall of the Empire' (#3307370)
[04:35:30	]Kraas'Etan entered observer.
[04:35:31	]Kraas'Etan exited observer at their location.
[04:35:38	]Kraas'Etan entered observer.
[04:35:45	]Kraas'Etan exited observer at their location.
[04:35:46	]Kraas'Etan entered observer.
[04:35:46	]Kraas'Etan exited observer at their location.
[04:35:47	]Kraas'Etan entered observer.
[04:35:48	]Kraas'Etan exited observer at their location.
[04:36:06	]Kraas'Etan entered observer.
[04:36:16	]Kraas'Etan exited observer at their location.
[04:36:16	]Kraas'Etan entered observer.
[04:36:17	]Kraas'Etan exited observer at their location.
[04:36:20	]Kraas'Etan entered observer.
[04:36:21	]Kraas'Etan exited observer at their location.
[04:36:21	]Kraas'Etan entered observer.
[04:36:23	]Kraas'Etan exited observer at their location.
[04:36:24	]Kraas'Etan entered observer.
[04:36:26	]Kraas'Etan exited observer at their location.
[04:36:28	]Kraas'Etan entered observer.
[04:36:29	]Kraas'Etan exited observer at their location.
[04:36:30	]Kraas'Etan entered observer.
[04:36:32	]Kraas'Etan exited observer at their location.
[04:36:32	]Kraas'Etan entered observer.
[04:36:33	]Kraas'Etan exited observer at their location.
[04:36:34	]Kraas'Etan entered observer.
[04:36:34	]Kraas'Etan exited observer at their location.
[04:36:35	]Kraas'Etan entered observer.
[04:36:36	]Kraas'Etan exited observer at their location.
[04:36:37	]Kraas'Etan entered observer.
[04:37:15	]Kraas'Etan exited observer at their location.
[04:37:16	]Kraas'Etan entered observer.
[04:37:17	]Kraas'Etan exited observer at their location.
[04:37:17	]Kraas'Etan entered observer.
[04:37:43	]Kraas'Etan exited observer at their location.
[04:37:44	]Kraas'Etan entered observer.
[04:37:47	]Kraas'Etan exited observer at their location.
[04:37:48	]Kraas'Etan entered observer.
[04:37:48	]Kraas'Etan exited observer at their location.
[04:37:49	]Kraas'Etan entered observer.
[04:37:50	]Kraas'Etan exited observer at their location.
[04:37:51	]Kraas'Etan entered observer.
[04:37:52	]Kraas'Etan exited observer at their location.
[04:37:53	]Kraas'Etan entered observer.
[04:37:55	]Kraas'Etan exited observer at their location.
[04:37:56	]Kraas'Etan entered observer.
[04:37:56	]Kraas'Etan exited observer at their location.
[04:37:57	]Kraas'Etan entered observer.
[04:37:57	]Kraas'Etan exited observer at their location.
[04:37:58	]Kraas'Etan entered observer.
[04:38:01	]Kraas'Etan exited observer at their location.
[04:38:02	]Kraas'Etan entered observer.
[04:38:02	]Kraas'Etan exited observer at their location.
[04:38:03	]Kraas'Etan entered observer.
[04:38:05	]Kraas'Etan exited observer at their location.
[04:38:05	]Kraas'Etan entered observer.
[04:38:06	]Kraas'Etan exited observer at their location.
[04:38:06	]Kraas'Etan entered observer.
[04:38:07	]Kraas'Etan exited observer at their location.
[04:38:08	]Kraas'Etan entered observer.
[04:38:09	]Kraas'Etan exited observer at their location.
[04:38:09	]Kraas'Etan entered observer.
[04:38:09	]Kraas'Etan exited observer at their location.
[04:38:10	]Kraas'Etan entered observer.
[04:38:11	]Kraas'Etan exited observer at their location.
[04:38:11	]Kraas'Etan entered observer.
[04:38:12	]Kraas'Etan exited observer at their location.
[04:38:13	]Kraas'Etan entered observer.
[04:38:38	]Kraas'Etan exited observer at their location.
[04:38:39	]Kraas'Etan entered observer.
[04:38:42	]Kraas'Etan exited observer at their location.
[04:38:43	]Kraas'Etan entered observer.
[04:38:44	]Kraas'Etan exited observer at their location.
[04:38:44	]Kraas'Etan entered observer.
[04:38:45	]Kraas'Etan exited observer at their location.
[04:38:46	]Kraas'Etan entered observer.
[04:38:48	]Kraas'Etan exited observer at their location.
[04:38:48	]Kraas'Etan entered observer.
[04:38:49	]Kraas'Etan exited observer at their location.
[04:38:50	]Kraas'Etan entered observer.
[04:38:51	]Kraas'Etan exited observer at their location.
[04:38:53	]Kraas'Etan entered observer.
[04:38:54	]Kraas'Etan exited observer at their location.
[04:38:54	]Kraas'Etan entered observer.
[04:38:55	]Kraas'Etan exited observer at their location.
[04:38:55	]Kraas'Etan entered observer.
[04:38:56	]Kraas'Etan exited observer at their location.
[04:38:56	]Kraas'Etan entered observer.
[04:38:57	]Kraas'Etan exited observer at their location.
[04:38:59	]Kraas'Etan entered observer.
[04:39:00	]Kraas'Etan exited observer at their location.
[04:39:00	]Kraas'Etan entered observer.
[04:39:01	]Kraas'Etan exited observer at their location.
[04:39:03	]Kraas'Etan entered observer.
[04:39:03	]Kraas'Etan exited observer at their location.
[04:39:05	]Kraas'Etan entered observer.
[04:39:06	]Kraas'Etan exited observer at their location.
[04:39:09	]Kraas'Etan entered observer.
[04:39:09	]Kraas'Etan exited observer at their location.
[04:39:10	]Kraas'Etan entered observer.
[04:39:11	]Kraas'Etan exited observer at their location.
[04:39:13	]Kraas'Etan entered observer.
[04:39:13	]Kraas'Etan exited observer at their location.
[04:39:16	]Kraas'Etan entered observer.
[04:39:16	]Kraas'Etan exited observer at their location.
[04:39:19	]Kraas'Etan has taken 66 damage from worldspawn.
[04:39:20	]Kraas'Etan entered observer.
[04:39:20	]Kraas'Etan exited observer at their location.
[04:39:22	]Kraas'Etan entered observer.
[04:39:22	]Kraas'Etan exited observer at their location.
[04:39:24	]Kraas'Etan entered observer.
[04:39:24	]Kraas'Etan exited observer at their location.
[04:39:24	]Kraas'Etan has taken 17 damage from worldspawn.
[04:39:25	]Kraas'Etan entered observer.
[04:39:26	]Kraas'Etan exited observer at their location.
[04:39:26	]Kraas'Etan entered observer.
[04:39:26	]Kraas'Etan exited observer at their location.
[04:39:27	]Kraas'Etan entered observer.
[04:39:28	]Kraas'Etan exited observer at their location.
[04:39:29	]Kraas'Etan entered observer.
[04:39:29	]Kraas'Etan exited observer at their location.
[04:39:31	]Kraas'Etan entered observer.
[04:39:31	]Kraas'Etan exited observer at their location.
[04:39:33	]Kraas'Etan entered observer.
[04:39:33	]Kraas'Etan exited observer at their location.
[04:39:34	]Kraas'Etan entered observer.
[04:39:35	]Kraas'Etan exited observer at their location.
[04:39:35	]Kraas'Etan entered observer.
[04:39:35	]Kraas'Etan exited observer at their location.
[04:39:37	]Kraas'Etan entered observer.
[04:39:37	]Kraas'Etan exited observer at their location.
[04:39:39	]Kraas'Etan entered observer.
[04:39:39	]Kraas'Etan exited observer at their location.
[04:39:40	]Kraas'Etan entered observer.
[04:39:40	]Kraas'Etan exited observer at their location.
[04:39:42	]Kraas'Etan entered observer.
[04:41:33	]Kraas'Etan exited observer at their location.
[04:41:33	]Kraas'Etan entered observer.
[04:41:34	]Kraas'Etan exited observer at their location.
[04:41:35	]Kraas'Etan entered observer.
[04:41:35	]Kraas'Etan exited observer at their location.
[04:41:36	]Kraas'Etan entered observer.
[04:41:36	]Kraas'Etan exited observer at their location.
[04:41:38	]Kraas'Etan entered observer.
[04:41:38	]Kraas'Etan exited observer at their location.
[04:41:38	]Kraas'Etan entered observer.
[04:41:41	]Kraas'Etan exited observer at their location.
[04:41:41	]Kraas'Etan entered observer.
[04:41:41	]Kraas'Etan exited observer at their location.
[04:41:42	]Kraas'Etan entered observer.
[04:41:42	]Kraas'Etan exited observer at their location.
[04:41:43	]Kraas'Etan entered observer.
[04:41:43	]Kraas'Etan exited observer at their location.
[04:41:45	]Kraas'Etan entered observer.
[04:41:46	]Kraas'Etan exited observer at their location.
[04:41:46	]Kraas'Etan entered observer.
[04:41:46	]Kraas'Etan exited observer at their location.
[04:41:47	]Kraas'Etan entered observer.
[04:41:47	]Kraas'Etan exited observer at their location.
[04:41:48	]Kraas'Etan entered observer.
[04:41:49	]Kraas'Etan exited observer at their location.
[04:41:50	]Kraas'Etan entered observer.
[04:41:51	]Kraas'Etan exited observer at their location.
[04:41:52	]Kraas'Etan entered observer.
[04:41:55	]Kraas'Etan exited observer at their location.
[04:41:56	]Kraas'Etan entered observer.
[04:42:18	]Kraas'Etan exited observer at their location.
[04:42:18	]Kraas'Etan entered observer.
[04:42:19	]Kraas'Etan exited observer at their location.
[04:42:20	]Kraas'Etan entered observer.
[04:42:22	]Kraas'Etan exited observer at their location.
[04:42:23	]Kraas'Etan entered observer.
[04:42:26	]Kraas'Etan exited observer at their location.
[04:42:27	]Kraas'Etan entered observer.
[04:42:27	]Kraas'Etan exited observer at their location.
[04:42:29	]Kraas'Etan entered observer.
[04:42:30	]Kraas'Etan exited observer at their location.
[04:42:30	]Kraas'Etan entered observer.
